student_id,academic_year,programme_year,survey_responded,is_repeat_year,career_clarity,career_confidence,belonging_peers,belonging_programme,academic_self_efficacy,support_satisfaction
41,1046-47,1,True,False,2.797,2.363,3.235,3.224,2.925,2.899
42,1046-47,1,True,False,3.251,2.951,3.292,3.173,3.338,2.88
43,1046-47,1,True,False,3.007,3.773,3.786,3.311,3.325,2.848
44,1046-47,1,False,False,,,,,,
45,1046-47,1,True,False,3.156,2.378,3.563,3.374,3.175,3.163
46,1046-47,1,True,False,3.07,2.949,3.123,3.063,3.659,4.007
47,1046-47,1,True,False,2.792,2.936,3.404,3.137,2.531,3.337
48,1046-47,1,True,False,2.502,3.341,3.031,3.138,3.222,3.202
49,1046-47,1,False,False,,,,,,
50,1046-47,1,False,False,,,,,,
51,1046-47,1,True,False,3.307,3.049,4.013,3.491,3.729,3.199
52,1046-47,1,True,False,2.709,3.3,2.736,3.52,3.155,3.887
53,1046-47,1,True,False,3.528,3.146,2.663,3.266,2.489,2.912
54,1046-47,1,True,False,3.307,2.839,2.683,3.101,3.184,2.983
55,1046-47,1,True,False,2.671,3.303,3.478,2.318,3.263,3.429
56,1046-47,1,True,False,3.649,2.362,2.879,3.352,3.056,3.982
57,1046-47,1,True,False,3.253,2.756,3.544,3.646,3.491,3.355
58,1046-47,1,True,False,2.772,3.022,3.012,3.227,3.914,2.811
59,1046-47,1,True,False,3.371,2.592,2.951,3.361,3.683,3.313
60,1046-47,1,False,False,,,,,,
61,1046-47,1,True,False,3.199,3.098,4.163,3.15,2.681,3.987
62,1046-47,1,True,False,2.965,3.386,2.604,2.744,2.849,2.906
63,1046-47,1,True,False,3.139,3.052,2.597,2.239,3.509,3.15
64,1046-47,1,False,False,,,,,,
65,1046-47,1,True,False,3.055,3.272,3.219,3.339,3.039,3.217
66,1046-47,1,True,False,3.182,2.757,3.496,3.181,3.179,3.83
67,1046-47,1,True,False,2.435,2.37,2.393,3.055,3.36,3.181
68,1046-47,1,True,False,3.437,3.52,3.087,3.656,3.642,2.925
69,1046-47,1,True,False,2.507,2.715,2.996,3.461,4.027,2.579
70,1046-47,1,True,False,2.714,3.244,3.082,2.403,3.928,3.063
71,1046-47,1,True,False,2.65,2.795,3.359,3.113,3.722,3.55
72,1046-47,1,False,False,,,,,,
73,1046-47,1,True,False,2.506,3.397,2.972,3.55,3.706,3.257
74,1046-47,1,True,False,3.657,3.702,3.225,3.262,3.774,2.851
75,1046-47,1,True,False,2.825,2.944,2.948,2.646,2.306,2.795
76,1046-47,1,True,False,2.924,3.704,3.583,2.756,3.662,3.166
77,1046-47,1,True,False,2.922,3.074,3.116,3.677,2.691,3.104
78,1046-47,1,True,False,2.978,3.401,3.253,3.449,2.856,2.997
79,1046-47,1,True,False,3.187,2.738,3.384,3.552,3.681,3.225
80,1046-47,1,True,False,2.86,3.296,2.505,3.103,2.728,2.619
81,1046-47,1,True,False,3.304,2.739,2.562,1.978,2.927,4.308
82,1046-47,1,True,False,2.751,3.109,2.549,3.054,3.164,3.051
83,1046-47,1,True,False,3.2,3.314,2.75,3.384,3.991,2.706
84,1046-47,1,False,False,,,,,,
85,1046-47,1,False,False,,,,,,
86,1046-47,1,True,False,3.531,2.885,3.741,3.211,3.498,3.926
87,1046-47,1,True,False,2.525,2.697,3.513,2.706,3.079,2.945
88,1046-47,1,True,False,2.268,2.831,2.395,2.739,3.689,3.177
89,1046-47,1,True,False,2.97,3.097,2.765,3.451,3.806,3.541
90,1046-47,1,True,False,3.062,3.671,3.181,3.093,3.299,2.883
91,1046-47,1,True,False,2.648,2.934,3.415,3.301,3.295,3.866
92,1046-47,1,True,False,2.861,2.689,3.428,3.284,2.556,3.208
93,1046-47,1,True,False,2.716,3.097,2.606,3.722,4.017,3.233
94,1046-47,1,False,False,,,,,,
95,1046-47,1,True,False,2.51,2.812,2.882,3.597,3.628,2.626
96,1046-47,1,True,False,3.046,3.527,2.734,3.323,4.24,2.642
97,1046-47,1,True,False,2.838,2.804,3.517,3.288,2.674,3.59
98,1046-47,1,True,False,3.416,2.75,2.996,3.467,3.877,3.619
99,1046-47,1,True,False,3.116,2.566,3.408,2.745,3.6,2.961
100,1046-47,1,True,False,3.162,2.997,3.007,3.834,3.087,3.412
101,1046-47,1,True,False,2.875,3.257,2.838,2.887,4.062,2.832
102,1046-47,1,False,False,,,,,,
103,1046-47,1,True,False,3.931,2.897,2.356,3.007,3.121,3.24
104,1046-47,1,True,False,3.201,3.182,2.568,3.445,3.878,3.3
105,1046-47,1,True,False,3.037,3.302,2.386,3.144,3.442,4.131
106,1046-47,1,True,False,3.577,2.607,3.478,3.371,3.3,3.493
107,1046-47,1,True,False,2.829,2.351,3.245,2.891,3.274,3.245
108,1046-47,1,True,False,2.296,3.03,3.119,2.302,3.673,3.445
109,1046-47,1,True,False,2.405,3.158,3.406,4.219,2.982,3.313
110,1046-47,1,True,False,3.256,3.189,3.735,3.026,3.424,3.172
111,1046-47,1,True,False,3.47,2.785,3.078,3.373,3.277,3.737
112,1046-47,1,False,False,,,,,,
113,1046-47,1,True,False,2.792,2.254,2.755,2.774,3.518,3.842
114,1046-47,1,True,False,2.674,3.014,3.535,2.725,3.266,3.555
115,1046-47,1,True,False,3.317,3.085,3.354,2.659,3.429,3.065
116,1046-47,1,True,False,2.471,3.258,2.997,2.729,3.566,3.859
117,1046-47,1,True,False,2.321,2.522,3.908,3.437,3.113,2.682
118,1046-47,1,True,False,2.988,2.852,3.533,3.239,2.926,3.2
119,1046-47,1,True,False,3.195,2.346,2.266,3.565,3.273,2.584
120,1046-47,1,False,False,,,,,,
121,1046-47,1,True,False,3.187,3.491,3.511,3.156,3.202,3.467
122,1046-47,1,False,False,,,,,,
123,1046-47,1,True,False,3.704,3.612,3.666,2.843,3.678,3.56
124,1046-47,1,True,False,3.488,3.273,3.434,3.393,3.54,2.409
125,1046-47,1,True,False,2.746,2.493,3.966,3.985,3.636,3.428
126,1046-47,1,True,False,2.881,2.948,2.859,3.456,3.104,2.711
127,1046-47,1,True,False,2.942,3.599,3.536,3.183,3.397,3.381
128,1046-47,1,True,False,2.565,2.891,2.936,2.735,3.458,3.557
129,1046-47,1,False,False,,,,,,
130,1046-47,1,True,False,3.395,3.418,3.519,3.124,3.27,2.82
131,1046-47,1,True,False,3.149,3.467,3.647,3.154,3.162,3.231
132,1046-47,1,True,False,2.983,2.851,3.249,2.947,3.354,3.491
133,1046-47,1,True,False,3.197,3.208,2.632,2.896,4.113,2.789
134,1046-47,1,True,False,2.362,3.024,3.125,3.065,3.535,1.986
135,1046-47,1,True,False,3.48,2.539,3.141,2.992,3.104,3.172
136,1046-47,1,True,False,3.658,2.897,3.899,3.152,3.759,3.164
137,1046-47,1,True,False,3.165,4.149,3.52,2.897,3.743,3.086
138,1046-47,1,True,False,3.428,3.121,3.201,3.096,3.725,3.503
139,1046-47,1,True,False,3.095,2.518,2.655,3.208,3.026,2.974
140,1046-47,1,True,False,2.608,2.935,2.805,3.02,3.666,2.804
141,1046-47,1,False,False,,,,,,
142,1046-47,1,True,False,2.171,2.148,3.307,3.224,3.478,3.429
143,1046-47,1,False,False,,,,,,
144,1046-47,1,False,False,,,,,,
145,1046-47,1,False,False,,,,,,
146,1046-47,1,False,False,,,,,,
147,1046-47,1,True,False,3.076,3.411,2.987,2.159,2.986,2.956
148,1046-47,1,True,False,2.752,2.908,3.151,3.695,2.633,2.748
149,1046-47,1,True,False,2.321,2.995,3.376,3.276,4.067,3.204
150,1046-47,1,True,False,2.823,2.455,3.379,2.921,2.885,3.542
151,1046-47,1,True,False,2.661,3.224,3.837,3.948,3.454,4.097
152,1046-47,1,True,False,2.802,2.61,3.249,2.973,2.834,3.931
153,1046-47,1,True,False,3.169,2.943,3.175,3.147,3.614,3.739
154,1046-47,1,False,False,,,,,,
155,1046-47,1,True,False,3.255,2.646,3.108,3.519,3.905,3.431
156,1046-47,1,True,False,3.205,3.454,3.265,3.007,3.702,2.045
157,1046-47,1,True,False,1.829,2.503,3.25,3.26,3.195,2.998
158,1046-47,1,True,False,2.815,3.77,3.132,3.296,4.057,3.404
159,1046-47,1,True,False,2.806,2.832,2.767,3.211,2.585,3.553
160,1046-47,1,True,False,2.816,2.878,3.373,3.53,2.895,2.962
161,1046-47,1,True,False,2.684,2.332,3.459,3.467,2.973,3.528
162,1046-47,1,True,False,3.032,3.122,2.698,3.392,3.388,3.198
163,1046-47,1,True,False,3.403,3.513,3.808,3.238,3.701,3.772
164,1046-47,1,True,False,2.986,3.228,3.3,3.032,3.464,3.781
165,1046-47,1,True,False,3.107,3.222,3.041,3.493,3.43,2.774
166,1046-47,1,True,False,2.717,2.313,2.865,2.875,3.236,3.308
167,1046-47,1,True,False,3.279,3.181,3.214,3.251,3.8,2.343
168,1046-47,1,False,False,,,,,,
169,1046-47,1,True,False,2.833,2.819,3.752,3.809,3.27,3.229
170,1046-47,1,True,False,2.818,3.002,3.602,2.984,3.829,3.699
171,1046-47,1,True,False,3.329,3.233,3.234,2.889,2.997,3.123
172,1046-47,1,False,False,,,,,,
173,1046-47,1,False,False,,,,,,
174,1046-47,1,False,False,,,,,,
175,1046-47,1,True,False,2.825,2.935,4.311,2.782,3.622,3.409
176,1046-47,1,True,False,3.035,3.149,3.077,3.72,3.226,3.686
177,1046-47,1,True,False,2.826,2.472,3.538,3.934,3.354,3.27
178,1046-47,1,True,False,2.988,2.51,2.776,3.232,3.902,4.47
179,1046-47,1,False,False,,,,,,
180,1046-47,1,False,False,,,,,,
181,1046-47,1,True,False,2.79,2.994,3.399,3.418,3.034,2.596
182,1046-47,1,False,False,,,,,,
183,1046-47,1,True,False,2.932,2.82,3.186,3.501,3.342,3.074
184,1046-47,1,False,False,,,,,,
185,1046-47,1,True,False,3.588,3.209,3.568,3.676,3.982,3.652
186,1046-47,1,True,False,3.007,2.441,3.627,2.804,3.077,3.914
187,1046-47,1,True,False,3.444,2.828,2.749,3.113,3.405,3.29
188,1046-47,1,True,False,2.866,3.115,2.743,3.318,3.466,3.05
189,1046-47,1,True,False,2.904,2.874,3.834,3.086,3.386,2.369
190,1046-47,1,False,False,,,,,,
191,1046-47,1,True,False,2.842,3.566,3.083,3.664,3.629,3.348
192,1046-47,1,True,False,2.844,3.444,2.419,2.546,3.302,3.444
193,1046-47,1,True,False,3.012,2.712,3.676,3.681,3.411,3.745
194,1046-47,1,True,False,2.808,3.248,3.136,3.093,4.03,2.191
195,1046-47,1,True,False,2.463,2.751,3.245,2.743,2.89,3.103
196,1046-47,1,False,False,,,,,,
197,1046-47,1,True,False,2.774,2.791,2.734,2.43,3.473,2.915
198,1046-47,1,True,False,2.495,2.789,3.245,3.332,3.756,2.779
199,1046-47,1,True,False,2.643,3.144,3.28,2.734,3.177,3.601
200,1046-47,1,True,False,2.851,3.437,3.718,3.212,3.174,4.056
201,1046-47,1,True,False,2.511,2.617,3.856,2.839,2.847,3.2
202,1046-47,1,True,False,2.817,2.625,3.065,3.049,2.781,4.358
203,1046-47,1,True,False,3.136,2.654,3.203,2.992,2.427,2.681
204,1046-47,1,True,False,2.002,2.371,3.83,3.282,3.264,3.322
205,1046-47,1,False,False,,,,,,
206,1046-47,1,True,False,3.222,3.294,2.884,3.339,3.754,3.059
207,1046-47,1,False,False,,,,,,
208,1046-47,1,True,False,2.983,3.067,2.853,3.181,3.071,3.339
209,1046-47,1,True,False,3.334,2.537,3.906,3.02,3.527,3.154
210,1046-47,1,False,False,,,,,,
211,1046-47,1,False,False,,,,,,
212,1046-47,1,True,False,2.444,3.328,3.748,2.823,3.453,2.899
213,1046-47,1,True,False,3.329,3.045,3.784,2.895,3.895,3.363
214,1046-47,1,True,False,2.956,3.095,3.042,2.754,3.692,3.481
215,1046-47,1,True,False,3.616,3.585,2.948,3.247,3.234,3.197
216,1046-47,1,True,False,3.479,3.039,3.151,3.716,2.515,2.509
217,1046-47,1,True,False,3.085,3.152,2.583,3.104,4.253,3.689
218,1046-47,1,True,False,2.789,2.805,2.352,3.307,3.573,2.668
219,1046-47,1,False,False,,,,,,
220,1046-47,1,True,False,2.726,3.083,2.321,3.401,3.7,3.124
221,1046-47,1,False,False,,,,,,
222,1046-47,1,True,False,3.406,2.002,3.083,2.75,3.678,2.982
223,1046-47,1,True,False,3.282,3.727,2.995,3.226,2.64,3.689
224,1046-47,1,True,False,2.745,2.934,2.607,3.323,3.881,3.533
225,1046-47,1,True,False,3.039,3.342,2.334,2.655,3.881,3.4
226,1046-47,1,True,False,3.671,3.184,3.4,4.221,3.527,2.944
227,1046-47,1,True,False,3.013,2.675,2.865,4.202,3.011,2.811
228,1046-47,1,True,False,2.943,2.893,3.461,2.72,3.413,4.262
229,1046-47,1,True,False,2.891,2.845,2.996,3.059,3.138,3.819
230,1046-47,1,False,False,,,,,,
231,1046-47,1,True,False,2.802,3.066,2.816,3.799,3.97,3.843
232,1046-47,1,False,False,,,,,,
233,1046-47,1,False,False,,,,,,
234,1046-47,1,False,False,,,,,,
235,1046-47,1,False,False,,,,,,
236,1046-47,1,True,False,3.119,3.186,3.255,3.301,3.599,3.773
237,1046-47,1,True,False,2.866,2.919,2.513,3.251,3.571,2.761
238,1046-47,1,True,False,2.682,2.767,3.729,2.921,3.358,2.204
239,1046-47,1,False,False,,,,,,
240,1046-47,1,True,False,2.777,3.043,2.726,3.763,3.111,3.318
241,1046-47,1,True,False,2.831,3.278,3.267,3.425,3.582,3.602
242,1046-47,1,True,False,3.713,2.384,3.775,3.817,3.001,4.407
243,1046-47,1,True,False,3.311,2.981,3.029,3.032,3.611,3.963
244,1046-47,1,True,False,2.654,3.262,3.628,3.522,3.656,3.195
245,1046-47,1,True,False,2.71,2.441,3.253,3.124,3.187,1.904
246,1046-47,1,True,False,3.299,2.675,3.412,2.711,3.739,3.365
247,1046-47,1,True,False,3.727,3.443,3.219,3.104,3.346,3.585
248,1046-47,1,True,False,2.89,3.542,3.087,4.053,3.575,4.151
249,1046-47,1,True,False,3.186,2.595,2.906,3.431,3.511,3.405
250,1046-47,1,True,False,2.589,2.566,2.327,3.078,3.947,3.265
251,1046-47,1,True,False,2.956,2.965,3.959,2.538,3.399,4.089
252,1046-47,1,True,False,3.087,2.93,3.425,3.604,2.815,3.661
253,1046-47,1,True,False,3.154,3.102,2.96,3.197,3.257,2.784
254,1046-47,1,True,False,2.498,2.997,2.743,3.487,3.094,3.113
255,1046-47,1,True,False,3.551,3.203,3.015,3.3,2.693,3.169
256,1046-47,1,True,False,3.082,3.059,3.381,3.52,2.237,2.327
257,1046-47,1,True,False,2.676,3.386,3.094,2.446,2.78,2.149
258,1046-47,1,False,False,,,,,,
259,1046-47,1,False,False,,,,,,
260,1046-47,1,True,False,3.442,3.484,3.033,2.247,3.502,3.56
261,1046-47,1,True,False,3.236,2.485,4.047,2.86,3.63,2.519
262,1046-47,1,False,False,,,,,,
263,1046-47,1,False,False,,,,,,
264,1046-47,1,False,False,,,,,,
265,1046-47,1,True,False,2.988,2.868,3.855,3.215,2.643,3.071
266,1046-47,1,True,False,3.062,2.375,2.96,3.017,2.909,2.655
267,1046-47,1,True,False,2.826,3.352,3.47,3.088,3.47,3.411
268,1046-47,1,True,False,2.455,2.527,3.042,2.831,3.299,3.759
269,1046-47,1,True,False,2.89,2.804,3.422,3.28,2.311,2.612
270,1046-47,1,True,False,3.427,2.292,3.282,3.619,3.536,3.59
271,1046-47,1,True,False,2.822,2.297,2.307,3.622,2.838,3.201
272,1046-47,1,True,False,2.59,3.022,2.744,3.187,3.583,3.269
273,1046-47,1,False,False,,,,,,
274,1046-47,1,True,False,2.684,3.038,3.561,3.614,3.081,3.188
275,1046-47,1,True,False,3.105,2.996,3.13,3.064,3.276,2.98
276,1046-47,1,True,False,2.997,2.733,3.409,4.362,2.435,3.376
277,1046-47,1,True,False,3.121,2.936,3.623,3.788,3.167,3.84
278,1046-47,1,False,False,,,,,,
279,1046-47,1,True,False,3.037,3.283,2.798,2.954,3.25,3.449
280,1046-47,1,True,False,3.283,2.286,3.586,3.2,3.391,2.713
281,1046-47,1,False,False,,,,,,
282,1046-47,1,True,False,2.915,3.304,2.498,3.116,3.525,3.846
283,1046-47,1,True,False,2.724,2.79,3.755,3.46,2.988,3.17
284,1046-47,1,True,False,3.145,2.393,3.503,3.253,4.124,2.9
285,1046-47,1,True,False,3.505,3.292,3.094,3.463,3.116,3.501
286,1046-47,1,True,False,2.986,2.458,3.185,3.311,3.416,2.631
287,1046-47,1,True,False,2.954,2.572,3.164,2.676,2.848,3.158
288,1046-47,1,True,False,2.615,3.063,3.032,3.347,2.754,3.51
289,1046-47,1,True,False,2.476,2.543,2.926,2.639,3.754,3.122
290,1046-47,1,True,False,2.211,2.89,2.867,3.121,2.898,2.132
291,1046-47,1,True,False,3.559,2.734,3.35,3.656,3.495,3.106
292,1046-47,1,True,False,3.218,2.954,2.685,3.141,3.113,2.941
293,1046-47,1,True,False,2.466,3.301,2.664,2.958,3.788,3.628
294,1046-47,1,True,False,2.685,2.829,3.179,3.165,3.563,3.344
295,1046-47,1,True,False,2.394,2.718,3.614,2.701,3.192,3.035
296,1046-47,1,True,False,2.875,3.528,3.365,2.637,3.526,2.991
297,1046-47,1,True,False,3.03,2.748,3.582,2.915,3.3,3.056
298,1046-47,1,True,False,3.469,3.304,3.828,4.051,3.249,3.392
299,1046-47,1,True,False,2.658,2.709,2.793,2.795,3.443,2.813
300,1046-47,1,True,False,2.662,3.966,3.002,3.211,3.07,4.139
301,1046-47,1,True,False,3.161,2.586,3.209,2.676,3.706,3.414
302,1046-47,1,True,False,2.26,2.768,3.4,3.61,3.998,2.604
303,1046-47,1,True,False,3.252,2.316,3.291,3.403,3.451,2.592
304,1046-47,1,True,False,2.88,2.943,2.961,3.009,3.407,3.453
305,1046-47,1,True,False,2.849,3.025,2.392,3.352,3.534,3.376
306,1046-47,1,False,False,,,,,,
307,1046-47,1,False,False,,,,,,
308,1046-47,1,True,False,2.944,2.846,3.355,3.102,3.416,3.569
309,1046-47,1,True,False,2.847,2.201,3.424,3.605,3.38,2.604
310,1046-47,1,True,False,3.146,3.39,2.879,3.138,3.456,3.376
311,1046-47,1,True,False,3.029,3.087,3.258,3.311,2.733,3.762
312,1046-47,1,True,False,2.612,2.822,3.698,2.747,2.554,2.44
313,1046-47,1,True,False,2.545,2.802,3.486,2.965,3.502,3.129
314,1046-47,1,True,False,2.996,2.587,3.164,3.649,3.279,2.734
315,1046-47,1,True,False,2.525,3.399,3.631,3.338,3.437,3.147
316,1046-47,1,False,False,,,,,,
317,1046-47,1,True,False,3.195,3.418,2.852,2.83,3.192,2.826
318,1046-47,1,True,False,3.206,3.584,3.757,2.537,3.773,4.014
319,1046-47,1,True,False,2.971,2.233,3.288,2.756,3.22,2.374
320,1046-47,1,True,False,3.429,2.796,2.668,2.261,3.5,3.079
321,1046-47,1,True,False,3.076,2.76,2.721,2.929,3.738,3.484
322,1046-47,1,True,False,3.159,2.536,3.245,3.291,2.929,3.46
323,1046-47,1,False,False,,,,,,
324,1046-47,1,True,False,3.257,2.042,3.566,1.871,3.336,3.778
325,1046-47,1,True,False,2.37,2.5,3.702,2.523,3.485,3.27
326,1046-47,1,True,False,2.731,2.579,3.52,3.467,2.783,3.033
327,1046-47,1,False,False,,,,,,
328,1046-47,1,True,False,2.537,3.571,3.136,2.685,3.318,2.987
329,1046-47,1,False,False,,,,,,
330,1046-47,1,True,False,2.614,2.28,2.989,2.42,3.148,2.794
331,1046-47,1,True,False,3.553,2.872,3.473,2.664,2.859,3.477
332,1046-47,1,False,False,,,,,,
333,1046-47,1,True,False,2.497,2.817,3.052,3.352,3.289,3.323
334,1046-47,1,True,False,2.564,2.991,3.348,3.217,2.665,3.47
335,1046-47,1,True,False,2.756,2.9,4.025,2.81,3.336,2.487
336,1046-47,1,True,False,3.457,3.077,3.285,2.992,3.51,3.29
337,1046-47,1,True,False,3.024,3.194,2.741,2.726,3.149,3.459
338,1046-47,1,False,False,,,,,,
339,1046-47,1,True,False,3.24,2.933,3.492,3.457,3.081,3.15
340,1046-47,1,False,False,,,,,,
341,1046-47,1,True,False,2.819,3.204,3.189,2.526,3.964,3.261
342,1046-47,1,True,False,3.272,3.075,2.669,3.886,3.32,3.06
343,1046-47,1,False,False,,,,,,
344,1046-47,1,True,False,2.829,2.608,3.608,3.566,3.227,3.148
345,1046-47,1,True,False,2.817,2.375,2.64,3.455,2.43,3.358
346,1046-47,1,True,False,3.453,2.823,3.458,3.036,3.612,3.703
347,1046-47,1,True,False,3.341,2.644,3.309,3.561,3.649,4.123
348,1046-47,1,True,False,2.496,2.631,3.475,3.41,3.254,2.897
349,1046-47,1,True,False,2.616,3.45,4.237,3.24,3.767,3.118
350,1046-47,1,True,False,2.696,2.524,2.768,4.035,3.364,3.642
351,1046-47,1,True,False,3.052,3.45,3.06,3.285,3.541,3.137
352,1046-47,1,True,False,2.219,2.82,3.296,2.759,3.528,3.435
353,1046-47,1,True,False,2.792,3.255,3.184,2.568,3.665,3.743
354,1046-47,1,False,False,,,,,,
355,1046-47,1,True,False,2.896,2.839,3.326,3.217,3.617,3.277
356,1046-47,1,True,False,3.089,3.33,3.449,2.779,2.943,4.032
357,1046-47,1,True,False,2.286,2.636,3.613,3.192,3.014,3.786
358,1046-47,1,False,False,,,,,,
359,1046-47,1,True,False,2.933,2.996,3.486,3.651,2.897,3.368
360,1046-47,1,True,False,3.121,3.137,3.185,3.408,3.788,3.311
361,1046-47,1,True,False,3.011,2.978,3.214,4.019,2.995,3.237
362,1046-47,1,False,False,,,,,,
363,1046-47,1,True,False,3.731,2.78,3.298,2.849,3.0,3.176
364,1046-47,1,True,False,3.191,3.52,3.079,2.984,4.166,3.211
365,1046-47,1,True,False,2.823,2.736,3.435,2.915,3.299,3.234
366,1046-47,1,True,False,2.683,2.603,3.325,3.475,3.404,3.044
367,1046-47,1,True,False,2.618,2.696,2.851,3.749,3.338,3.409
368,1046-47,1,True,False,4.0,2.417,2.877,2.926,3.298,2.914
369,1046-47,1,True,False,2.498,3.041,3.244,3.416,3.699,3.652
370,1046-47,1,True,False,3.664,3.004,2.519,2.863,2.943,3.416
371,1046-47,1,True,False,2.71,3.578,3.536,3.607,3.088,2.891
372,1046-47,1,True,False,3.024,2.314,3.101,3.179,3.425,2.982
373,1046-47,1,True,False,2.824,2.918,3.537,3.727,3.441,3.23
374,1046-47,1,True,False,3.239,2.873,3.487,3.563,3.76,4.157
375,1046-47,1,True,False,2.893,2.892,3.307,3.087,3.027,3.514
376,1046-47,1,True,False,3.045,2.737,2.656,3.189,3.265,3.258
377,1046-47,1,False,False,,,,,,
378,1046-47,1,True,False,3.001,2.454,2.74,3.888,2.889,2.921
379,1046-47,1,False,False,,,,,,
380,1046-47,1,True,False,2.631,2.84,3.647,2.833,2.992,3.744
381,1046-47,1,True,False,2.801,2.464,2.91,3.186,3.673,2.924
382,1046-47,1,True,False,3.251,2.181,3.586,2.699,3.562,3.351
383,1046-47,1,True,False,3.068,2.043,3.005,3.375,2.813,3.406
384,1046-47,1,True,False,3.178,2.89,2.505,3.062,3.601,2.8
385,1046-47,1,True,False,3.307,3.033,1.908,2.622,4.122,3.104
386,1046-47,1,True,False,3.395,2.967,3.643,3.312,3.693,3.53
387,1046-47,1,False,False,,,,,,
388,1046-47,1,True,False,3.224,2.331,3.365,3.643,3.512,3.029
389,1046-47,1,True,False,3.188,3.763,3.039,3.136,3.143,3.231
390,1046-47,1,False,False,,,,,,
391,1046-47,1,True,False,2.74,3.021,3.149,4.121,3.106,3.946
392,1046-47,1,True,False,3.217,3.026,3.867,3.342,3.318,3.502
393,1046-47,1,True,False,3.143,3.783,3.064,3.34,3.985,3.863
394,1046-47,1,True,False,2.25,3.265,2.218,3.694,3.669,3.775
395,1046-47,1,False,False,,,,,,
396,1046-47,1,True,False,2.992,2.889,3.072,3.302,4.112,3.496
397,1046-47,1,True,False,3.212,3.435,3.148,2.402,3.215,3.746
398,1046-47,1,False,False,,,,,,
399,1046-47,1,True,False,2.815,3.583,3.331,3.292,3.795,3.235
400,1046-47,1,False,False,,,,,,
401,1046-47,1,True,False,2.123,2.94,3.368,3.722,3.612,3.987
402,1046-47,1,False,False,,,,,,
403,1046-47,1,True,False,3.145,3.863,3.809,3.665,2.998,2.866
404,1046-47,1,False,False,,,,,,
405,1046-47,1,True,False,2.764,2.807,3.968,3.189,1.994,3.397
406,1046-47,1,True,False,2.957,2.911,3.158,3.584,2.556,3.086
407,1046-47,1,True,False,2.812,2.464,3.432,3.614,3.594,2.442
408,1046-47,1,True,False,2.274,2.963,2.991,2.882,3.002,3.109
409,1046-47,1,True,False,3.147,2.785,3.612,3.333,2.929,3.013
410,1046-47,1,True,False,3.062,2.836,2.276,3.01,3.031,3.993
