student_id,academic_year,programme_code,programme_year,status,status_change_at
49,1046-47,1.5.13,1,enrolled,1046-09-01
50,1046-47,1.3.8,1,enrolled,1046-09-01
51,1046-47,4.1.34,1,enrolled,1046-09-01
52,1046-47,4.4.42,1,enrolled,1046-09-01
53,1046-47,2.4.24,1,enrolled,1046-09-01
54,1046-47,3.2.30,1,enrolled,1046-09-01
55,1046-47,1.1.2,1,enrolled,1046-09-01
56,1046-47,4.3.41,1,enrolled,1046-09-01
57,1046-47,4.3.41,1,enrolled,1046-09-01
58,1046-47,1.4.10,1,enrolled,1046-09-01
59,1046-47,4.3.39,1,enrolled,1046-09-01
60,1046-47,1.5.13,1,enrolled,1046-09-01
61,1046-47,1.2.5,1,enrolled,1046-09-01
62,1046-47,1.2.5,1,enrolled,1046-09-01
63,1046-47,2.1.16,1,enrolled,1046-09-01
64,1046-47,1.5.14,1,enrolled,1046-09-01
65,1046-47,4.1.34,1,enrolled,1046-09-01
66,1046-47,2.2.18,1,enrolled,1046-09-01
67,1046-47,1.1.3,1,enrolled,1046-09-01
68,1046-47,3.1.28,1,enrolled,1046-09-01
69,1046-47,1.4.11,1,enrolled,1046-09-01
70,1046-47,1.2.6,1,enrolled,1046-09-01
71,1046-47,1.4.10,1,enrolled,1046-09-01
72,1046-47,3.3.32,1,enrolled,1046-09-01
73,1046-47,2.3.23,1,enrolled,1046-09-01
74,1046-47,4.1.33,1,enrolled,1046-09-01
75,1046-47,2.3.22,1,enrolled,1046-09-01
76,1046-47,4.4.44,1,enrolled,1046-09-01
77,1046-47,3.2.29,1,enrolled,1046-09-01
78,1046-47,2.3.22,1,enrolled,1046-09-01
79,1046-47,1.1.3,1,enrolled,1046-09-01
80,1046-47,1.1.2,1,enrolled,1046-09-01
81,1046-47,1.2.5,1,enrolled,1046-09-01
82,1046-47,1.1.3,1,enrolled,1046-09-01
83,1046-47,2.4.25,1,enrolled,1046-09-01
84,1046-47,3.3.32,1,enrolled,1046-09-01
85,1046-47,1.4.11,1,enrolled,1046-09-01
86,1046-47,2.3.21,1,enrolled,1046-09-01
87,1046-47,2.3.21,1,enrolled,1046-09-01
88,1046-47,2.4.24,1,enrolled,1046-09-01
89,1046-47,1.3.9,1,enrolled,1046-09-01
90,1046-47,4.4.42,1,enrolled,1046-09-01
91,1046-47,2.3.23,1,enrolled,1046-09-01
92,1046-47,4.2.36,1,enrolled,1046-09-01
93,1046-47,4.1.33,1,enrolled,1046-09-01
94,1046-47,1.1.3,1,enrolled,1046-09-01
95,1046-47,4.3.39,1,enrolled,1046-09-01
96,1046-47,3.2.30,1,enrolled,1046-09-01
97,1046-47,3.1.27,1,enrolled,1046-09-01
98,1046-47,4.1.33,1,enrolled,1046-09-01
99,1046-47,4.2.38,1,enrolled,1046-09-01
100,1046-47,1.1.3,1,enrolled,1046-09-01
101,1046-47,2.3.23,1,enrolled,1046-09-01
102,1046-47,4.1.35,1,enrolled,1046-09-01
103,1046-47,2.3.22,1,enrolled,1046-09-01
104,1046-47,2.4.24,1,enrolled,1046-09-01
105,1046-47,1.2.6,1,enrolled,1046-09-01
106,1046-47,2.2.19,1,enrolled,1046-09-01
107,1046-47,2.1.16,1,enrolled,1046-09-01
108,1046-47,3.1.28,1,enrolled,1046-09-01
109,1046-47,3.3.31,1,enrolled,1046-09-01
110,1046-47,2.1.17,1,enrolled,1046-09-01
111,1046-47,4.2.36,1,enrolled,1046-09-01
112,1046-47,1.3.8,1,enrolled,1046-09-01
113,1046-47,2.1.16,1,enrolled,1046-09-01
114,1046-47,3.3.32,1,enrolled,1046-09-01
115,1046-47,1.2.4,1,enrolled,1046-09-01
116,1046-47,3.2.29,1,enrolled,1046-09-01
117,1046-47,2.3.22,1,enrolled,1046-09-01
118,1046-47,4.4.44,1,enrolled,1046-09-01
119,1046-47,3.3.32,1,enrolled,1046-09-01
120,1046-47,4.3.39,1,enrolled,1046-09-01
121,1046-47,4.3.41,1,enrolled,1046-09-01
122,1046-47,2.1.17,1,enrolled,1046-09-01
123,1046-47,4.3.41,1,enrolled,1046-09-01
124,1046-47,2.1.17,1,enrolled,1046-09-01
125,1046-47,2.1.16,1,enrolled,1046-09-01
126,1046-47,4.2.36,1,enrolled,1046-09-01
127,1046-47,2.4.25,1,enrolled,1046-09-01
128,1046-47,4.4.43,1,enrolled,1046-09-01
129,1046-47,4.3.41,1,enrolled,1046-09-01
130,1046-47,4.2.36,1,enrolled,1046-09-01
131,1046-47,1.2.5,1,enrolled,1046-09-01
132,1046-47,3.2.30,1,enrolled,1046-09-01
133,1046-47,1.2.5,1,enrolled,1046-09-01
134,1046-47,1.2.5,1,enrolled,1046-09-01
135,1046-47,1.1.3,1,enrolled,1046-09-01
136,1046-47,4.3.39,1,enrolled,1046-09-01
137,1046-47,2.3.23,1,enrolled,1046-09-01
138,1046-47,2.1.17,1,enrolled,1046-09-01
139,1046-47,1.2.6,1,enrolled,1046-09-01
140,1046-47,3.1.28,1,enrolled,1046-09-01
141,1046-47,1.2.5,1,enrolled,1046-09-01
142,1046-47,4.2.37,1,enrolled,1046-09-01
143,1046-47,3.1.28,1,enrolled,1046-09-01
144,1046-47,1.1.2,1,enrolled,1046-09-01
145,1046-47,2.1.15,1,enrolled,1046-09-01
146,1046-47,4.1.33,1,enrolled,1046-09-01
147,1046-47,4.3.40,1,enrolled,1046-09-01
148,1046-47,2.4.25,1,enrolled,1046-09-01
149,1046-47,4.3.40,1,enrolled,1046-09-01
150,1046-47,4.3.41,1,enrolled,1046-09-01
151,1046-47,2.3.23,1,enrolled,1046-09-01
152,1046-47,2.1.17,1,enrolled,1046-09-01
153,1046-47,3.2.29,1,enrolled,1046-09-01
154,1046-47,4.2.38,1,enrolled,1046-09-01
155,1046-47,2.1.15,1,enrolled,1046-09-01
156,1046-47,2.3.23,1,enrolled,1046-09-01
157,1046-47,4.3.40,1,enrolled,1046-09-01
158,1046-47,2.1.15,1,enrolled,1046-09-01
159,1046-47,1.2.4,1,enrolled,1046-09-01
160,1046-47,2.1.16,1,enrolled,1046-09-01
161,1046-47,3.3.31,1,enrolled,1046-09-01
162,1046-47,1.2.5,1,enrolled,1046-09-01
163,1046-47,3.2.30,1,enrolled,1046-09-01
164,1046-47,2.1.16,1,enrolled,1046-09-01
165,1046-47,2.3.23,1,enrolled,1046-09-01
166,1046-47,4.4.42,1,enrolled,1046-09-01
167,1046-47,1.2.5,1,enrolled,1046-09-01
168,1046-47,2.1.16,1,enrolled,1046-09-01
169,1046-47,3.2.30,1,enrolled,1046-09-01
170,1046-47,2.3.23,1,enrolled,1046-09-01
171,1046-47,4.3.41,1,enrolled,1046-09-01
172,1046-47,3.3.31,1,enrolled,1046-09-01
173,1046-47,1.2.5,1,enrolled,1046-09-01
174,1046-47,1.4.10,1,enrolled,1046-09-01
175,1046-47,4.2.37,1,enrolled,1046-09-01
176,1046-47,1.1.1,1,enrolled,1046-09-01
177,1046-47,2.1.17,1,enrolled,1046-09-01
178,1046-47,3.2.29,1,enrolled,1046-09-01
179,1046-47,1.3.9,1,enrolled,1046-09-01
180,1046-47,3.3.31,1,enrolled,1046-09-01
181,1046-47,4.2.37,1,enrolled,1046-09-01
182,1046-47,3.1.27,1,enrolled,1046-09-01
183,1046-47,4.1.33,1,enrolled,1046-09-01
184,1046-47,4.2.37,1,enrolled,1046-09-01
185,1046-47,2.1.16,1,enrolled,1046-09-01
186,1046-47,2.2.18,1,enrolled,1046-09-01
187,1046-47,4.3.39,1,enrolled,1046-09-01
188,1046-47,1.5.14,1,enrolled,1046-09-01
189,1046-47,1.5.13,1,enrolled,1046-09-01
190,1046-47,4.2.37,1,enrolled,1046-09-01
191,1046-47,2.3.23,1,enrolled,1046-09-01
192,1046-47,3.2.30,1,enrolled,1046-09-01
193,1046-47,1.1.1,1,enrolled,1046-09-01
194,1046-47,4.3.41,1,enrolled,1046-09-01
195,1046-47,2.4.24,1,enrolled,1046-09-01
196,1046-47,1.3.7,1,enrolled,1046-09-01
197,1046-47,4.3.39,1,enrolled,1046-09-01
198,1046-47,1.3.8,1,enrolled,1046-09-01
199,1046-47,2.2.18,1,enrolled,1046-09-01
200,1046-47,3.3.31,1,enrolled,1046-09-01
201,1046-47,1.5.14,1,enrolled,1046-09-01
202,1046-47,4.1.33,1,enrolled,1046-09-01
203,1046-47,1.2.5,1,enrolled,1046-09-01
204,1046-47,2.4.25,1,enrolled,1046-09-01
205,1046-47,4.1.34,1,enrolled,1046-09-01
206,1046-47,4.2.36,1,enrolled,1046-09-01
207,1046-47,3.2.30,1,enrolled,1046-09-01
208,1046-47,3.2.29,1,enrolled,1046-09-01
209,1046-47,2.2.18,1,enrolled,1046-09-01
210,1046-47,2.1.17,1,enrolled,1046-09-01
211,1046-47,2.3.23,1,enrolled,1046-09-01
212,1046-47,1.1.3,1,enrolled,1046-09-01
213,1046-47,2.4.25,1,enrolled,1046-09-01
214,1046-47,2.3.22,1,enrolled,1046-09-01
215,1046-47,2.4.24,1,enrolled,1046-09-01
216,1046-47,4.3.40,1,enrolled,1046-09-01
217,1046-47,4.1.33,1,enrolled,1046-09-01
218,1046-47,1.3.8,1,enrolled,1046-09-01
219,1046-47,2.3.22,1,enrolled,1046-09-01
220,1046-47,1.2.5,1,enrolled,1046-09-01
221,1046-47,3.2.29,1,enrolled,1046-09-01
222,1046-47,4.2.37,1,enrolled,1046-09-01
223,1046-47,3.2.29,1,enrolled,1046-09-01
224,1046-47,1.4.11,1,enrolled,1046-09-01
225,1046-47,4.2.37,1,enrolled,1046-09-01
226,1046-47,1.2.6,1,enrolled,1046-09-01
227,1046-47,1.5.12,1,enrolled,1046-09-01
228,1046-47,2.2.19,1,enrolled,1046-09-01
229,1046-47,1.3.8,1,enrolled,1046-09-01
230,1046-47,2.3.22,1,enrolled,1046-09-01
231,1046-47,3.2.29,1,enrolled,1046-09-01
232,1046-47,1.2.5,1,enrolled,1046-09-01
233,1046-47,4.4.44,1,enrolled,1046-09-01
234,1046-47,1.2.5,1,enrolled,1046-09-01
235,1046-47,4.1.35,1,enrolled,1046-09-01
236,1046-47,4.3.40,1,enrolled,1046-09-01
237,1046-47,2.3.23,1,enrolled,1046-09-01
238,1046-47,4.4.42,1,enrolled,1046-09-01
239,1046-47,2.4.25,1,enrolled,1046-09-01
240,1046-47,4.2.38,1,enrolled,1046-09-01
241,1046-47,2.4.24,1,enrolled,1046-09-01
242,1046-47,1.5.13,1,enrolled,1046-09-01
243,1046-47,4.2.38,1,enrolled,1046-09-01
244,1046-47,1.1.2,1,enrolled,1046-09-01
245,1046-47,3.3.32,1,enrolled,1046-09-01
246,1046-47,1.5.12,1,enrolled,1046-09-01
247,1046-47,3.3.32,1,enrolled,1046-09-01
248,1046-47,4.1.35,1,enrolled,1046-09-01
249,1046-47,4.4.42,1,enrolled,1046-09-01
250,1046-47,4.4.44,1,enrolled,1046-09-01
251,1046-47,4.3.41,1,enrolled,1046-09-01
252,1046-47,4.1.35,1,enrolled,1046-09-01
253,1046-47,2.2.18,1,enrolled,1046-09-01
254,1046-47,1.2.4,1,enrolled,1046-09-01
255,1046-47,1.2.5,1,enrolled,1046-09-01
256,1046-47,3.2.29,1,enrolled,1046-09-01
257,1046-47,4.3.40,1,enrolled,1046-09-01
258,1046-47,2.2.19,1,enrolled,1046-09-01
259,1046-47,1.2.4,1,enrolled,1046-09-01
260,1046-47,2.3.23,1,enrolled,1046-09-01
261,1046-47,3.2.30,1,enrolled,1046-09-01
262,1046-47,1.2.4,1,enrolled,1046-09-01
263,1046-47,1.2.4,1,enrolled,1046-09-01
264,1046-47,2.1.15,1,enrolled,1046-09-01
265,1046-47,1.1.3,1,enrolled,1046-09-01
266,1046-47,4.1.33,1,enrolled,1046-09-01
267,1046-47,4.4.44,1,enrolled,1046-09-01
268,1046-47,3.1.27,1,enrolled,1046-09-01
269,1046-47,1.2.4,1,enrolled,1046-09-01
270,1046-47,2.4.25,1,enrolled,1046-09-01
271,1046-47,1.4.10,1,enrolled,1046-09-01
272,1046-47,2.2.20,1,enrolled,1046-09-01
273,1046-47,4.3.40,1,enrolled,1046-09-01
274,1046-47,4.4.43,1,enrolled,1046-09-01
275,1046-47,4.1.34,1,enrolled,1046-09-01
276,1046-47,4.1.33,1,enrolled,1046-09-01
277,1046-47,4.4.43,1,enrolled,1046-09-01
278,1046-47,2.4.25,1,enrolled,1046-09-01
279,1046-47,1.2.6,1,enrolled,1046-09-01
280,1046-47,3.3.31,1,enrolled,1046-09-01
281,1046-47,1.5.14,1,enrolled,1046-09-01
282,1046-47,4.4.44,1,enrolled,1046-09-01
283,1046-47,2.2.19,1,enrolled,1046-09-01
284,1046-47,4.3.39,1,enrolled,1046-09-01
285,1046-47,1.1.1,1,enrolled,1046-09-01
286,1046-47,1.5.14,1,enrolled,1046-09-01
287,1046-47,4.3.39,1,enrolled,1046-09-01
288,1046-47,4.3.41,1,enrolled,1046-09-01
289,1046-47,1.5.12,1,enrolled,1046-09-01
290,1046-47,1.3.9,1,enrolled,1046-09-01
291,1046-47,1.4.11,1,enrolled,1046-09-01
292,1046-47,4.2.36,1,enrolled,1046-09-01
293,1046-47,1.2.5,1,enrolled,1046-09-01
294,1046-47,1.2.5,1,enrolled,1046-09-01
295,1046-47,4.1.35,1,enrolled,1046-09-01
296,1046-47,2.3.23,1,enrolled,1046-09-01
297,1046-47,4.3.41,1,enrolled,1046-09-01
298,1046-47,1.3.9,1,enrolled,1046-09-01
299,1046-47,1.5.13,1,enrolled,1046-09-01
300,1046-47,3.1.27,1,enrolled,1046-09-01
301,1046-47,3.1.28,1,enrolled,1046-09-01
302,1046-47,2.4.24,1,enrolled,1046-09-01
303,1046-47,3.1.27,1,enrolled,1046-09-01
304,1046-47,2.3.21,1,enrolled,1046-09-01
305,1046-47,1.3.8,1,enrolled,1046-09-01
306,1046-47,4.4.44,1,enrolled,1046-09-01
307,1046-47,2.2.18,1,enrolled,1046-09-01
308,1046-47,4.2.37,1,enrolled,1046-09-01
309,1046-47,4.4.44,1,enrolled,1046-09-01
310,1046-47,2.3.22,1,enrolled,1046-09-01
311,1046-47,1.2.5,1,enrolled,1046-09-01
312,1046-47,4.1.34,1,enrolled,1046-09-01
313,1046-47,4.1.35,1,enrolled,1046-09-01
314,1046-47,2.1.16,1,enrolled,1046-09-01
315,1046-47,4.4.42,1,enrolled,1046-09-01
316,1046-47,4.1.35,1,enrolled,1046-09-01
317,1046-47,2.1.17,1,enrolled,1046-09-01
318,1046-47,1.1.1,1,enrolled,1046-09-01
319,1046-47,4.4.42,1,enrolled,1046-09-01
320,1046-47,1.3.7,1,enrolled,1046-09-01
321,1046-47,4.2.37,1,enrolled,1046-09-01
322,1046-47,4.4.42,1,enrolled,1046-09-01
323,1046-47,2.2.19,1,enrolled,1046-09-01
324,1046-47,4.4.42,1,enrolled,1046-09-01
325,1046-47,2.2.18,1,enrolled,1046-09-01
326,1046-47,4.2.37,1,enrolled,1046-09-01
327,1046-47,1.5.13,1,enrolled,1046-09-01
328,1046-47,4.1.33,1,enrolled,1046-09-01
329,1046-47,4.1.35,1,enrolled,1046-09-01
330,1046-47,4.1.35,1,enrolled,1046-09-01
331,1046-47,4.3.39,1,enrolled,1046-09-01
332,1046-47,1.3.8,1,enrolled,1046-09-01
333,1046-47,4.2.37,1,enrolled,1046-09-01
334,1046-47,1.2.6,1,enrolled,1046-09-01
335,1046-47,1.1.3,1,enrolled,1046-09-01
336,1046-47,4.3.40,1,enrolled,1046-09-01
337,1046-47,3.1.27,1,enrolled,1046-09-01
338,1046-47,4.1.35,1,enrolled,1046-09-01
339,1046-47,1.1.1,1,enrolled,1046-09-01
340,1046-47,4.1.35,1,enrolled,1046-09-01
341,1046-47,4.3.39,1,enrolled,1046-09-01
342,1046-47,3.2.29,1,enrolled,1046-09-01
343,1046-47,1.5.13,1,enrolled,1046-09-01
344,1046-47,4.2.36,1,enrolled,1046-09-01
345,1046-47,4.3.39,1,enrolled,1046-09-01
346,1046-47,1.1.1,1,enrolled,1046-09-01
347,1046-47,3.2.29,1,enrolled,1046-09-01
348,1046-47,4.1.35,1,enrolled,1046-09-01
349,1046-47,2.2.18,1,enrolled,1046-09-01
350,1046-47,1.1.3,1,enrolled,1046-09-01
351,1046-47,1.1.1,1,enrolled,1046-09-01
352,1046-47,2.1.17,1,enrolled,1046-09-01
353,1046-47,4.2.37,1,enrolled,1046-09-01
354,1046-47,2.3.23,1,enrolled,1046-09-01
355,1046-47,4.4.44,1,enrolled,1046-09-01
356,1046-47,1.2.5,1,enrolled,1046-09-01
357,1046-47,3.2.30,1,enrolled,1046-09-01
358,1046-47,3.1.27,1,enrolled,1046-09-01
359,1046-47,4.4.44,1,enrolled,1046-09-01
360,1046-47,1.3.7,1,enrolled,1046-09-01
361,1046-47,4.1.35,1,enrolled,1046-09-01
362,1046-47,4.1.33,1,enrolled,1046-09-01
363,1046-47,2.1.16,1,enrolled,1046-09-01
364,1046-47,1.1.2,1,enrolled,1046-09-01
365,1046-47,1.3.8,1,enrolled,1046-09-01
366,1046-47,1.4.10,1,enrolled,1046-09-01
367,1046-47,2.4.25,1,enrolled,1046-09-01
368,1046-47,4.3.41,1,enrolled,1046-09-01
369,1046-47,3.3.32,1,enrolled,1046-09-01
370,1046-47,4.1.33,1,enrolled,1046-09-01
371,1046-47,1.5.14,1,enrolled,1046-09-01
372,1046-47,4.1.35,1,enrolled,1046-09-01
373,1046-47,4.2.38,1,enrolled,1046-09-01
374,1046-47,1.5.12,1,enrolled,1046-09-01
375,1046-47,3.2.30,1,enrolled,1046-09-01
376,1046-47,2.3.21,1,enrolled,1046-09-01
377,1046-47,2.1.16,1,enrolled,1046-09-01
378,1046-47,4.2.37,1,enrolled,1046-09-01
379,1046-47,2.3.23,1,enrolled,1046-09-01
380,1046-47,3.2.29,1,enrolled,1046-09-01
381,1046-47,4.2.37,1,enrolled,1046-09-01
382,1046-47,3.3.32,1,enrolled,1046-09-01
383,1046-47,1.1.2,1,enrolled,1046-09-01
384,1046-47,1.5.12,1,enrolled,1046-09-01
385,1046-47,1.3.8,1,enrolled,1046-09-01
386,1046-47,4.3.40,1,enrolled,1046-09-01
387,1046-47,4.1.35,1,enrolled,1046-09-01
388,1046-47,3.3.31,1,enrolled,1046-09-01
389,1046-47,1.2.5,1,enrolled,1046-09-01
390,1046-47,3.2.30,1,enrolled,1046-09-01
391,1046-47,4.2.38,1,enrolled,1046-09-01
392,1046-47,1.1.2,1,enrolled,1046-09-01
393,1046-47,4.2.37,1,enrolled,1046-09-01
394,1046-47,4.3.39,1,enrolled,1046-09-01
395,1046-47,1.2.4,1,enrolled,1046-09-01
396,1046-47,4.4.44,1,enrolled,1046-09-01
397,1046-47,3.2.29,1,enrolled,1046-09-01
398,1046-47,2.1.16,1,enrolled,1046-09-01
399,1046-47,1.3.7,1,enrolled,1046-09-01
400,1046-47,2.4.25,1,enrolled,1046-09-01
401,1046-47,3.3.32,1,enrolled,1046-09-01
402,1046-47,1.1.3,1,enrolled,1046-09-01
403,1046-47,1.1.2,1,enrolled,1046-09-01
404,1046-47,1.2.4,1,enrolled,1046-09-01
405,1046-47,4.2.38,1,enrolled,1046-09-01
406,1046-47,1.3.7,1,enrolled,1046-09-01
407,1046-47,2.1.15,1,enrolled,1046-09-01
408,1046-47,3.3.31,1,enrolled,1046-09-01
409,1046-47,1.2.4,1,enrolled,1046-09-01
410,1046-47,2.3.22,1,enrolled,1046-09-01
411,1046-47,3.3.32,1,enrolled,1046-09-01
412,1046-47,4.4.44,1,enrolled,1046-09-01
413,1046-47,1.2.4,1,enrolled,1046-09-01
414,1046-47,1.2.5,1,enrolled,1046-09-01
415,1046-47,2.1.17,1,enrolled,1046-09-01
416,1046-47,2.2.20,1,enrolled,1046-09-01
417,1046-47,3.1.27,1,enrolled,1046-09-01
418,1046-47,2.3.22,1,enrolled,1046-09-01
419,1046-47,3.1.27,1,enrolled,1046-09-01
420,1046-47,4.3.41,1,enrolled,1046-09-01
421,1046-47,4.4.44,1,enrolled,1046-09-01
422,1046-47,3.3.32,1,enrolled,1046-09-01
423,1046-47,1.2.4,1,enrolled,1046-09-01
424,1046-47,4.3.39,1,enrolled,1046-09-01
425,1046-47,4.2.37,1,enrolled,1046-09-01
426,1046-47,4.2.37,1,enrolled,1046-09-01
427,1046-47,3.2.30,1,enrolled,1046-09-01
428,1046-47,4.4.42,1,enrolled,1046-09-01
429,1046-47,4.3.41,1,enrolled,1046-09-01
430,1046-47,4.3.39,1,enrolled,1046-09-01
431,1046-47,3.1.27,1,enrolled,1046-09-01
432,1046-47,4.2.36,1,enrolled,1046-09-01
433,1046-47,2.4.24,1,enrolled,1046-09-01
434,1046-47,1.4.10,1,enrolled,1046-09-01
435,1046-47,1.1.2,1,enrolled,1046-09-01
436,1046-47,4.1.33,1,enrolled,1046-09-01
437,1046-47,3.1.27,1,enrolled,1046-09-01
438,1046-47,2.1.15,1,enrolled,1046-09-01
439,1046-47,1.4.11,1,enrolled,1046-09-01
440,1046-47,2.2.19,1,enrolled,1046-09-01
441,1046-47,2.2.19,1,enrolled,1046-09-01
442,1046-47,2.3.23,1,enrolled,1046-09-01
443,1046-47,3.2.30,1,enrolled,1046-09-01
444,1046-47,2.3.22,1,enrolled,1046-09-01
445,1046-47,4.1.35,1,enrolled,1046-09-01
446,1046-47,2.4.26,1,enrolled,1046-09-01
447,1046-47,1.5.12,1,enrolled,1046-09-01
448,1046-47,2.4.24,1,enrolled,1046-09-01
449,1046-47,2.4.25,1,enrolled,1046-09-01
450,1046-47,2.2.19,1,enrolled,1046-09-01
451,1046-47,1.3.8,1,enrolled,1046-09-01
452,1046-47,1.2.5,1,enrolled,1046-09-01
453,1046-47,1.2.4,1,enrolled,1046-09-01
454,1046-47,4.4.44,1,enrolled,1046-09-01
455,1046-47,4.3.41,1,enrolled,1046-09-01
456,1046-47,1.1.2,1,enrolled,1046-09-01
457,1046-47,3.1.28,1,enrolled,1046-09-01
458,1046-47,2.1.15,1,enrolled,1046-09-01
459,1046-47,2.3.23,1,enrolled,1046-09-01
460,1046-47,4.1.33,1,enrolled,1046-09-01
461,1046-47,1.2.6,1,enrolled,1046-09-01
462,1046-47,2.3.23,1,enrolled,1046-09-01
463,1046-47,4.3.40,1,enrolled,1046-09-01
464,1046-47,3.1.27,1,enrolled,1046-09-01
465,1046-47,4.4.43,1,enrolled,1046-09-01
466,1046-47,2.3.22,1,enrolled,1046-09-01
467,1046-47,3.2.29,1,enrolled,1046-09-01
468,1046-47,3.1.27,1,enrolled,1046-09-01
469,1046-47,4.1.33,1,enrolled,1046-09-01
470,1046-47,2.1.16,1,enrolled,1046-09-01
471,1046-47,4.1.34,1,enrolled,1046-09-01
472,1046-47,4.4.43,1,enrolled,1046-09-01
473,1046-47,1.1.3,1,enrolled,1046-09-01
474,1046-47,4.4.43,1,enrolled,1046-09-01
475,1046-47,1.5.13,1,enrolled,1046-09-01
476,1046-47,1.1.2,1,enrolled,1046-09-01
477,1046-47,4.2.37,1,enrolled,1046-09-01
478,1046-47,1.1.1,1,enrolled,1046-09-01
479,1046-47,4.1.35,1,enrolled,1046-09-01
480,1046-47,1.1.3,1,enrolled,1046-09-01
481,1046-47,4.2.38,1,enrolled,1046-09-01
482,1046-47,4.1.33,1,enrolled,1046-09-01
483,1046-47,2.1.17,1,enrolled,1046-09-01
484,1046-47,4.1.33,1,enrolled,1046-09-01
485,1046-47,4.4.44,1,enrolled,1046-09-01
486,1046-47,4.3.40,1,enrolled,1046-09-01
487,1046-47,2.1.15,1,enrolled,1046-09-01
488,1046-47,4.3.41,1,enrolled,1046-09-01
489,1046-47,3.3.31,1,enrolled,1046-09-01
490,1046-47,4.3.41,1,enrolled,1046-09-01
491,1046-47,1.4.10,1,enrolled,1046-09-01
492,1046-47,2.3.22,1,enrolled,1046-09-01
493,1046-47,2.3.23,1,enrolled,1046-09-01
494,1046-47,2.4.26,1,enrolled,1046-09-01
495,1046-47,4.1.34,1,enrolled,1046-09-01
496,1046-47,2.3.22,1,enrolled,1046-09-01
497,1046-47,1.2.5,1,enrolled,1046-09-01
498,1046-47,2.4.24,1,enrolled,1046-09-01
499,1046-47,3.3.32,1,enrolled,1046-09-01
500,1047-48,1.4.10,1,enrolled,1047-09-01
501,1047-48,2.1.16,1,enrolled,1047-09-01
502,1047-48,3.2.29,1,enrolled,1047-09-01
503,1047-48,3.2.30,1,enrolled,1047-09-01
504,1047-48,3.3.31,1,enrolled,1047-09-01
505,1047-48,2.3.23,1,enrolled,1047-09-01
506,1047-48,4.2.37,1,enrolled,1047-09-01
507,1047-48,3.3.31,1,enrolled,1047-09-01
508,1047-48,4.1.35,1,enrolled,1047-09-01
509,1047-48,4.4.42,1,enrolled,1047-09-01
510,1047-48,2.3.23,1,enrolled,1047-09-01
511,1047-48,4.3.39,1,enrolled,1047-09-01
512,1047-48,1.5.14,1,enrolled,1047-09-01
513,1047-48,3.1.28,1,enrolled,1047-09-01
514,1047-48,1.2.4,1,enrolled,1047-09-01
515,1047-48,2.4.25,1,enrolled,1047-09-01
