student_id,academic_year,programme_code,programme_year,is_repeat_year,survey_responded,teaching_quality,learning_opportunities,assessment_feedback,academic_support,organisation_management,learning_resources,student_voice,overall_satisfaction
1078,1048-49,3_1_1,3,False,True,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0
1079,1048-49,4_2_12,3,False,True,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
1082,1048-49,2_2_5,3,False,True,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0
1084,1048-49,3_1_1,3,False,True,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0
1088,1048-49,2_2_3,3,False,False,,,,,,,,
1089,1048-49,2_4_10,3,False,False,,,,,,,,
109,1048-49,4_2_12,3,False,True,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0
1091,1048-49,2_1_1,3,False,False,,,,,,,,
1094,1048-49,2_4_10,3,False,False,,,,,,,,
1095,1048-49,4_2_8,3,False,True,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0
1096,1048-49,2_4_10,3,False,True,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0
110,1048-49,5_3_11,3,False,True,3.0,3.0,4.0,4.0,4.0,5.0,3.0,5.0
1101,1048-49,2_2_3,3,False,True,4.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0
1105,1048-49,2_2_3,3,False,True,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0
1108,1048-49,1_2_1,3,False,True,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0
1109,1048-49,4_2_8,3,False,True,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0
1111,1048-49,2_2_6,3,False,False,,,,,,,,
1112,1048-49,2_2_2,3,False,True,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0
1113,1048-49,3_2_2,3,False,True,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
1114,1048-49,2_2_4,3,False,True,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
1117,1048-49,2_2_2,3,False,False,,,,,,,,
1126,1048-49,2_1_1,3,False,True,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
1131,1048-49,2_2_6,3,False,True,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
1134,1048-49,2_4_10,3,False,True,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0
1143,1048-49,1_1_1,3,False,True,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0
1148,1048-49,2_2_6,3,False,True,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0
115,1048-49,1_2_1,3,False,True,5.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0
1151,1048-49,2_4_10,3,False,False,,,,,,,,
1158,1048-49,2_1_1,3,False,True,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
1165,1048-49,2_2_6,3,False,True,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0
1166,1048-49,2_3_9,3,False,False,,,,,,,,
1168,1048-49,3_1_1,3,False,False,,,,,,,,
1169,1048-49,2_1_1,3,False,True,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0
1171,1048-49,2_1_1,3,False,True,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
1185,1048-49,4_2_12,3,False,True,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0
1187,1048-49,1_2_1,3,False,True,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
1189,1048-49,2_4_10,3,False,False,,,,,,,,
1194,1048-49,2_2_5,3,False,True,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0
1200,1048-49,2_2_4,3,False,True,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0
1208,1048-49,2_3_8,3,False,True,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
1210,1048-49,1_1_3,3,False,True,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0
1212,1048-49,5_3_12,3,False,True,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0
1217,1048-49,4_2_12,3,False,True,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0
1219,1048-49,4_2_10,3,False,True,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
122,1048-49,4_2_11,3,False,True,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0
1221,1048-49,2_3_9,3,False,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1223,1048-49,4_2_12,3,False,True,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1224,1048-49,2_4_10,3,False,True,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0
1225,1048-49,2_4_12,3,False,True,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0
1228,1048-49,4_2_8,3,False,True,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0
1229,1048-49,1_1_4,3,False,False,,,,,,,,
123,1048-49,2_4_11,3,False,True,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0
1230,1048-49,1_2_1,3,False,True,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0
1244,1048-49,1_1_5,3,False,True,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0
1246,1048-49,2_1_1,3,False,True,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0
1251,1048-49,1_2_1,3,False,True,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
1255,1048-49,3_2_2,3,False,True,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
1257,1048-49,1_1_2,3,False,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1258,1048-49,3_5_13,3,False,True,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0
1266,1048-49,2_3_9,3,False,False,,,,,,,,
1268,1048-49,2_2_4,3,False,True,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0
1269,1048-49,2_4_12,3,False,True,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
127,1048-49,5_3_11,3,False,True,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
1272,1048-49,5_3_12,3,False,True,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0
1273,1048-49,2_2_3,3,False,True,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0
1274,1048-49,2_4_10,3,False,False,,,,,,,,
1278,1048-49,2_3_7,3,False,True,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
128,1048-49,1_1_3,3,False,True,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
1282,1048-49,2_4_11,3,False,False,,,,,,,,
1283,1048-49,2_1_1,3,False,False,,,,,,,,
1284,1048-49,2_3_8,3,False,False,,,,,,,,
1285,1048-49,4_2_10,3,False,False,,,,,,,,
1286,1048-49,4_2_11,3,False,False,,,,,,,,
1287,1048-49,2_2_2,3,False,False,,,,,,,,
1289,1048-49,2_4_11,3,False,True,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0
129,1048-49,3_1_1,3,False,True,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0
1290,1048-49,2_2_5,3,False,True,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0
1295,1048-49,5_3_11,3,False,True,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0
1302,1048-49,1_2_1,3,False,True,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0
1307,1048-49,2_3_8,3,False,True,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0
1308,1048-49,1_1_4,3,False,False,,,,,,,,
1309,1048-49,3_1_1,3,False,True,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0
1311,1048-49,5_3_11,3,False,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1312,1048-49,4_2_11,3,False,False,,,,,,,,
1314,1048-49,4_2_9,3,False,False,,,,,,,,
1317,1048-49,5_3_11,3,False,True,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
1320,1048-49,2_3_8,3,False,True,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0
1325,1048-49,4_2_8,3,False,True,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0
1326,1048-49,3_5_13,3,False,True,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
1328,1048-49,3_2_2,3,False,True,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0
1331,1048-49,1_1_4,3,False,False,,,,,,,,
1333,1048-49,2_4_12,3,False,True,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
1335,1048-49,2_3_8,3,False,False,,,,,,,,
1340,1048-49,4_2_8,3,False,True,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
1341,1048-49,1_2_1,3,False,False,,,,,,,,
1342,1048-49,1_1_5,3,False,False,,,,,,,,
1348,1048-49,2_2_5,3,False,True,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0
1349,1048-49,2_2_4,3,False,True,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
1350,1048-49,4_2_12,3,False,True,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1352,1048-49,2_3_8,3,False,True,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
1357,1048-49,4_2_10,3,False,False,,,,,,,,
1358,1048-49,4_2_11,3,False,True,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0
136,1048-49,1_1_2,3,False,True,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0
1360,1048-49,2_1_1,3,False,True,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0
1364,1048-49,2_4_10,3,False,True,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0
1365,1048-49,2_3_8,3,False,False,,,,,,,,
1373,1048-49,4_2_12,3,False,True,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0
1374,1048-49,2_2_3,3,False,False,,,,,,,,
1377,1048-49,5_3_12,3,False,True,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0
1388,1048-49,1_1_1,3,False,True,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
1391,1048-49,1_1_3,3,False,True,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0
1392,1048-49,2_3_9,3,False,False,,,,,,,,
1393,1048-49,5_3_11,3,False,True,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0
1394,1048-49,2_2_5,3,False,True,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0
1396,1048-49,5_3_12,3,False,True,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0
1397,1048-49,3_5_13,3,False,True,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0
140,1048-49,2_2_4,3,False,True,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0
1402,1048-49,2_3_8,3,False,True,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0
1403,1048-49,4_2_11,3,False,True,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
1404,1048-49,2_1_1,3,False,True,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
1405,1048-49,2_1_1,3,False,True,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
1407,1048-49,4_2_8,3,False,True,4.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0
1409,1048-49,1_1_1,3,False,True,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
141,1048-49,4_2_11,3,False,True,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0
1410,1048-49,2_4_10,3,False,True,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0
1411,1048-49,2_3_9,3,False,True,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0
1412,1048-49,1_1_5,3,False,False,,,,,,,,
1416,1048-49,4_2_10,3,False,False,,,,,,,,
1417,1048-49,1_1_3,3,False,False,,,,,,,,
1420,1048-49,4_2_12,3,False,True,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0
1423,1048-49,4_2_8,3,False,True,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
1425,1048-49,2_2_5,3,False,False,,,,,,,,
1428,1048-49,2_1_1,3,False,False,,,,,,,,
1431,1048-49,1_1_1,3,False,True,4.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0
1438,1048-49,2_3_8,3,False,True,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1448,1048-49,2_1_1,3,False,True,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
145,1048-49,2_3_9,3,False,True,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0
1451,1048-49,4_2_12,3,False,False,,,,,,,,
1452,1048-49,1_1_5,3,False,True,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0
1457,1048-49,5_3_11,3,False,True,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0
1458,1048-49,3_2_2,3,False,True,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0
1465,1048-49,4_2_11,3,False,False,,,,,,,,
1467,1048-49,4_2_11,3,False,False,,,,,,,,
1474,1048-49,1_1_4,3,False,True,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0
1476,1048-49,2_4_11,3,False,True,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0
1477,1048-49,3_2_2,3,False,True,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0
1480,1048-49,1_1_4,3,False,True,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0
1483,1048-49,2_2_3,3,False,True,5.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0
1490,1048-49,2_4_10,3,False,True,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0
1495,1048-49,4_2_11,3,False,True,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0
1498,1048-49,2_3_8,3,False,True,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
15,1048-49,2_2_4,3,False,True,4.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0
150,1048-49,2_4_12,3,False,False,,,,,,,,
1500,1048-49,3_2_2,3,False,True,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
1502,1048-49,1_1_5,3,False,True,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
1504,1048-49,4_2_10,3,False,True,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
1505,1048-49,4_2_10,3,False,True,3.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0
1506,1048-49,3_5_13,3,False,True,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
1507,1048-49,1_1_2,3,False,False,,,,,,,,
1512,1048-49,2_2_4,3,False,True,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
1521,1048-49,4_2_9,3,False,True,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0
1523,1048-49,4_2_9,3,False,True,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
1525,1048-49,4_2_12,3,False,True,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0
1529,1048-49,3_1_1,3,False,True,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
153,1048-49,4_2_11,3,False,True,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0
1533,1048-49,1_1_4,3,False,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1535,1048-49,2_2_4,3,False,True,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0
1539,1048-49,1_1_5,3,False,True,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0
1542,1048-49,2_2_2,3,False,False,,,,,,,,
1547,1048-49,4_2_12,3,False,True,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0
1552,1048-49,1_1_1,3,False,True,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0
1555,1048-49,2_1_1,3,False,False,,,,,,,,
1560,1048-49,2_4_12,3,False,True,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0
1562,1048-49,1_2_1,3,False,True,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1563,1048-49,2_2_5,3,False,True,4.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0
1566,1048-49,3_5_13,3,False,False,,,,,,,,
1567,1048-49,2_1_1,3,False,False,,,,,,,,
1572,1048-49,4_2_9,3,False,True,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0
1576,1048-49,2_2_5,3,False,True,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0
1577,1048-49,2_4_10,3,False,True,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
1581,1048-49,1_1_3,3,False,False,,,,,,,,
1587,1048-49,4_2_8,3,False,True,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0
1588,1048-49,2_3_8,3,False,True,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0
1590,1048-49,2_2_2,3,False,True,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0
1592,1048-49,2_1_1,3,False,False,,,,,,,,
1596,1048-49,2_4_11,3,False,True,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
1597,1048-49,5_3_11,3,False,False,,,,,,,,
1598,1048-49,2_2_2,3,False,True,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0
1600,1048-49,2_2_4,3,False,True,5.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0
1601,1048-49,1_1_2,3,False,True,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0
1603,1048-49,2_4_11,3,False,True,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0
1604,1048-49,2_1_1,3,False,True,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
1605,1048-49,4_2_11,3,False,False,,,,,,,,
1609,1048-49,1_1_2,3,False,True,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0
161,1048-49,2_3_9,3,False,True,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0
1610,1048-49,2_1_1,3,False,True,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
1612,1048-49,3_2_2,3,False,True,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0
1614,1048-49,1_1_2,3,False,False,,,,,,,,
1617,1048-49,4_2_10,3,False,False,,,,,,,,
162,1048-49,4_2_11,3,False,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1620,1048-49,1_1_2,3,False,True,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0
1622,1048-49,2_2_2,3,False,True,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0
1625,1048-49,1_1_3,3,False,True,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0
1626,1048-49,4_2_9,3,False,False,,,,,,,,
1638,1048-49,4_2_11,3,False,True,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0
1639,1048-49,4_2_11,3,False,True,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0
1640,1048-49,2_2_2,3,False,False,,,,,,,,
1642,1048-49,3_5_13,3,False,False,,,,,,,,
1647,1048-49,2_2_2,3,False,True,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0
1652,1048-49,2_2_3,3,False,True,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0
1655,1048-49,3_2_2,3,False,True,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0
166,1048-49,3_2_2,3,False,True,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0
1661,1048-49,2_2_3,3,False,True,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1664,1048-49,2_4_10,3,False,False,,,,,,,,
1665,1048-49,1_1_4,3,False,True,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0
167,1048-49,1_1_1,3,False,False,,,,,,,,
1674,1048-49,1_1_3,3,False,True,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0
1676,1048-49,2_2_6,3,False,False,,,,,,,,
1679,1048-49,2_4_12,3,False,True,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0
1680,1048-49,3_5_13,3,False,True,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
1686,1048-49,4_2_12,3,False,False,,,,,,,,
1687,1048-49,2_2_3,3,False,True,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0
1690,1048-49,1_1_1,3,False,False,,,,,,,,
1698,1048-49,1_1_1,3,False,True,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
17,1048-49,4_2_12,3,False,True,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0
1704,1048-49,2_4_12,3,False,True,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0
1707,1048-49,2_3_7,3,False,True,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0
1708,1048-49,2_4_12,3,False,True,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0
1709,1048-49,2_2_2,3,False,True,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0
171,1048-49,2_2_2,3,False,True,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0
1711,1048-49,2_3_7,3,False,False,,,,,,,,
1713,1048-49,4_2_10,3,False,True,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
1717,1048-49,4_2_9,3,False,True,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
1724,1048-49,2_2_4,3,False,False,,,,,,,,
1731,1048-49,5_3_12,3,False,False,,,,,,,,
1734,1048-49,2_2_3,3,False,True,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1735,1048-49,2_3_8,3,False,True,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
1738,1048-49,1_1_4,3,False,False,,,,,,,,
1740,1048-49,3_2_2,3,False,True,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0
1741,1048-49,4_2_11,3,False,True,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0
1749,1048-49,2_3_7,3,False,True,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
1754,1048-49,1_1_4,3,False,True,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1764,1048-49,1_1_1,3,False,True,4.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0
1766,1048-49,4_2_11,3,False,True,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
1769,1048-49,2_1_1,3,False,True,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0
1770,1048-49,1_1_3,3,False,True,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0
1771,1048-49,2_2_2,3,False,True,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0
1773,1048-49,2_4_12,3,False,True,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
1774,1048-49,4_2_9,3,False,False,,,,,,,,
1775,1048-49,3_2_2,3,False,True,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0
1776,1048-49,5_3_12,3,False,False,,,,,,,,
1777,1048-49,2_3_8,3,False,True,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0
1779,1048-49,2_3_8,3,False,False,,,,,,,,
1780,1048-49,3_2_2,3,False,True,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0
1784,1048-49,1_1_3,3,False,False,,,,,,,,
1787,1048-49,2_2_3,3,False,True,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0
1793,1048-49,1_1_4,3,False,True,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0
1795,1048-49,4_2_12,3,False,True,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
18,1048-49,1_1_2,3,False,True,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0
1800,1048-49,2_2_2,3,False,True,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0
1803,1048-49,3_2_2,3,False,True,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0
1805,1048-49,2_3_7,3,False,True,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0
1807,1048-49,4_2_8,3,False,True,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0
1808,1048-49,2_4_12,3,False,True,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0
1810,1048-49,5_3_11,3,False,True,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0
1812,1048-49,2_2_5,3,False,True,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
1813,1048-49,2_2_5,3,False,True,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0
1814,1048-49,2_1_1,3,False,False,,,,,,,,
1815,1048-49,1_1_5,3,False,False,,,,,,,,
1816,1048-49,3_5_13,3,False,True,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0
