student_id,academic_year_graduated,programme_code,degree_classification,degree_weighted_avg
1221,1048-49,2_3_9,2:2,57.8
1223,1048-49,4_2_12,Third,41.4
1224,1048-49,2_4_10,2:2,56.9
1225,1048-49,2_4_12,Third,47.7
1229,1048-49,1_1_4,2:1,65.7
1244,1048-49,1_1_5,First,74.0
1251,1048-49,1_2_1,2:1,60.4
1255,1048-49,3_2_2,First,71.6
1266,1048-49,2_3_9,2:1,61.1
1268,1048-49,2_2_4,2:2,53.9
1269,1048-49,2_4_12,2:2,53.8
1273,1048-49,2_2_3,First,72.8
1274,1048-49,2_4_10,2:2,58.4
1278,1048-49,2_3_7,2:2,50.4
128,1048-49,1_1_3,2:2,50.4
1282,1048-49,2_4_11,Third,47.7
1283,1048-49,2_1_1,2:1,64.4
1284,1048-49,2_3_8,2:2,52.8
1287,1048-49,2_2_2,Third,49.8
1289,1048-49,2_4_11,2:2,53.9
129,1048-49,3_1_1,2:1,64.8
1290,1048-49,2_2_5,First,73.4
1302,1048-49,1_2_1,Third,48.1
1307,1048-49,2_3_8,First,72.1
1309,1048-49,3_1_1,2:2,56.4
1320,1048-49,2_3_8,First,72.5
1331,1048-49,1_1_4,2:1,61.5
1333,1048-49,2_4_12,2:2,52.4
1335,1048-49,2_3_8,2:2,54.4
1341,1048-49,1_2_1,2:2,56.6
1348,1048-49,2_2_5,Third,48.4
1350,1048-49,4_2_12,2:1,61.0
1352,1048-49,2_3_8,First,71.2
136,1048-49,1_1_2,2:1,61.4
1364,1048-49,2_4_10,2:2,51.9
1365,1048-49,2_3_8,2:1,64.9
1373,1048-49,4_2_12,First,70.5
1374,1048-49,2_2_3,2:2,50.8
1392,1048-49,2_3_9,2:2,53.8
1394,1048-49,2_2_5,2:2,59.8
140,1048-49,2_2_4,2:2,54.9
1402,1048-49,2_3_8,Third,47.7
1404,1048-49,2_1_1,2:2,56.8
1405,1048-49,2_1_1,2:1,69.6
1409,1048-49,1_1_1,2:1,61.3
1410,1048-49,2_4_10,2:2,59.2
1412,1048-49,1_1_5,2:2,54.8
1417,1048-49,1_1_3,2:2,58.3
1420,1048-49,4_2_12,2:1,66.3
1425,1048-49,2_2_5,Third,48.4
1431,1048-49,1_1_1,2:2,55.2
1438,1048-49,2_3_8,2:1,61.2
1448,1048-49,2_1_1,2:2,52.6
145,1048-49,2_3_9,2:1,67.2
1451,1048-49,4_2_12,2:1,68.4
1452,1048-49,1_1_5,2:2,59.1
1458,1048-49,3_2_2,2:1,67.0
1476,1048-49,2_4_11,2:1,69.7
1481,1048-49,1_1_1,2:2,51.1
1483,1048-49,2_2_3,2:2,54.1
1490,1048-49,2_4_10,2:1,63.1
1502,1048-49,1_1_5,2:1,61.3
1507,1048-49,1_1_2,2:2,59.8
1529,1048-49,3_1_1,2:1,69.6
1533,1048-49,1_1_4,2:1,66.5
1535,1048-49,2_2_4,2:1,67.3
1542,1048-49,2_2_2,Third,48.9
1547,1048-49,4_2_12,2:2,52.3
1552,1048-49,1_1_1,2:1,62.7
1555,1048-49,2_1_1,2:1,66.2
1560,1048-49,2_4_12,Third,48.6
1562,1048-49,1_2_1,Third,47.0
1563,1048-49,2_2_5,2:2,58.1
1567,1048-49,2_1_1,2:2,57.2
1576,1048-49,2_2_5,2:2,55.5
1577,1048-49,2_4_10,2:2,56.5
1588,1048-49,2_3_8,2:2,59.5
1590,1048-49,2_2_2,2:2,50.8
1598,1048-49,2_2_2,First,72.3
1600,1048-49,2_2_4,2:1,69.2
1601,1048-49,1_1_2,First,70.1
1603,1048-49,2_4_11,2:2,58.8
1604,1048-49,2_1_1,2:2,59.2
1609,1048-49,1_1_2,2:2,53.3
1612,1048-49,3_2_2,2:2,59.5
1620,1048-49,1_1_2,2:2,57.1
1625,1048-49,1_1_3,2:1,60.1
1636,1048-49,2_2_2,2:2,56.0
1640,1048-49,2_2_2,2:1,69.7
1647,1048-49,2_2_2,2:2,52.7
1655,1048-49,3_2_2,2:2,54.2
166,1048-49,3_2_2,2:2,59.2
1661,1048-49,2_2_3,Third,49.1
167,1048-49,1_1_1,2:2,56.2
1674,1048-49,1_1_3,2:2,52.2
1679,1048-49,2_4_12,2:2,56.1
1686,1048-49,4_2_12,2:2,55.9
1687,1048-49,2_2_3,Third,48.7
1690,1048-49,1_1_1,2:1,65.9
17,1048-49,4_2_12,First,73.8
1704,1048-49,2_4_12,2:2,52.6
1707,1048-49,2_3_7,First,76.4
1708,1048-49,2_4_12,2:2,56.9
1709,1048-49,2_2_2,2:2,54.6
171,1048-49,2_2_2,2:1,64.9
1711,1048-49,2_3_7,2:2,57.1
1734,1048-49,2_2_3,2:2,57.5
1735,1048-49,2_3_8,2:1,63.1
1738,1048-49,1_1_4,2:2,59.1
1739,1048-49,2_2_2,2:2,59.9
1740,1048-49,3_2_2,2:1,68.8
1764,1048-49,1_1_1,2:1,61.6
1771,1048-49,2_2_2,2:1,68.8
1772,1048-49,2_2_3,2:1,64.9
1775,1048-49,3_2_2,2:1,63.0
1777,1048-49,2_3_8,2:2,53.0
1779,1048-49,2_3_8,Third,48.0
1780,1048-49,3_2_2,2:1,64.8
1784,1048-49,1_1_3,First,70.4
1787,1048-49,2_2_3,First,73.2
1793,1048-49,1_1_4,2:1,60.3
1795,1048-49,4_2_12,2:2,57.4
18,1048-49,1_1_2,First,70.3
1800,1048-49,2_2_2,2:1,67.6
1803,1048-49,3_2_2,2:2,56.1
1805,1048-49,2_3_7,2:2,58.2
1808,1048-49,2_4_12,2:1,65.0
1812,1048-49,2_2_5,2:2,53.2
1813,1048-49,2_2_5,First,70.6
1814,1048-49,2_1_1,First,71.7
1815,1048-49,1_1_5,2:1,67.4
1819,1048-49,1_1_5,First,71.0
1827,1048-49,1_1_1,2:1,67.4
183,1048-49,2_4_10,2:2,58.1
1831,1048-49,2_2_5,2:2,56.2
1838,1048-49,3_2_2,2:1,64.0
1839,1048-49,2_1_1,2:2,50.8
1843,1048-49,2_2_6,2:1,61.4
1848,1048-49,2_2_3,2:2,51.6
1856,1048-49,1_1_4,2:2,58.7
1863,1048-49,2_4_10,2:2,53.4
1866,1048-49,2_3_8,First,71.9
1867,1048-49,1_1_4,2:2,58.3
1869,1048-49,2_2_2,2:2,59.9
1883,1048-49,2_3_7,Third,49.8
1886,1048-49,2_3_7,2:2,58.4
1889,1048-49,1_1_5,2:1,61.1
189,1048-49,2_2_4,2:2,56.8
1896,1048-49,2_2_5,First,72.2
1898,1048-49,1_2_1,2:2,52.0
190,1048-49,2_1_1,Third,49.2
1901,1048-49,1_1_3,2:2,50.2
1902,1048-49,4_2_12,2:1,60.2
1907,1048-49,3_1_1,2:2,50.0
191,1048-49,2_4_12,2:1,68.9
1911,1048-49,2_3_7,2:2,57.1
1932,1048-49,2_1_1,2:1,62.6
1934,1048-49,2_1_1,2:1,61.1
1935,1048-49,2_4_10,2:1,67.7
1936,1048-49,1_2_1,2:1,69.1
1937,1048-49,4_2_12,2:1,67.5
194,1048-49,1_2_1,2:2,55.2
1941,1048-49,2_2_2,2:1,67.2
1942,1048-49,2_4_12,2:2,54.1
1944,1048-49,1_1_4,First,73.9
1945,1048-49,3_2_2,2:1,67.8
1946,1048-49,2_3_9,First,75.2
1961,1048-49,2_3_7,2:1,61.6
197,1048-49,1_2_1,2:2,54.7
1975,1048-49,1_1_3,2:1,60.7
1978,1048-49,2_4_10,2:1,64.9
1979,1048-49,2_2_4,2:2,54.6
198,1048-49,1_1_2,2:1,65.4
1982,1048-49,2_4_12,First,71.0
1988,1048-49,4_2_12,2:1,64.3
1990,1048-49,4_2_12,2:2,50.7
1992,1048-49,2_2_4,2:1,67.8
20,1048-49,3_2_2,2:1,66.0
2003,1048-49,1_1_5,2:2,56.9
2010,1048-49,2_2_5,First,71.5
2015,1048-49,2_2_4,2:2,50.8
2020,1048-49,4_2_12,2:2,50.9
2024,1048-49,2_2_6,2:1,64.7
2026,1048-49,1_1_4,First,70.7
2028,1048-49,3_2_2,2:2,58.6
2029,1048-49,2_2_4,2:1,64.1
2032,1048-49,2_2_3,2:2,59.9
2043,1048-49,2_1_1,2:1,62.1
2067,1048-49,2_1_1,2:2,59.6
2068,1048-49,2_1_1,2:1,60.7
2072,1048-49,2_2_3,2:2,52.9
2074,1048-49,2_4_12,2:1,66.3
2080,1048-49,2_4_10,2:2,52.1
2084,1048-49,1_2_1,2:2,57.2
2086,1048-49,4_2_12,2:2,57.0
2092,1048-49,2_2_2,2:1,64.5
2094,1048-49,3_1_1,2:2,52.8
2095,1048-49,2_4_12,2:2,54.3
2096,1048-49,2_1_1,2:2,56.6
210,1048-49,4_2_12,Third,49.2
2107,1048-49,3_2_2,2:1,63.7
2112,1048-49,1_1_4,2:1,63.4
2114,1048-49,2_4_12,Third,48.7
2116,1048-49,2_4_12,Third,48.3
2121,1048-49,2_3_8,2:2,53.0
2125,1048-49,2_4_12,2:1,60.4
2129,1048-49,2_4_12,2:2,52.6
2133,1048-49,1_1_1,2:1,69.5
2139,1048-49,2_2_4,2:1,60.0
214,1048-49,2_1_1,2:2,53.2
2140,1048-49,2_3_8,First,77.9
2141,1048-49,1_1_1,2:2,56.9
2145,1048-49,2_4_12,Third,46.0
2149,1048-49,2_2_6,2:1,66.3
2175,1048-49,1_1_2,2:1,64.1
218,1048-49,2_3_7,2:1,64.5
2181,1048-49,1_1_5,First,70.5
2187,1048-49,3_1_1,2:1,61.2
219,1048-49,1_1_4,2:1,67.7
2191,1048-49,2_4_12,2:2,55.1
2196,1048-49,1_1_3,2:2,54.5
2202,1048-49,4_2_12,2:1,65.7
2214,1048-49,2_3_7,2:1,66.2
2215,1048-49,1_2_1,2:2,52.3
2222,1048-49,2_4_12,2:1,64.8
2227,1048-49,2_1_1,2:1,61.3
2230,1048-49,2_3_8,2:2,56.3
2231,1048-49,1_1_4,2:1,62.8
2233,1048-49,3_2_2,2:1,62.4
2235,1048-49,2_2_6,2:2,60.0
224,1048-49,3_1_1,2:2,57.7
2244,1048-49,1_1_3,First,70.6
2248,1048-49,1_1_3,2:2,55.1
2251,1048-49,1_1_1,Third,45.8
2257,1048-49,1_1_4,2:1,66.1
2258,1048-49,1_1_3,2:2,57.3
2260,1048-49,1_1_5,2:1,67.0
2261,1048-49,1_1_3,2:2,52.2
2262,1048-49,2_4_12,2:2,51.4
2266,1048-49,1_2_1,2:2,58.1
2273,1048-49,2_2_2,2:1,67.7
2276,1048-49,2_2_3,2:1,62.6
2287,1048-49,2_2_4,2:2,58.8
2292,1048-49,2_4_10,2:2,55.6
2295,1048-49,2_2_3,2:1,67.4
2298,1048-49,2_2_4,2:2,58.0
2300,1048-49,2_4_12,2:1,61.8
2302,1048-49,4_2_12,2:1,68.0
2306,1048-49,3_2_2,2:1,65.3
2308,1048-49,2_2_3,2:2,54.2
2312,1048-49,2_2_6,Third,48.7
2318,1048-49,2_3_7,First,76.2
2322,1048-49,1_1_3,2:1,61.1
2325,1048-49,1_1_5,2:1,68.9
2328,1048-49,2_2_2,2:1,62.3
2331,1048-49,1_1_2,2:2,55.3
2334,1048-49,2_3_7,2:1,64.8
234,1048-49,2_3_9,2:2,51.0
2341,1048-49,2_3_7,2:1,64.6
2347,1048-49,2_2_3,2:2,52.3
2356,1048-49,4_2_12,2:2,54.6
2359,1048-49,2_2_6,2:1,63.7
2364,1048-49,2_2_5,2:2,59.5
237,1048-49,2_3_7,Third,44.3
2381,1048-49,2_2_4,2:2,58.9
2382,1048-49,2_1_1,2:2,55.1
2387,1048-49,2_3_8,2:1,63.8
2389,1048-49,1_1_5,First,75.0
2397,1048-49,2_2_3,2:2,53.3
2398,1048-49,1_1_5,2:2,54.8
2399,1048-49,2_3_7,2:1,61.2
2400,1048-49,1_1_1,2:1,64.1
2403,1048-49,2_2_4,2:2,56.5
2407,1048-49,2_2_4,2:1,68.0
241,1048-49,1_1_3,2:1,68.6
2414,1048-49,1_1_4,2:2,50.8
2422,1048-49,2_2_5,2:1,61.3
2426,1048-49,2_2_5,2:1,60.9
2428,1048-49,3_2_2,2:1,69.6
2429,1048-49,3_1_1,Third,47.6
2434,1048-49,1_2_1,First,70.0
2435,1048-49,2_4_11,2:2,52.4
244,1048-49,2_2_4,2:2,56.9
2440,1048-49,4_2_12,2:1,67.2
2447,1048-49,2_4_12,Third,48.4
2451,1048-49,2_2_4,2:1,68.9
2455,1048-49,2_3_8,2:2,50.1
2457,1048-49,2_1_1,2:2,50.2
2462,1048-49,2_3_8,2:2,59.7
2467,1048-49,4_2_12,2:1,61.0
2473,1048-49,2_2_4,2:2,50.6
2476,1048-49,1_2_1,2:1,62.0
248,1048-49,2_1_1,2:1,69.5
2481,1048-49,2_4_10,Third,44.7
2484,1048-49,2_3_8,Third,47.6
2485,1048-49,2_4_10,Third,46.6
2488,1048-49,4_2_12,2:1,69.9
2491,1048-49,2_1_1,2:2,59.5
250,1048-49,2_3_8,2:1,68.8
2502,1048-49,2_2_5,2:2,55.0
2503,1048-49,4_2_12,2:2,54.5
251,1048-49,2_4_12,2:1,66.9
2513,1048-49,2_3_8,2:1,61.3
2515,1048-49,2_4_12,2:1,63.6
2516,1048-49,1_1_5,First,73.5
2519,1048-49,2_2_5,2:2,51.0
2524,1048-49,3_2_2,2:2,58.6
2526,1048-49,1_1_5,2:2,57.0
2527,1048-49,2_1_1,2:2,51.8
2531,1048-49,4_2_12,Third,47.6
2538,1048-49,2_2_6,2:1,62.0
2543,1048-49,2_3_9,2:1,67.8
2545,1048-49,2_2_3,First,73.4
2557,1048-49,2_3_7,2:1,68.7
2560,1048-49,2_2_4,2:2,56.9
2561,1048-49,2_2_2,2:2,50.8
2565,1048-49,2_3_7,2:1,61.0
2575,1048-49,2_2_6,2:1,60.1
2578,1048-49,2_2_5,2:1,60.1
2581,1048-49,2_2_4,2:2,56.1
2587,1048-49,2_4_12,2:1,63.0
2592,1048-49,4_2_12,First,76.1
2606,1048-49,2_4_10,2:2,52.7
2621,1048-49,4_2_12,First,82.8
2627,1048-49,2_3_8,2:1,67.5
263,1048-49,2_4_10,2:2,59.3
2631,1048-49,2_3_8,First,71.4
2633,1048-49,2_1_1,2:2,57.3
2636,1048-49,2_4_10,2:1,64.0
2637,1048-49,2_4_10,First,72.2
2639,1048-49,4_2_12,2:1,65.7
2641,1048-49,1_1_1,First,71.3
2642,1048-49,2_1_1,2:2,53.9
2644,1048-49,2_2_6,2:1,63.2
2647,1048-49,2_3_8,2:1,62.8
2656,1048-49,4_2_12,2:1,67.3
2660,1048-49,2_4_11,2:2,57.2
2676,1048-49,2_3_8,First,72.3
2678,1048-49,4_2_12,2:2,53.9
2680,1048-49,2_4_12,2:2,56.0
2685,1048-49,2_2_3,2:2,50.8
2688,1048-49,2_4_11,2:1,66.6
2690,1048-49,2_4_10,2:2,59.8
2696,1048-49,2_2_4,2:2,55.2
2702,1048-49,2_4_12,2:2,59.6
2703,1048-49,1_1_1,2:2,52.2
2704,1048-49,2_2_2,2:1,62.9
2709,1048-49,2_3_9,2:1,67.3
271,1048-49,2_3_8,2:1,61.3
2712,1048-49,2_3_9,2:1,65.9
2715,1048-49,2_2_2,2:2,54.4
2717,1048-49,2_2_6,2:2,53.0
2719,1048-49,2_4_10,2:1,69.0
2724,1048-49,1_1_4,2:2,57.0
2729,1048-49,2_4_12,2:1,66.6
2731,1048-49,3_1_1,2:2,55.0
2742,1048-49,2_2_5,Third,49.3
2748,1048-49,2_1_1,2:1,61.5
2751,1048-49,1_2_1,2:2,56.3
2758,1048-49,1_1_2,2:1,64.3
2763,1048-49,1_1_3,2:1,64.4
2767,1048-49,2_3_8,Third,46.5
2769,1048-49,2_1_1,2:1,66.4
277,1048-49,2_2_5,Third,47.7
2772,1048-49,2_4_10,First,70.2
2773,1048-49,4_2_12,2:1,60.5
2797,1048-49,2_2_5,2:2,50.2
2800,1048-49,2_2_6,2:1,65.5
2802,1048-49,1_1_1,First,70.1
2818,1048-49,2_2_3,2:2,56.0
2824,1048-49,2_1_1,2:2,53.2
2829,1048-49,2_3_8,2:1,64.5
2831,1048-49,3_2_2,2:1,69.2
2833,1048-49,2_3_8,First,72.0
2839,1048-49,1_2_1,2:2,50.8
284,1048-49,2_2_3,2:1,63.2
2846,1048-49,1_1_1,2:1,68.3
2852,1048-49,2_4_10,2:1,62.1
2855,1048-49,2_3_8,2:1,63.8
287,1048-49,1_2_1,Third,47.5
2874,1048-49,1_1_1,First,74.0
2888,1048-49,1_1_5,2:1,66.9
2889,1048-49,1_1_3,2:2,53.9
2904,1048-49,4_2_12,Third,47.6
2906,1048-49,1_1_4,First,71.3
2908,1048-49,4_2_12,First,72.4
2911,1048-49,2_2_3,2:1,62.1
2913,1048-49,2_2_3,2:1,60.3
292,1048-49,2_2_6,2:2,59.8
2920,1048-49,1_1_2,Third,48.9
2931,1048-49,2_4_12,2:2,51.6
2934,1048-49,2_3_8,2:2,53.0
2940,1048-49,1_1_5,First,73.0
2950,1048-49,1_1_5,2:1,69.8
2955,1048-49,1_2_1,2:2,57.5
2958,1048-49,1_2_1,Third,46.2
2962,1048-49,2_2_5,2:1,61.8
2963,1048-49,2_4_12,2:2,58.5
2971,1048-49,2_2_2,2:2,54.4
2973,1048-49,1_1_3,2:1,63.2
2978,1048-49,1_1_1,2:2,57.4
2980,1048-49,3_1_1,2:1,60.7
2991,1048-49,1_2_1,2:2,58.3
2993,1048-49,2_2_6,Third,47.1
3002,1048-49,1_1_3,2:2,57.8
301,1048-49,3_2_2,2:2,60.0
3015,1048-49,1_1_3,First,72.7
3021,1048-49,2_2_5,2:1,65.1
3029,1048-49,2_1_1,2:1,63.2
303,1048-49,1_1_5,2:1,60.1
3036,1048-49,4_2_12,First,70.8
3038,1048-49,2_2_2,2:2,56.2
3040,1048-49,3_1_1,2:1,64.6
3047,1048-49,2_4_12,2:1,62.2
3054,1048-49,2_2_5,First,70.5
3055,1048-49,4_2_12,2:2,58.0
3058,1048-49,2_2_2,2:1,61.9
3067,1048-49,2_2_3,First,70.1
3069,1048-49,1_1_5,2:2,54.7
3070,1048-49,2_2_3,2:1,69.1
3071,1048-49,2_2_5,2:1,61.9
3075,1048-49,2_4_11,2:2,59.2
3084,1048-49,2_2_5,2:1,65.3
3085,1048-49,2_4_10,2:1,68.8
3110,1048-49,2_2_5,2:2,54.1
3111,1048-49,2_2_2,First,71.5
3116,1048-49,2_2_5,First,77.1
3124,1048-49,2_3_8,2:1,60.7
3125,1048-49,4_2_12,2:2,50.1
3128,1048-49,2_2_3,2:2,59.4
3132,1048-49,4_2_12,2:1,66.8
3134,1048-49,2_4_10,2:1,61.6
3137,1048-49,1_1_1,2:1,63.1
3144,1048-49,2_1_1,2:1,62.0
3152,1048-49,3_2_2,2:1,60.7
3156,1048-49,2_2_4,2:1,68.7
3158,1048-49,1_1_2,2:2,53.8
3160,1048-49,2_2_4,2:2,53.2
3162,1048-49,2_4_12,First,74.8
3164,1048-49,2_3_9,2:2,56.6
3169,1048-49,4_2_12,2:1,65.7
317,1048-49,2_3_8,2:1,64.2
3171,1048-49,2_2_4,2:1,65.8
3173,1048-49,1_1_3,2:2,56.1
3177,1048-49,2_2_3,2:1,62.3
3180,1048-49,2_2_4,2:2,52.3
3182,1048-49,2_3_7,2:1,64.0
3200,1048-49,4_2_12,First,79.7
3203,1048-49,4_2_12,2:2,52.6
3205,1048-49,2_2_4,2:2,55.7
3207,1048-49,2_2_2,2:1,68.9
3217,1048-49,2_2_4,2:2,54.1
3220,1048-49,2_2_6,2:1,60.1
3223,1048-49,1_1_2,Third,47.9
3226,1048-49,2_3_7,2:1,63.4
3233,1048-49,1_1_3,2:2,50.5
3237,1048-49,2_4_10,2:2,55.8
3238,1048-49,2_1_1,2:1,60.8
3241,1048-49,3_2_2,2:2,55.5
3244,1048-49,1_1_3,First,72.5
3248,1048-49,2_3_7,2:1,62.6
3258,1048-49,2_2_5,2:1,63.3
3271,1048-49,2_2_3,2:2,59.8
3274,1048-49,2_2_6,First,71.0
3292,1048-49,1_1_1,2:1,67.1
3293,1048-49,2_2_5,First,72.9
330,1048-49,4_2_12,2:2,53.0
3313,1048-49,3_2_2,2:1,61.9
3317,1048-49,2_2_4,2:2,51.3
3318,1048-49,4_2_12,First,80.2
3327,1048-49,1_2_1,2:1,67.8
3330,1048-49,3_2_2,2:2,52.4
3333,1048-49,2_2_6,2:1,64.0
3336,1048-49,1_1_3,2:2,53.1
3351,1048-49,2_3_9,2:1,68.9
3359,1048-49,2_4_12,2:1,69.8
336,1048-49,1_1_1,2:2,53.1
3366,1048-49,2_4_10,2:2,50.3
3374,1048-49,2_4_12,2:2,54.9
338,1048-49,2_3_7,2:1,60.7
3395,1048-49,2_2_5,First,75.1
3401,1048-49,4_2_12,2:1,67.3
3404,1048-49,2_3_7,2:2,53.0
3406,1048-49,2_1_1,Third,49.9
3407,1048-49,2_2_2,First,72.8
3408,1048-49,2_4_12,2:2,54.0
3409,1048-49,2_4_10,2:2,55.6
3422,1048-49,1_1_1,2:2,59.9
3425,1048-49,1_1_1,2:2,58.0
3427,1048-49,4_2_12,2:1,60.2
3432,1048-49,1_1_5,2:1,60.1
3433,1048-49,2_3_9,2:1,66.4
3434,1048-49,2_3_8,2:2,55.7
3436,1048-49,2_2_6,2:1,66.1
3440,1048-49,1_1_2,Third,48.0
3442,1048-49,2_2_3,2:2,59.4
3445,1048-49,1_1_3,2:1,65.0
3448,1048-49,3_2_2,2:2,59.8
3452,1048-49,2_2_3,2:1,65.3
3457,1048-49,4_2_12,Third,41.1
347,1048-49,2_2_2,Third,46.5
3474,1048-49,1_1_2,2:2,55.9
3476,1048-49,2_2_5,2:1,60.7
3477,1048-49,3_1_1,Third,45.5
3481,1048-49,2_4_10,2:1,65.7
3483,1048-49,3_2_2,2:1,67.2
3486,1048-49,1_1_4,2:2,59.1
3498,1048-49,2_2_4,2:1,60.5
3509,1048-49,2_1_1,2:1,62.0
3515,1048-49,1_1_3,2:2,59.0
3534,1048-49,2_2_3,First,71.8
3538,1048-49,1_2_1,2:2,59.1
3540,1048-49,1_1_4,2:2,54.0
3544,1048-49,2_4_11,2:2,57.1
355,1048-49,2_1_1,2:2,60.0
3551,1048-49,2_2_3,2:2,56.4
3554,1048-49,3_1_1,Third,48.5
3557,1048-49,2_4_12,2:1,60.6
3560,1048-49,3_2_2,2:2,59.0
3564,1048-49,2_3_7,2:1,65.5
358,1048-49,3_2_2,2:2,58.9
3581,1048-49,2_3_8,2:1,60.6
3585,1048-49,1_1_1,Third,47.0
3593,1048-49,2_3_7,2:2,56.6
3594,1048-49,2_4_10,2:1,60.8
3598,1048-49,2_1_1,2:1,60.0
36,1048-49,2_4_12,2:1,61.1
3601,1048-49,1_1_1,2:2,59.6
3603,1048-49,2_1_1,Third,49.8
3605,1048-49,2_3_8,Third,48.3
3621,1048-49,2_2_5,2:2,52.6
3627,1048-49,1_1_5,2:1,65.0
364,1048-49,1_1_3,2:2,54.0
3648,1048-49,2_1_1,2:1,64.7
365,1048-49,4_2_12,Third,45.5
3653,1048-49,3_2_2,2:1,69.6
3660,1048-49,2_2_2,2:1,65.8
3661,1048-49,2_2_3,First,71.9
3681,1048-49,3_1_1,2:1,63.5
3685,1048-49,4_2_12,2:2,55.0
369,1048-49,1_1_4,2:2,52.3
3703,1048-49,1_1_1,2:1,66.6
3704,1048-49,4_2_12,First,72.2
3709,1048-49,2_2_4,2:1,69.2
3714,1048-49,1_2_1,2:1,68.6
3730,1048-49,2_2_3,2:2,57.9
3731,1048-49,1_1_4,2:2,55.5
3734,1048-49,2_1_1,2:1,64.9
374,1048-49,2_2_2,2:2,55.7
3746,1048-49,1_1_4,First,70.5
3748,1048-49,2_3_7,2:2,59.5
3767,1048-49,3_2_2,2:2,55.3
3778,1048-49,2_2_2,2:1,69.8
378,1048-49,2_2_6,Third,49.1
3780,1048-49,1_1_3,2:2,57.8
3782,1048-49,3_2_2,2:2,51.8
3783,1048-49,2_2_2,2:1,68.3
3784,1048-49,2_2_4,2:2,51.4
3785,1048-49,1_1_4,2:2,59.5
3798,1048-49,2_2_6,2:1,61.1
38,1048-49,1_2_1,2:1,63.2
3806,1048-49,4_2_12,2:2,50.3
3807,1048-49,1_1_5,2:2,58.6
3810,1048-49,2_3_8,2:1,65.1
3811,1048-49,2_2_5,2:1,62.2
3813,1048-49,1_1_3,2:1,61.1
3817,1048-49,2_1_1,2:2,57.7
3819,1048-49,2_2_2,2:2,54.3
382,1048-49,2_2_3,2:1,62.2
3830,1048-49,1_1_4,2:2,58.0
3835,1048-49,1_1_4,2:2,58.5
3837,1048-49,4_2_12,2:1,62.4
3839,1048-49,2_1_1,2:1,60.6
3844,1048-49,2_2_2,2:2,52.8
3845,1048-49,1_1_2,First,75.7
3846,1048-49,2_3_8,2:1,69.0
3862,1048-49,2_3_9,2:2,54.5
3868,1048-49,2_3_9,2:2,50.1
3881,1048-49,1_1_4,2:2,57.0
389,1048-49,1_1_1,Third,46.3
3893,1048-49,2_2_5,2:1,63.0
3895,1048-49,2_3_8,2:2,59.0
3899,1048-49,2_2_4,2:1,64.6
390,1048-49,1_2_1,2:2,57.7
3902,1048-49,1_1_3,2:2,58.4
