student_id,academic_year_graduated,survey_responded,outcome_type,professional_level,employment_sector,salary_band,time_to_outcome_months,outcome_recorded_at
1425,1048-49,True,employed,professional,craft_and_making,3.0,9.0,1050-08-01
1428,1048-49,False,,,,,,1050-08-01
1438,1048-49,True,employed,non_professional,heritage_and_curation,3.0,4.0,1050-08-01
1448,1048-49,True,employed,professional,heritage_and_curation,3.0,6.0,1050-08-01
145,1048-49,False,,,,,,1050-08-01
1451,1048-49,True,employed,professional,allied_health_professions,5.0,3.0,1050-08-01
1452,1048-49,True,employed,non_professional,human_resources,2.0,5.0,1050-08-01
1458,1048-49,True,further_study,,further_study,,2.0,1050-08-01
1477,1048-49,True,unemployed,,,,16.0,1050-08-01
1490,1048-49,True,further_study,,further_study,,4.0,1050-08-01
1498,1048-49,True,further_study,,further_study,,3.0,1050-08-01
15,1048-49,True,employed,non_professional,design_and_media,4.0,5.0,1050-08-01
1502,1048-49,True,employed,non_professional,legal_services,3.0,7.0,1050-08-01
1507,1048-49,True,further_study,,further_study,,3.0,1050-08-01
1512,1048-49,False,,,,,,1050-08-01
1529,1048-49,False,,,,,,1050-08-01
1533,1048-49,True,employed,non_professional,hospitality_and_tourism,4.0,2.0,1050-08-01
1535,1048-49,True,employed,professional,craft_and_making,5.0,7.0,1050-08-01
1547,1048-49,True,further_study,,further_study,,3.0,1050-08-01
1552,1048-49,True,employed,professional,legal_services,5.0,10.0,1050-08-01
1555,1048-49,True,employed,professional,architecture_and_built_environment,3.0,2.0,1050-08-01
1560,1048-49,False,,,,,,1050-08-01
1562,1048-49,True,employed,professional,finance_and_banking,3.0,10.0,1050-08-01
1563,1048-49,False,,,,,,1050-08-01
1567,1048-49,False,,,,,,1050-08-01
1577,1048-49,True,employed,professional,craft_and_making,4.0,3.0,1050-08-01
1588,1048-49,True,employed,professional,design_and_media,4.0,9.0,1050-08-01
1592,1048-49,True,unemployed,,,,12.0,1050-08-01
1598,1048-49,True,employed,professional,design_and_media,5.0,10.0,1050-08-01
1600,1048-49,False,,,,,,1050-08-01
1601,1048-49,True,employed,professional,hospitality_and_tourism,4.0,5.0,1050-08-01
1603,1048-49,True,further_study,,further_study,,1.0,1050-08-01
1604,1048-49,True,employed,non_professional,creative_industries,3.0,3.0,1050-08-01
1609,1048-49,True,unemployed,,,,16.0,1050-08-01
161,1048-49,False,,,,,,1050-08-01
1612,1048-49,False,,,,,,1050-08-01
1614,1048-49,False,,,,,,1050-08-01
1620,1048-49,True,employed,professional,hospitality_and_tourism,4.0,4.0,1050-08-01
1625,1048-49,True,employed,professional,human_resources,5.0,2.0,1050-08-01
1640,1048-49,True,further_study,,further_study,,3.0,1050-08-01
1647,1048-49,True,employed,professional,design_and_media,3.0,3.0,1050-08-01
166,1048-49,True,employed,professional,media_and_communications,3.0,1.0,1050-08-01
1661,1048-49,True,employed,non_professional,creative_industries,2.0,7.0,1050-08-01
1664,1048-49,True,employed,non_professional,creative_industries,2.0,4.0,1050-08-01
1665,1048-49,True,unknown,,,,10.0,1050-08-01
167,1048-49,False,,,,,,1050-08-01
1674,1048-49,False,,,,,,1050-08-01
1676,1048-49,True,employed,non_professional,design_and_media,1.0,5.0,1050-08-01
1679,1048-49,True,employed,professional,heritage_and_curation,5.0,8.0,1050-08-01
1686,1048-49,True,further_study,,further_study,,2.0,1050-08-01
1690,1048-49,False,,,,,,1050-08-01
17,1048-49,True,employed,professional,allied_health_professions,5.0,9.0,1050-08-01
1704,1048-49,True,unknown,,,,8.0,1050-08-01
1707,1048-49,True,further_study,,further_study,,4.0,1050-08-01
1708,1048-49,True,employed,professional,architecture_and_built_environment,3.0,4.0,1050-08-01
1709,1048-49,True,employed,non_professional,creative_industries,2.0,3.0,1050-08-01
171,1048-49,False,,,,,,1050-08-01
1711,1048-49,False,,,,,,1050-08-01
1734,1048-49,True,unknown,,,,4.0,1050-08-01
1735,1048-49,False,,,,,,1050-08-01
1738,1048-49,True,employed,professional,finance_and_banking,2.0,4.0,1050-08-01
1739,1048-49,False,,,,,,1050-08-01
1740,1048-49,False,,,,,,1050-08-01
1746,1048-49,False,,,,,,1050-08-01
1770,1048-49,True,employed,professional,management_consulting,3.0,6.0,1050-08-01
1771,1048-49,False,,,,,,1050-08-01
1772,1048-49,False,,,,,,1050-08-01
1775,1048-49,True,unemployed,,,,18.0,1050-08-01
1779,1048-49,True,employed,non_professional,design_and_media,3.0,5.0,1050-08-01
1780,1048-49,True,employed,professional,media_and_communications,4.0,4.0,1050-08-01
1784,1048-49,True,unemployed,,,,13.0,1050-08-01
1787,1048-49,True,further_study,,further_study,,3.0,1050-08-01
1793,1048-49,True,employed,professional,hospitality_and_tourism,4.0,6.0,1050-08-01
18,1048-49,True,employed,professional,legal_services,5.0,7.0,1050-08-01
1800,1048-49,True,further_study,,further_study,,3.0,1050-08-01
1802,1048-49,False,,,,,,1050-08-01
1803,1048-49,True,employed,non_professional,ngo_and_charity,3.0,3.0,1050-08-01
1805,1048-49,True,employed,non_professional,craft_and_making,3.0,6.0,1050-08-01
1808,1048-49,True,employed,professional,architecture_and_built_environment,4.0,5.0,1050-08-01
1812,1048-49,True,unemployed,,,,9.0,1050-08-01
1813,1048-49,True,further_study,,further_study,,2.0,1050-08-01
1814,1048-49,True,employed,professional,design_and_media,4.0,2.0,1050-08-01
1815,1048-49,True,further_study,,further_study,,2.0,1050-08-01
1819,1048-49,True,unknown,,,,11.0,1050-08-01
1827,1048-49,True,employed,professional,management_consulting,4.0,4.0,1050-08-01
183,1048-49,True,employed,professional,design_and_media,5.0,7.0,1050-08-01
1831,1048-49,True,employed,professional,craft_and_making,4.0,9.0,1050-08-01
1832,1048-49,False,,,,,,1050-08-01
1837,1048-49,False,,,,,,1050-08-01
1838,1048-49,False,,,,,,1050-08-01
1856,1048-49,True,further_study,,further_study,,3.0,1050-08-01
1863,1048-49,True,further_study,,further_study,,1.0,1050-08-01
1866,1048-49,True,employed,non_professional,design_and_media,4.0,5.0,1050-08-01
1867,1048-49,True,employed,non_professional,legal_services,4.0,3.0,1050-08-01
1869,1048-49,True,employed,professional,heritage_and_curation,4.0,4.0,1050-08-01
1883,1048-49,False,,,,,,1050-08-01
1886,1048-49,True,further_study,,further_study,,1.0,1050-08-01
1889,1048-49,False,,,,,,1050-08-01
1896,1048-49,False,,,,,,1050-08-01
190,1048-49,True,unknown,,,,2.0,1050-08-01
1900,1048-49,True,employed,professional,creative_industries,3.0,3.0,1050-08-01
1901,1048-49,False,,,,,,1050-08-01
1902,1048-49,False,,,,,,1050-08-01
1908,1048-49,True,employed,non_professional,hospitality_and_tourism,2.0,3.0,1050-08-01
191,1048-49,True,employed,non_professional,creative_industries,4.0,3.0,1050-08-01
1932,1048-49,True,employed,professional,design_and_media,2.0,11.0,1050-08-01
1934,1048-49,True,further_study,,further_study,,5.0,1050-08-01
1935,1048-49,True,employed,non_professional,architecture_and_built_environment,2.0,3.0,1050-08-01
1936,1048-49,True,employed,professional,human_resources,4.0,2.0,1050-08-01
1937,1048-49,False,,,,,,1050-08-01
194,1048-49,True,employed,professional,finance_and_banking,5.0,6.0,1050-08-01
1941,1048-49,True,employed,professional,heritage_and_curation,5.0,3.0,1050-08-01
1942,1048-49,True,unemployed,,,,21.0,1050-08-01
1944,1048-49,False,,,,,,1050-08-01
1945,1048-49,True,employed,professional,public_sector_and_civil_service,5.0,5.0,1050-08-01
1946,1048-49,True,further_study,,further_study,,1.0,1050-08-01
1953,1048-49,True,unemployed,,,,9.0,1050-08-01
1961,1048-49,False,,,,,,1050-08-01
1978,1048-49,True,further_study,,further_study,,2.0,1050-08-01
1979,1048-49,True,employed,professional,heritage_and_curation,3.0,2.0,1050-08-01
198,1048-49,False,,,,,,1050-08-01
1980,1048-49,False,,,,,,1050-08-01
1982,1048-49,True,unemployed,,,,14.0,1050-08-01
1990,1048-49,False,,,,,,1050-08-01
1992,1048-49,True,employed,professional,craft_and_making,5.0,4.0,1050-08-01
20,1048-49,True,further_study,,further_study,,2.0,1050-08-01
2003,1048-49,True,employed,non_professional,human_resources,1.0,1.0,1050-08-01
2010,1048-49,True,further_study,,further_study,,2.0,1050-08-01
2015,1048-49,True,further_study,,further_study,,2.0,1050-08-01
2016,1048-49,False,,,,,,1050-08-01
2024,1048-49,False,,,,,,1050-08-01
2026,1048-49,False,,,,,,1050-08-01
2029,1048-49,False,,,,,,1050-08-01
2032,1048-49,False,,,,,,1050-08-01
2042,1048-49,False,,,,,,1050-08-01
2043,1048-49,True,further_study,,further_study,,1.0,1050-08-01
2067,1048-49,False,,,,,,1050-08-01
2074,1048-49,False,,,,,,1050-08-01
2076,1048-49,False,,,,,,1050-08-01
2082,1048-49,True,unemployed,,,,16.0,1050-08-01
2084,1048-49,True,employed,professional,human_resources,3.0,6.0,1050-08-01
2086,1048-49,True,employed,professional,allied_health_professions,3.0,2.0,1050-08-01
2092,1048-49,True,further_study,,further_study,,4.0,1050-08-01
2094,1048-49,True,unemployed,,,,12.0,1050-08-01
2095,1048-49,False,,,,,,1050-08-01
2096,1048-49,True,employed,non_professional,architecture_and_built_environment,3.0,6.0,1050-08-01
2097,1048-49,True,further_study,,further_study,,2.0,1050-08-01
2107,1048-49,True,employed,non_professional,public_sector_and_civil_service,2.0,3.0,1050-08-01
2116,1048-49,True,employed,professional,craft_and_making,4.0,4.0,1050-08-01
2124,1048-49,True,employed,non_professional,creative_industries,1.0,3.0,1050-08-01
2129,1048-49,True,employed,professional,craft_and_making,2.0,3.0,1050-08-01
2139,1048-49,True,further_study,,further_study,,1.0,1050-08-01
214,1048-49,True,unemployed,,,,14.0,1050-08-01
2140,1048-49,False,,,,,,1050-08-01
2141,1048-49,True,employed,professional,hospitality_and_tourism,5.0,8.0,1050-08-01
2145,1048-49,True,employed,non_professional,design_and_media,3.0,4.0,1050-08-01
2149,1048-49,True,unemployed,,,,22.0,1050-08-01
2174,1048-49,False,,,,,,1050-08-01
2175,1048-49,True,employed,non_professional,finance_and_banking,3.0,10.0,1050-08-01
218,1048-49,True,employed,professional,creative_industries,3.0,5.0,1050-08-01
2181,1048-49,True,unknown,,,,14.0,1050-08-01
2187,1048-49,True,employed,professional,media_and_communications,5.0,10.0,1050-08-01
219,1048-49,True,employed,professional,hospitality_and_tourism,5.0,2.0,1050-08-01
2191,1048-49,True,further_study,,further_study,,1.0,1050-08-01
2196,1048-49,True,employed,non_professional,human_resources,1.0,4.0,1050-08-01
2202,1048-49,False,,,,,,1050-08-01
2214,1048-49,False,,,,,,1050-08-01
2215,1048-49,True,employed,professional,management_consulting,2.0,7.0,1050-08-01
2222,1048-49,True,employed,professional,design_and_media,4.0,1.0,1050-08-01
2227,1048-49,True,employed,professional,heritage_and_curation,5.0,2.0,1050-08-01
2231,1048-49,True,further_study,,further_study,,0.0,1050-08-01
2233,1048-49,True,unemployed,,,,10.0,1050-08-01
2235,1048-49,True,further_study,,further_study,,1.0,1050-08-01
2244,1048-49,True,unemployed,,,,22.0,1050-08-01
2245,1048-49,True,employed,non_professional,craft_and_making,3.0,6.0,1050-08-01
2248,1048-49,True,unemployed,,,,14.0,1050-08-01
2253,1048-49,True,employed,professional,creative_industries,4.0,12.0,1050-08-01
2257,1048-49,False,,,,,,1050-08-01
2260,1048-49,False,,,,,,1050-08-01
2261,1048-49,False,,,,,,1050-08-01
2262,1048-49,False,,,,,,1050-08-01
2266,1048-49,False,,,,,,1050-08-01
2273,1048-49,True,employed,non_professional,architecture_and_built_environment,4.0,5.0,1050-08-01
2276,1048-49,True,further_study,,further_study,,1.0,1050-08-01
2283,1048-49,True,employed,professional,heritage_and_curation,5.0,5.0,1050-08-01
2287,1048-49,True,unemployed,,,,8.0,1050-08-01
2295,1048-49,True,employed,professional,heritage_and_curation,5.0,7.0,1050-08-01
2298,1048-49,True,employed,professional,craft_and_making,3.0,4.0,1050-08-01
2300,1048-49,True,further_study,,further_study,,1.0,1050-08-01
2302,1048-49,False,,,,,,1050-08-01
2303,1048-49,True,unemployed,,,,16.0,1050-08-01
2306,1048-49,True,employed,professional,media_and_communications,3.0,3.0,1050-08-01
2308,1048-49,False,,,,,,1050-08-01
2312,1048-49,True,employed,non_professional,design_and_media,2.0,5.0,1050-08-01
2318,1048-49,True,employed,professional,creative_industries,5.0,2.0,1050-08-01
2322,1048-49,False,,,,,,1050-08-01
2325,1048-49,True,employed,professional,legal_services,5.0,5.0,1050-08-01
2328,1048-49,True,further_study,,further_study,,3.0,1050-08-01
2331,1048-49,True,further_study,,further_study,,1.0,1050-08-01
2334,1048-49,True,further_study,,further_study,,6.0,1050-08-01
234,1048-49,True,unemployed,,,,21.0,1050-08-01
2341,1048-49,True,employed,professional,design_and_media,4.0,2.0,1050-08-01
2343,1048-49,False,,,,,,1050-08-01
2347,1048-49,False,,,,,,1050-08-01
2359,1048-49,True,employed,non_professional,heritage_and_curation,2.0,5.0,1050-08-01
2364,1048-49,True,further_study,,further_study,,2.0,1050-08-01
2381,1048-49,False,,,,,,1050-08-01
2382,1048-49,False,,,,,,1050-08-01
2387,1048-49,False,,,,,,1050-08-01
2389,1048-49,False,,,,,,1050-08-01
2396,1048-49,True,further_study,,further_study,,2.0,1050-08-01
2399,1048-49,False,,,,,,1050-08-01
2400,1048-49,False,,,,,,1050-08-01
2403,1048-49,True,unknown,,,,9.0,1050-08-01
2407,1048-49,True,further_study,,further_study,,2.0,1050-08-01
241,1048-49,True,employed,professional,hospitality_and_tourism,4.0,2.0,1050-08-01
2414,1048-49,True,unknown,,,,10.0,1050-08-01
2422,1048-49,True,employed,professional,design_and_media,3.0,3.0,1050-08-01
2426,1048-49,True,employed,professional,architecture_and_built_environment,4.0,5.0,1050-08-01
2428,1048-49,True,employed,professional,media_and_communications,5.0,4.0,1050-08-01
2434,1048-49,False,,,,,,1050-08-01
2435,1048-49,True,employed,non_professional,design_and_media,1.0,7.0,1050-08-01
244,1048-49,True,employed,professional,creative_industries,2.0,7.0,1050-08-01
2440,1048-49,False,,,,,,1050-08-01
2447,1048-49,True,employed,non_professional,creative_industries,2.0,0.0,1050-08-01
2451,1048-49,False,,,,,,1050-08-01
2457,1048-49,True,employed,non_professional,heritage_and_curation,2.0,8.0,1050-08-01
2462,1048-49,True,employed,professional,design_and_media,4.0,5.0,1050-08-01
2467,1048-49,True,further_study,,further_study,,2.0,1050-08-01
2468,1048-49,True,employed,non_professional,heritage_and_curation,2.0,3.0,1050-08-01
2473,1048-49,True,further_study,,further_study,,1.0,1050-08-01
2476,1048-49,False,,,,,,1050-08-01
248,1048-49,True,further_study,,further_study,,5.0,1050-08-01
2485,1048-49,True,unemployed,,,,16.0,1050-08-01
2486,1048-49,True,employed,non_professional,design_and_media,1.0,7.0,1050-08-01
2488,1048-49,True,further_study,,further_study,,3.0,1050-08-01
2491,1048-49,True,unknown,,,,4.0,1050-08-01
250,1048-49,True,further_study,,further_study,,3.0,1050-08-01
2506,1048-49,True,unemployed,,,,9.0,1050-08-01
251,1048-49,True,employed,professional,architecture_and_built_environment,4.0,9.0,1050-08-01
2513,1048-49,True,employed,non_professional,architecture_and_built_environment,3.0,7.0,1050-08-01
2515,1048-49,False,,,,,,1050-08-01
2516,1048-49,True,employed,professional,finance_and_banking,4.0,4.0,1050-08-01
2524,1048-49,True,employed,professional,public_sector_and_civil_service,4.0,1.0,1050-08-01
2526,1048-49,True,employed,non_professional,hospitality_and_tourism,3.0,2.0,1050-08-01
2538,1048-49,False,,,,,,1050-08-01
2543,1048-49,True,employed,non_professional,architecture_and_built_environment,3.0,4.0,1050-08-01
2545,1048-49,True,further_study,,further_study,,2.0,1050-08-01
2557,1048-49,True,employed,professional,craft_and_making,5.0,3.0,1050-08-01
2560,1048-49,True,unemployed,,,,22.0,1050-08-01
2561,1048-49,False,,,,,,1050-08-01
2565,1048-49,False,,,,,,1050-08-01
2575,1048-49,False,,,,,,1050-08-01
2578,1048-49,True,further_study,,further_study,,0.0,1050-08-01
2581,1048-49,True,employed,professional,design_and_media,4.0,4.0,1050-08-01
2583,1048-49,True,unemployed,,,,18.0,1050-08-01
2587,1048-49,False,,,,,,1050-08-01
2592,1048-49,True,employed,professional,education,4.0,3.0,1050-08-01
2597,1048-49,True,unemployed,,,,18.0,1050-08-01
2605,1048-49,False,,,,,,1050-08-01
2621,1048-49,False,,,,,,1050-08-01
2627,1048-49,True,further_study,,further_study,,4.0,1050-08-01
263,1048-49,False,,,,,,1050-08-01
2631,1048-49,True,further_study,,further_study,,2.0,1050-08-01
2633,1048-49,True,employed,professional,craft_and_making,3.0,8.0,1050-08-01
2636,1048-49,True,unknown,,,,9.0,1050-08-01
2637,1048-49,True,unemployed,,,,19.0,1050-08-01
2638,1048-49,True,employed,professional,management_consulting,5.0,8.0,1050-08-01
2639,1048-49,False,,,,,,1050-08-01
2642,1048-49,False,,,,,,1050-08-01
2644,1048-49,True,further_study,,further_study,,2.0,1050-08-01
2647,1048-49,True,employed,non_professional,architecture_and_built_environment,2.0,5.0,1050-08-01
2656,1048-49,True,employed,professional,education,5.0,3.0,1050-08-01
2657,1048-49,False,,,,,,1050-08-01
2660,1048-49,True,employed,professional,design_and_media,5.0,8.0,1050-08-01
2676,1048-49,True,further_study,,further_study,,1.0,1050-08-01
2678,1048-49,True,employed,professional,education,2.0,7.0,1050-08-01
2680,1048-49,True,employed,professional,heritage_and_curation,5.0,4.0,1050-08-01
2685,1048-49,False,,,,,,1050-08-01
2690,1048-49,True,employed,professional,craft_and_making,4.0,8.0,1050-08-01
2692,1048-49,True,employed,non_professional,legal_services,2.0,3.0,1050-08-01
2696,1048-49,False,,,,,,1050-08-01
2702,1048-49,True,employed,non_professional,creative_industries,4.0,4.0,1050-08-01
2704,1048-49,False,,,,,,1050-08-01
2709,1048-49,True,unknown,,,,14.0,1050-08-01
271,1048-49,True,employed,non_professional,creative_industries,2.0,4.0,1050-08-01
2712,1048-49,False,,,,,,1050-08-01
2715,1048-49,True,employed,professional,heritage_and_curation,5.0,8.0,1050-08-01
2717,1048-49,False,,,,,,1050-08-01
2719,1048-49,True,employed,professional,heritage_and_curation,4.0,6.0,1050-08-01
2724,1048-49,False,,,,,,1050-08-01
2726,1048-49,False,,,,,,1050-08-01
2729,1048-49,True,employed,professional,heritage_and_curation,5.0,4.0,1050-08-01
2731,1048-49,True,employed,professional,education,2.0,9.0,1050-08-01
2742,1048-49,False,,,,,,1050-08-01
2748,1048-49,True,further_study,,further_study,,2.0,1050-08-01
2758,1048-49,False,,,,,,1050-08-01
2763,1048-49,True,employed,professional,management_consulting,4.0,6.0,1050-08-01
2769,1048-49,False,,,,,,1050-08-01
2772,1048-49,False,,,,,,1050-08-01
2773,1048-49,True,unemployed,,,,21.0,1050-08-01
2797,1048-49,True,unemployed,,,,15.0,1050-08-01
2800,1048-49,True,unknown,,,,6.0,1050-08-01
2802,1048-49,True,further_study,,further_study,,1.0,1050-08-01
2818,1048-49,False,,,,,,1050-08-01
2824,1048-49,True,employed,non_professional,design_and_media,3.0,2.0,1050-08-01
2829,1048-49,True,employed,professional,heritage_and_curation,4.0,7.0,1050-08-01
2831,1048-49,True,employed,professional,research_and_academia,3.0,7.0,1050-08-01
2839,1048-49,True,unemployed,,,,21.0,1050-08-01
284,1048-49,False,,,,,,1050-08-01
2846,1048-49,True,unknown,,,,8.0,1050-08-01
2852,1048-49,True,employed,non_professional,creative_industries,4.0,5.0,1050-08-01
2855,1048-49,True,further_study,,further_study,,2.0,1050-08-01
2860,1048-49,True,unemployed,,,,17.0,1050-08-01
287,1048-49,True,employed,non_professional,legal_services,1.0,4.0,1050-08-01
2878,1048-49,False,,,,,,1050-08-01
2882,1048-49,True,employed,professional,human_resources,3.0,8.0,1050-08-01
2888,1048-49,True,unemployed,,,,15.0,1050-08-01
2891,1048-49,True,employed,non_professional,creative_industries,1.0,9.0,1050-08-01
2900,1048-49,False,,,,,,1050-08-01
2904,1048-49,True,further_study,,further_study,,3.0,1050-08-01
2906,1048-49,True,further_study,,further_study,,5.0,1050-08-01
2907,1048-49,True,employed,non_professional,architecture_and_built_environment,2.0,4.0,1050-08-01
2911,1048-49,False,,,,,,1050-08-01
2913,1048-49,True,employed,professional,craft_and_making,3.0,6.0,1050-08-01
2920,1048-49,True,unemployed,,,,16.0,1050-08-01
2931,1048-49,True,employed,non_professional,architecture_and_built_environment,2.0,4.0,1050-08-01
2934,1048-49,False,,,,,,1050-08-01
2938,1048-49,False,,,,,,1050-08-01
2940,1048-49,True,employed,professional,hospitality_and_tourism,5.0,5.0,1050-08-01
2950,1048-49,True,employed,non_professional,legal_services,4.0,6.0,1050-08-01
2955,1048-49,True,employed,professional,human_resources,3.0,5.0,1050-08-01
2957,1048-49,True,employed,professional,research_and_academia,3.0,2.0,1050-08-01
2963,1048-49,True,unemployed,,,,13.0,1050-08-01
2971,1048-49,True,employed,professional,design_and_media,3.0,4.0,1050-08-01
2973,1048-49,False,,,,,,1050-08-01
2978,1048-49,True,unemployed,,,,15.0,1050-08-01
2980,1048-49,True,employed,professional,media_and_communications,4.0,6.0,1050-08-01
2991,1048-49,True,employed,professional,management_consulting,3.0,4.0,1050-08-01
