module_code,module_title,programme_code,programme_name,year,level,semester,final_project,assessment_type,difficulty_level,mark_modifier,social_requirements,creativity_requirements,practical_theoretical_balance,group_work_intensity,independent_study_requirement,stress_level
411203,Organisational Behaviour,1_1_5,Person Resource Management,1,4,1,,Multi-choice exam,0.41,1.0135,0.78,0.62,0.4,0.68,0.41,0.35
411501,Introduction to Person Resource Management,1_1_5,Person Resource Management,1,4,1,,Written exam,0.44,1.009,0.61,0.69,0.24,0.55,0.41,0.4
411502,Business Management Fundamentals,1_1_5,Person Resource Management,1,4,2,,Written exam,0.34,1.024,0.45,0.69,0.24,0.58,0.34,0.36
411503,Employment Relations,1_1_5,Person Resource Management,1,4,2,,Groupwork,0.22,1.042,0.81,0.6,0.68,0.85,0.24,0.32
511501,Talent Management & Resourcing,1_1_5,Person Resource Management,2,5,1,,Written exam,0.46,1.006,0.68,0.68,0.31,0.73,0.5,0.54
511502,Learning & Development,1_1_5,Person Resource Management,2,5,1,,Written coursework,0.47,1.0045,0.72,0.7,0.32,0.7,0.53,0.51
511503,Performance & Reward Management,1_1_5,Person Resource Management,2,5,2,,Multi-choice exam,0.42,1.012,0.61,0.62,0.34,0.59,0.46,0.47
511504,Person Analytics,1_1_5,Person Resource Management,2,5,2,,Written coursework,0.59,0.9667,0.75,0.59,0.45,0.75,0.67,0.56
611501,Dissertation / Research Project,1_1_5,Person Resource Management,3,6,1,1.0,Written coursework,0.95,0.8335,0.73,0.63,0.53,0.38,0.95,0.84
611502,Employment Law,1_1_5,Person Resource Management,3,6,1,,Written exam,0.64,0.9482,0.59,0.74,0.18,0.68,0.6,0.63
611503,Leadership & Change Management,1_1_5,Person Resource Management,3,6,2,,Multi-choice exam,0.53,0.9889,0.75,0.64,0.33,0.58,0.54,0.57
611504,Diversity & Inclusion,1_1_5,Person Resource Management,3,6,2,,Written coursework,0.65,0.9445,0.7,0.69,0.41,0.72,0.53,0.62
412101,Contract Law,1_2_1,Law,1,4,1,,Written exam,0.36,1.021,0.61,0.69,0.19,0.6,0.35,0.28
412102,Criminal Law,1_2_1,Law,1,4,1,,Written exam,0.3,1.03,0.53,0.68,0.29,0.59,0.34,0.28
412103,Public Law,1_2_1,Law,1,4,2,,Written exam,0.33,1.0255,0.62,0.73,0.1,0.59,0.3,0.35
412104,Legal System & Skills,1_2_1,Law,1,4,2,,Practical exam,0.53,0.9889,0.52,0.54,0.88,0.51,0.26,0.42
512101,Tort Law,1_2_1,Law,2,5,1,,Multi-choice exam,0.51,0.9963,0.6,0.59,0.29,0.61,0.49,0.46
512102,Land Law,1_2_1,Law,2,5,1,,Written exam,0.67,0.9371,0.67,0.68,0.28,0.58,0.59,0.65
512103,EU Law,1_2_1,Law,2,5,2,,Written exam,0.46,1.006,0.55,0.7,0.1,0.51,0.45,0.39
512104,Equity & Trusts,1_2_1,Law,2,5,2,,Groupwork,0.6,0.963,0.82,0.67,0.51,0.95,0.49,0.58
612101,Company Law,1_2_1,Law,3,6,1,,Viva,0.82,0.8816,0.6,0.75,0.13,0.62,0.74,0.69
612102,Dissertation / Research Project,1_2_1,Law,3,6,1,1.0,Written coursework,0.95,0.8335,0.58,0.61,0.45,0.38,0.91,0.82
612103,International Law,1_2_1,Law,3,6,2,,Viva,0.79,0.8927,0.65,0.71,0.22,0.6,0.78,0.79
612104,Jurisprudence,1_2_1,Law,3,6,2,,Viva,0.77,0.9001,0.58,0.71,0.14,0.52,0.73,0.7
421101,Design Studio I,2_1_1,Architecture,1,4,1,,Written coursework,0.38,1.018,0.64,0.83,0.55,0.76,0.23,0.36
421102,Architectural History & Theory I,2_1_1,Architecture,1,4,1,,Written exam,0.38,1.018,0.64,0.85,0.21,0.64,0.37,0.33
421103,Building Construction & Materials,2_1_1,Architecture,1,4,2,,Professional artefact,0.45,1.0075,0.64,0.81,0.61,0.88,0.27,0.52
421104,Environmental Design Principles,2_1_1,Architecture,1,4,2,,Professional artefact,0.31,1.0285,0.64,0.83,0.7,0.81,0.45,0.42
521101,Design Studio II,2_1_1,Architecture,2,5,1,,Professional artefact,0.71,0.9223,0.64,0.77,0.67,0.81,0.63,0.65
521102,Architectural History & Theory II,2_1_1,Architecture,2,5,1,,Viva,0.73,0.9149,0.64,0.84,0.31,0.54,0.73,0.59
521103,Structures & Structural Design,2_1_1,Architecture,2,5,2,,Presentation,0.53,0.9889,0.78,0.79,0.6,0.79,0.58,0.53
521104,Building Services & Sustainability,2_1_1,Architecture,2,5,2,,Professional artefact,0.43,1.0105,0.67,0.85,0.66,0.76,0.51,0.45
621101,Major Project / Dissertation,2_1_1,Architecture,3,6,1,1.0,Written coursework,0.85,0.8705,0.76,0.75,0.65,0.38,0.95,0.76
621102,Professional Practice & Management,2_1_1,Architecture,3,6,1,,Viva,0.69,0.9297,0.62,0.84,0.32,0.56,0.69,0.68
621103,Urban Design & Planning,2_1_1,Architecture,3,6,2,,Written coursework,0.75,0.9075,0.69,0.8,0.6,0.72,0.54,0.75
621104,Advanced Architectural Technology,2_1_1,Architecture,3,6,2,,Professional artefact,0.81,0.8853,0.7,0.87,0.66,0.75,0.69,0.78
422201,Introduction to Printmaking Techniques,2_2_2,Cyanophotography and Printmaking,1,4,1,,Professional artefact,0.42,1.012,0.57,0.79,0.9,0.7,0.39,0.35
422202,Cyanotype Processes,2_2_2,Cyanophotography and Printmaking,1,4,1,,Presentation,0.28,1.033,0.77,0.81,0.6,0.81,0.31,0.36
422203,Drawing & Image Development,2_2_2,Cyanophotography and Printmaking,1,4,2,,Professional artefact,0.21,1.0435,0.54,0.73,0.91,0.43,0.25,0.26
422204,Art History & Visual Culture,2_2_2,Cyanophotography and Printmaking,1,4,2,,Written exam,0.32,1.027,0.45,0.8,0.41,0.51,0.38,0.27
522201,Advanced Printmaking,2_2_2,Cyanophotography and Printmaking,2,5,1,,Professional artefact,0.58,0.9704,0.51,0.74,0.72,0.55,0.43,0.56
522202,Experimental Photographic Processes,2_2_2,Cyanophotography and Printmaking,2,5,1,,Professional artefact,0.46,1.006,0.79,0.75,0.64,0.74,0.48,0.46
522203,Studio Practice,2_2_2,Cyanophotography and Printmaking,2,5,2,,Professional artefact,0.57,0.9741,0.82,0.73,0.66,0.75,0.64,0.52
522204,Professional Skills for Artists,2_2_2,Cyanophotography and Printmaking,2,5,2,,Professional artefact,0.49,1.0015,0.65,0.78,0.87,0.65,0.42,0.5
622201,Major Studio Project,2_2_2,Cyanophotography and Printmaking,3,6,1,1.0,Professional artefact,0.89,0.8557,0.72,0.83,0.58,0.38,0.95,0.83
622202,Advanced Cyanotype & Alternative Photography,2_2_2,Cyanophotography and Printmaking,3,6,1,,Professional artefact,0.73,0.9149,0.82,0.8,0.72,0.76,0.79,0.74
622203,Exhibition & Portfolio Development,2_2_2,Cyanophotography and Printmaking,3,6,2,,Written coursework,0.77,0.9001,0.78,0.66,0.62,0.83,0.78,0.78
622204,Critical Studies in Contemporary Art,2_2_2,Cyanophotography and Printmaking,3,6,2,,Written exam,0.65,0.9445,0.66,0.94,0.29,0.55,0.57,0.63
422301,Studio Practice I,2_2_3,Fine Art,1,4,1,,Professional artefact,0.43,1.0105,0.7,0.75,0.76,0.77,0.4,0.42
422302,Drawing & Visual Language,2_2_3,Fine Art,1,4,1,,Professional artefact,0.28,1.033,0.3,0.73,0.89,0.54,0.32,0.26
422303,Art History & Context,2_2_3,Fine Art,1,4,2,,Written exam,0.3,1.03,0.66,0.83,0.36,0.53,0.43,0.29
422304,Materials & Processes,2_2_3,Fine Art,1,4,2,,Professional artefact,0.45,1.0075,0.77,0.79,0.72,0.82,0.45,0.45
522301,Studio Practice II,2_2_3,Fine Art,2,5,1,,Professional artefact,0.5,1.0,0.78,0.78,0.72,0.82,0.56,0.54
522302,Contemporary Art Theory,2_2_3,Fine Art,2,5,1,,Written exam,0.56,0.9778,0.46,0.81,0.39,0.55,0.4,0.48
522303,Interdisciplinary Practice,2_2_3,Fine Art,2,5,2,,Professional artefact,0.57,0.9741,0.65,0.8,0.69,0.59,0.58,0.49
522304,Professional Development,2_2_3,Fine Art,2,5,2,,Professional artefact,0.62,0.9556,0.74,0.77,0.74,0.82,0.61,0.59
622301,Studio Practice III,2_2_3,Fine Art,3,6,1,,Viva,0.7,0.926,0.7,0.83,0.59,0.74,0.65,0.68
622302,Major Project / Dissertation,2_2_3,Fine Art,3,6,1,1.0,Written coursework,0.87,0.8631,0.46,0.83,0.62,0.38,0.95,0.75
622303,Exhibition Practice,2_2_3,Fine Art,3,6,2,,Professional artefact,0.77,0.9001,0.74,0.83,0.69,0.72,0.75,0.73
622304,Critical & Contextual Studies,2_2_3,Fine Art,3,6,2,,Written coursework,0.67,0.9371,0.6,0.95,0.28,0.63,0.62,0.73
422401,Introduction to Illustration,2_2_4,Illustration,1,4,1,,Written coursework,0.33,1.0255,0.75,0.71,0.76,0.72,0.34,0.39
422402,Drawing & Image-Making,2_2_4,Illustration,1,4,1,,Professional artefact,0.27,1.0345,0.38,0.77,0.95,0.58,0.28,0.26
422403,Visual Communication,2_2_4,Illustration,1,4,2,,Professional artefact,0.43,1.0105,0.73,0.75,0.81,0.67,0.42,0.37
422404,Digital Skills for Illustrators,2_2_4,Illustration,1,4,2,,Professional artefact,0.38,1.018,0.38,0.73,0.92,0.59,0.36,0.38
522401,Narrative Illustration,2_2_4,Illustration,2,5,1,,Groupwork,0.56,0.9778,0.75,0.79,0.56,0.87,0.53,0.6
522402,Editorial & Publishing Illustration,2_2_4,Illustration,2,5,1,,Professional artefact,0.47,1.0045,0.81,0.8,0.64,0.79,0.56,0.54
522403,Character & Concept Design,2_2_4,Illustration,2,5,2,,Professional artefact,0.52,0.9926,0.8,0.78,0.76,0.82,0.58,0.5
522404,Professional Practice,2_2_4,Illustration,2,5,2,,Presentation,0.6,0.963,0.81,0.87,0.42,0.82,0.5,0.57
622401,Advanced Illustration Project,2_2_4,Illustration,3,6,1,1.0,Professional artefact,0.87,0.8631,0.57,0.9,0.51,0.38,0.88,0.72
622402,Portfolio Development,2_2_4,Illustration,3,6,1,,Professional artefact,0.54,0.9852,0.71,0.81,0.67,0.76,0.57,0.53
622403,Self-Promotion & Freelancing,2_2_4,Illustration,3,6,2,,Professional artefact,0.67,0.9371,0.72,0.82,0.65,0.78,0.66,0.7
622404,Contemporary Illustration Contexts,2_2_4,Illustration,3,6,2,,Professional artefact,0.85,0.8705,0.95,0.76,0.7,0.82,0.82,0.85
422501,Introduction to Media Studies,2_2_5,Media Studies,1,4,1,,Written coursework,0.25,1.0375,0.56,0.77,0.57,0.52,0.29,0.25
422502,Media Industries & Institutions,2_2_5,Media Studies,1,4,1,,Practical exam,0.36,1.021,0.57,0.68,0.76,0.58,0.33,0.32
422503,Media Production,2_2_5,Media Studies,1,4,2,,Professional artefact,0.39,1.0165,0.73,0.76,0.76,0.78,0.37,0.42
422504,Media Audiences & Representation,2_2_5,Media Studies,1,4,2,,Presentation,0.24,1.039,0.74,0.82,0.76,0.8,0.3,0.31
522501,Media Theory,2_2_5,Media Studies,2,5,1,,Written exam,0.59,0.9667,0.68,0.73,0.37,0.62,0.59,0.5
522502,Media Analysis,2_2_5,Media Studies,2,5,1,,Viva,0.7,0.926,0.57,0.82,0.44,0.6,0.63,0.75
522503,Social Media Cultures,2_2_5,Media Studies,2,5,2,,Written exam,0.63,0.9519,0.62,0.86,0.4,0.55,0.58,0.55
522504,Research Methods in Media,2_2_5,Media Studies,2,5,2,,Written coursework,0.7,0.926,0.74,0.88,0.6,0.73,0.62,0.68
622501,Advanced Media Theory,2_2_5,Media Studies,3,6,1,,Viva,0.7,0.926,0.65,0.83,0.5,0.54,0.84,0.71
622502,Global Media & Communication,2_2_5,Media Studies,3,6,1,,Presentation,0.7,0.926,0.82,0.77,0.57,0.73,0.57,0.69
622503,Media Project / Dissertation,2_2_5,Media Studies,3,6,2,1.0,Written coursework,0.85,0.8705,0.54,0.87,0.41,0.38,0.95,0.73
622504,Political Economy of Media,2_2_5,Media Studies,3,6,2,,Presentation,0.68,0.9334,0.88,0.82,0.6,0.81,0.66,0.72
422601,Music Theory & Harmony,2_2_6,Music,1,4,1,,Written exam,0.28,1.033,0.67,0.73,0.49,0.61,0.23,0.27
422602,Performance I,2_2_6,Music,1,4,1,,Professional artefact,0.16,1.051,0.85,0.82,0.79,0.82,0.25,0.29
422603,Music History,2_2_6,Music,1,4,2,,Written exam,0.33,1.0255,0.66,0.78,0.48,0.56,0.29,0.32
422604,Composition I,2_2_6,Music,1,4,2,,Professional artefact,0.34,1.024,0.67,0.76,0.67,0.85,0.34,0.39
522601,Advanced Music Theory,2_2_6,Music,2,5,1,,Written exam,0.59,0.9667,0.62,0.89,0.42,0.52,0.59,0.51
522602,Performance II,2_2_6,Music,2,5,1,,Professional artefact,0.49,1.0015,0.78,0.8,0.72,0.82,0.35,0.5
522603,Music Analysis,2_2_6,Music,2,5,2,,Written exam,0.49,1.0015,0.54,0.77,0.39,0.58,0.61,0.48
522604,Music Technology,2_2_6,Music,2,5,2,,Professional artefact,0.57,0.9741,0.75,0.79,0.63,0.74,0.52,0.59
622601,Performance III / Recital,2_2_6,Music,3,6,1,1.0,Professional artefact,0.95,0.8335,0.65,0.84,0.6,0.38,0.95,0.81
622602,Composition II,2_2_6,Music,3,6,1,,Groupwork,0.8,0.889,0.81,0.85,0.65,0.95,0.75,0.82
622603,Musicology,2_2_6,Music,3,6,2,,Groupwork,0.69,0.9297,0.75,0.85,0.67,0.85,0.77,0.71
622604,Professional Practice in Music,2_2_6,Music,3,6,2,,Presentation,0.65,0.9445,0.79,0.66,0.73,0.79,0.58,0.67
423701,Reading the Object: Material Histories and Markings,2_3_7,Artefact Restoration,1,4,1,,Groupwork,0.31,1.0285,0.76,0.86,0.59,0.89,0.38,0.35
423702,Principles of Conservation and Ethical Restoration,2_3_7,Artefact Restoration,1,4,1,,Groupwork,0.33,1.0255,0.83,0.79,0.78,0.95,0.29,0.35
423703,"Techniques for Metal, Wood, and Mixed Materials",2_3_7,Artefact Restoration,1,4,2,,Practical exam,0.33,1.0255,0.6,0.68,0.84,0.51,0.37,0.29
423704,World Prehistory,2_3_7,Artefact Restoration,1,4,2,,Written exam,0.42,1.012,0.6,0.74,0.51,0.68,0.23,0.43
523701,Fieldwork & Excavation Techniques,2_3_7,Artefact Restoration,2,5,1,,Professional artefact,0.63,0.9519,0.65,0.73,0.7,0.7,0.9,0.65
523702,Fieldwork: Documenting and Mapping,2_3_7,Artefact Restoration,2,5,1,,Professional artefact,0.67,0.9371,0.58,0.75,0.65,0.63,0.77,0.64
523703,Cultural Entanglements in Artefact Recovery,2_3_7,Artefact Restoration,2,5,2,,Professional artefact,0.47,1.0045,0.78,0.79,0.76,0.68,0.52,0.46
523704,Material Culture Studies,2_3_7,Artefact Restoration,2,5,2,,Written exam,0.59,0.9667,0.55,0.89,0.23,0.49,0.44,0.57
623701,Dissertation / Research Project,2_3_7,Artefact Restoration,3,6,1,1.0,Written coursework,0.74,0.9112,0.67,0.8,0.53,0.38,0.95,0.62
623702,Speculative Restoration: Imagining Futures from Fragments,2_3_7,Artefact Restoration,3,6,1,,Groupwork,0.76,0.9038,0.84,0.72,0.72,0.92,0.65,0.77
623703,Ancient Civilisations,2_3_7,Artefact Restoration,3,6,2,,Professional artefact,0.74,0.9112,0.84,0.76,0.71,0.77,0.67,0.73
623704,Public Heritage,2_3_7,Artefact Restoration,3,6,2,,Professional artefact,0.58,0.9704,0.68,0.84,0.64,0.7,0.59,0.68
423801,The Alchemy of Fermentation,2_3_8,Brewcraft and Fermentation Systems,1,4,1,,Professional artefact,0.31,1.0285,0.69,0.8,0.65,0.68,0.24,0.31
423802,"Yeasts, Bacteria, and Microbial Worlds",2_3_8,Brewcraft and Fermentation Systems,1,4,1,,Written coursework,0.32,1.027,0.64,0.84,0.55,0.72,0.33,0.35
423803,Brewing Traditions and Cultural Practice,2_3_8,Brewcraft and Fermentation Systems,1,4,2,,Professional artefact,0.37,1.0195,0.47,0.8,0.83,0.41,0.32,0.29
423804,Chemistry of Beer & Fermentation,2_3_8,Brewcraft and Fermentation Systems,1,4,2,,Professional artefact,0.4,1.015,0.8,0.8,0.71,0.82,0.21,0.45
523801,Quality Control & Sensory Analysis,2_3_8,Brewcraft and Fermentation Systems,2,5,1,,Written exam,0.71,0.9223,0.67,0.83,0.34,0.61,0.47,0.67
523802,Chemistry and Safety in Ferment Labs,2_3_8,Brewcraft and Fermentation Systems,2,5,1,,Practical exam,0.52,0.9926,0.54,0.67,0.95,0.66,0.51,0.49
523803,"Designing Flavour: Herbs, Temperature, and Time",2_3_8,Brewcraft and Fermentation Systems,2,5,2,,Professional artefact,0.57,0.9741,0.82,0.88,0.65,0.68,0.62,0.5
523804,Capstone: Create a Heritage-Inspired Brew Line,2_3_8,Brewcraft and Fermentation Systems,2,5,2,,Written coursework,0.67,0.9371,0.7,0.85,0.58,0.55,0.8,0.62
623801,"Fermentation Futures: Probiotics, Policy, and Place",2_3_8,Brewcraft and Fermentation Systems,3,6,1,,Written coursework,0.67,0.9371,0.56,0.89,0.28,0.53,0.69,0.6
623802,Quality Control & Sensory Analysis,2_3_8,Brewcraft and Fermentation Systems,3,6,1,,Viva,0.77,0.9001,0.56,0.74,0.47,0.61,0.68,0.69
623803,Distillation & Alternative Fermentations,2_3_8,Brewcraft and Fermentation Systems,3,6,2,,Groupwork,0.8,0.889,0.81,0.8,0.62,0.86,0.92,0.75
623804,Dissertation / Research Project,2_3_8,Brewcraft and Fermentation Systems,3,6,2,1.0,Written coursework,0.87,0.8631,0.58,0.83,0.55,0.38,0.95,0.72
423901,Introduction to Metalworking,2_3_9,Precision Smithing and Design,1,4,1,,Professional artefact,0.23,1.0405,0.75,0.8,0.7,0.73,0.32,0.22
423902,Materials & Metallurgy,2_3_9,Precision Smithing and Design,1,4,1,,Written coursework,0.22,1.042,0.71,0.91,0.52,0.71,0.27,0.29
423903,Workshop Practice & Safety,2_3_9,Precision Smithing and Design,1,4,2,,Professional artefact,0.21,1.0435,0.3,0.76,0.95,0.52,0.1,0.2
423904,Technical Drawing & Design,2_3_9,Precision Smithing and Design,1,4,2,,Practical exam,0.26,1.036,0.5,0.72,0.93,0.46,0.26,0.24
523901,Surface Finishing & Treatment,2_3_9,Precision Smithing and Design,2,5,1,,Professional artefact,0.53,0.9889,0.83,0.77,0.68,0.79,0.69,0.62
523902,Alloy Theory and Practical Metallurgy,2_3_9,Precision Smithing and Design,2,5,1,,Professional artefact,0.51,0.9963,0.56,0.75,0.87,0.45,0.4,0.47
523903,"Forging for Fit: Joints, Hinges, and Mechanisms",2_3_9,Precision Smithing and Design,2,5,2,,Professional artefact,0.57,0.9741,0.56,0.77,0.89,0.54,0.4,0.48
523904,Form and Function: Design Studio I,2_3_9,Precision Smithing and Design,2,5,2,,Groupwork,0.46,1.006,0.85,0.91,0.52,0.92,0.45,0.59
623901,Design Studio II: Commissions and Constraints,2_3_9,Precision Smithing and Design,3,6,1,,Professional artefact,0.6,0.963,0.72,0.85,0.67,0.69,0.57,0.62
623902,Capstone: Precision Artefact for Client or Cause,2_3_9,Precision Smithing and Design,3,6,1,1.0,Written coursework,0.93,0.8409,0.72,0.82,0.6,0.38,0.95,0.79
623903,"Ethics in Craft, Ownership, and Replication",2_3_9,Precision Smithing and Design,3,6,2,,Written coursework,0.53,0.9889,0.72,0.75,0.48,0.69,0.71,0.57
623904,Professional Practice & Entrepreneurship,2_3_9,Precision Smithing and Design,3,6,2,,Written coursework,0.61,0.9593,0.67,0.8,0.6,0.7,0.59,0.66
4241001,Introduction to Fashion Design,2_4_10,Fashion Design,1,4,1,,Professional artefact,0.35,1.0225,0.69,0.79,0.72,0.81,0.3,0.35
4241002,Drawing & Illustration for Fashion,2_4_10,Fashion Design,1,4,1,,Professional artefact,0.23,1.0405,0.54,0.8,0.91,0.57,0.2,0.23
4241003,Pattern Cutting & Garment Construction,2_4_10,Fashion Design,1,4,2,,Written coursework,0.24,1.039,0.74,0.87,0.57,0.79,0.26,0.27
4241004,Fashion History & Context,2_4_10,Fashion Design,1,4,2,,Written exam,0.4,1.015,0.65,0.8,0.46,0.62,0.43,0.33
5241001,Fashion Design Development,2_4_10,Fashion Design,2,5,1,,Professional artefact,0.5,1.0,0.62,0.74,0.7,0.74,0.4,0.52
5241002,Textiles & Fabric Innovation,2_4_10,Fashion Design,2,5,1,,Presentation,0.51,0.9963,0.76,0.85,0.57,0.8,0.53,0.49
