programme_code,programme_name,faculty_code,faculty,department_code,department,social_intensity,practical_theoretical_balance,stress_level,career_prospects,academic_difficulty,creativity_requirement,leadership_opportunities,research_intensity,community_engagement,innovation_focus
3_3_5,Multispecies Linguistics,3,Culture & Social Sciences,3_3,Languages,0.73,0.4,0.63,0.61,0.69,0.72,0.61,0.78,0.82,0.66
3_4_6,Ceremonies,3,Culture & Social Sciences,3_4,Philosophy and Religion,0.72,0.55,0.44,0.66,0.54,0.66,0.58,0.62,0.8,0.59
3_4_7,Philosophy of Religion and Ethics,3,Culture & Social Sciences,3_4,Philosophy and Religion,0.7,0.33,0.63,0.57,0.69,0.75,0.58,0.83,0.76,0.63
3_4_8,Ritual and Recollection,3,Culture & Social Sciences,3_4,Philosophy and Religion,0.66,0.37,0.55,0.53,0.71,0.76,0.55,0.76,0.69,0.68
3_5_9,Conflict Transformation,3,Culture & Social Sciences,3_5,Politics & Economics,0.73,0.41,0.72,0.72,0.75,0.77,0.62,0.77,0.76,0.73
3_5_10,Economics,3,Culture & Social Sciences,3_5,Politics & Economics,0.68,0.39,0.68,0.65,0.72,0.78,0.56,0.85,0.71,0.71
3_5_11,Elven Ethics in Modern Governance,3,Culture & Social Sciences,3_5,Politics & Economics,0.56,0.27,0.74,0.56,0.73,0.77,0.47,0.84,0.65,0.68
3_5_12,Narrative Governance and Institution Building,3,Culture & Social Sciences,3_5,Politics & Economics,0.7,0.41,0.46,0.58,0.43,0.74,0.58,0.67,0.8,0.66
3_5_13,Politics and Relations,3,Culture & Social Sciences,3_5,Politics & Economics,0.71,0.26,0.6,0.64,0.67,0.74,0.61,0.82,0.74,0.69
3_6_14,Psychology,3,Culture & Social Sciences,3_6,Psychology & Sociology,0.58,0.33,0.7,0.73,0.87,0.81,0.56,0.92,0.63,0.77
3_6_15,Sociology,3,Culture & Social Sciences,3_6,Psychology & Sociology,0.73,0.29,0.62,0.69,0.61,0.77,0.65,0.74,0.75,0.67
4_1_1,Education Studies,4,Health & Education,4_1,Education,0.7,0.63,0.59,0.58,0.58,0.7,0.69,0.53,0.85,0.63
4_1_2,Educational Mentorship,4,Health & Education,4_1,Education,0.71,0.74,0.53,0.64,0.6,0.63,0.59,0.54,0.78,0.61
4_1_3,Intergenerational Learning,4,Health & Education,4_1,Education,0.66,0.73,0.75,0.59,0.71,0.71,0.66,0.56,0.75,0.65
4_2_4,Herbal Practice and Energy Work,4,Health & Education,4_2,Health,0.76,0.72,0.57,0.63,0.53,0.65,0.68,0.49,0.84,0.67
4_2_5,Integrated Mind-Body,4,Health & Education,4_2,Health,0.65,0.67,0.56,0.67,0.54,0.62,0.64,0.49,0.76,0.66
4_2_6,Midwifery,4,Health & Education,4_2,Health,0.73,0.68,0.48,0.64,0.53,0.59,0.68,0.48,0.83,0.58
4_2_7,Nursing and Care,4,Health & Education,4_2,Health,0.71,0.73,0.48,0.68,0.57,0.68,0.56,0.53,0.76,0.66
4_2_8,Occupational Therapy,4,Health & Education,4_2,Health,0.76,0.72,0.51,0.58,0.55,0.63,0.65,0.41,0.86,0.57
4_2_9,Pharmacy,4,Health & Education,4_2,Health,0.61,0.75,0.42,0.58,0.48,0.68,0.48,0.42,0.71,0.64
4_2_10,Physiotherapy,4,Health & Education,4_2,Health,0.67,0.77,0.52,0.66,0.53,0.63,0.53,0.54,0.78,0.62
4_2_11,Social Work,4,Health & Education,4_2,Health,0.74,0.67,0.4,0.63,0.46,0.68,0.59,0.42,0.87,0.62
4_2_12,Somatic Wellbeing Enquiry,4,Health & Education,4_2,Health,0.8,0.73,0.72,0.6,0.54,0.71,0.76,0.53,0.9,0.62
5_1_2,Mechanical Engineering,5,Science & Engineering,5_1,Engineering,0.63,0.79,0.55,0.71,0.62,0.63,0.64,0.49,0.54,0.7
5_1_3,Systems Engineering,5,Science & Engineering,5_1,Engineering,0.67,0.69,0.49,0.75,0.61,0.66,0.62,0.56,0.67,0.69
5_2_4,Modern Technologies,5,Science & Engineering,5_2,Modern Technologies,0.74,0.74,0.77,0.64,0.91,0.59,0.7,0.75,0.7,0.6
5_2_5,Multi-system Technology,5,Science & Engineering,5_2,Modern Technologies,0.71,0.71,0.7,0.71,0.77,0.6,0.72,0.6,0.62,0.63
5_2_6,Mycelial Cultivation and Biotech,5,Science & Engineering,5_2,Modern Technologies,0.71,0.8,0.68,0.68,0.78,0.64,0.69,0.68,0.68,0.67
5_3_7,Biology,5,Science & Engineering,5_3,Sciences,0.73,0.78,0.47,0.7,0.6,0.62,0.64,0.49,0.72,0.7
5_3_8,Biomedical Science,5,Science & Engineering,5_3,Sciences,0.57,0.78,0.5,0.64,0.5,0.64,0.56,0.39,0.57,0.64
5_3_9,Chemistry,5,Science & Engineering,5_3,Sciences,0.65,0.78,0.65,0.66,0.9,0.56,0.55,0.77,0.65,0.58
5_3_10,Environmental Science,5,Science & Engineering,5_3,Sciences,0.62,0.73,0.65,0.64,0.8,0.61,0.63,0.68,0.59,0.64
5_3_11,Mathematics,5,Science & Engineering,5_3,Sciences,0.34,0.82,0.65,0.59,0.85,0.56,0.48,0.67,0.39,0.6
5_3_12,Physics,5,Science & Engineering,5_3,Sciences,0.45,0.74,0.6,0.68,0.63,0.58,0.47,0.51,0.39,0.61
