student_id,race,gender,ethnicity,prior_educational_experience,socio_economic_class_rank,physical_disability,mental_health_disability,specific_learning_disability,autistic_spectrum,adhd,dyslexia,other_neurodivergence,deaf_or_hearing_impaired,wheelchair_user,requires_personal_care,blind_or_visually_impaired,communication_difficulties,no_known_disabilities
62,Dwarf,Male,Alabaster,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,True
63,Elf,Female,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True
64,Dwarf,Male,Flint,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,False
65,Elf,Male,Palm,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,False
66,Elf,Female,Ash,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False
67,Elf,Male,Rowan,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,True
68,Elf,Female,Palm,Academic,2,False,False,False,False,False,False,False,False,False,False,False,False,True
69,Elf,Male,Palm,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,True
70,Dwarf,Other,Gypsum,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True
71,Dwarf,Female,Flint,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
72,Dwarf,Male,Flint,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True
73,Elf,Male,Yew,Vocational,5,False,False,False,False,True,False,False,False,False,False,False,False,True
74,Elf,Female,Palm,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,False
75,Elf,Female,Ash,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True
76,Dwarf,Female,Sandstone,Vocational,2,True,False,False,False,False,False,False,False,False,False,False,False,False
77,Dwarf,Female,Granite,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
78,Elf,Male,Baobab,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,False
79,Dwarf,Male,Malachite,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,True
80,Dwarf,Male,Alabaster,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,True
81,Dwarf,Female,Flint,Academic,2,False,False,False,False,False,False,False,True,False,False,False,False,False
82,Dwarf,Female,Flint,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
83,Dwarf,Male,Malachite,Vocational,2,True,False,False,False,False,False,False,False,False,False,False,False,True
84,Elf,Male,Yew,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,True
85,Dwarf,Male,Malachite,Vocational,1,False,True,False,False,False,False,False,False,False,False,True,False,False
86,Dwarf,Male,Gypsum,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,False
87,Elf,Female,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True
88,Dwarf,Female,Flint,Vocational,3,False,True,False,False,True,False,False,False,False,False,False,False,True
89,Elf,Female,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True
90,Elf,Female,Baobab,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,False
91,Dwarf,Male,Gypsum,Vocational,1,False,False,False,False,False,False,False,False,False,False,False,False,True
92,Elf,Female,Yew,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True
93,Dwarf,Female,Granite,Vocational,4,False,False,False,False,True,False,False,False,False,False,False,False,False
94,Dwarf,Female,Alabaster,Academic,2,False,True,False,False,False,False,False,False,False,False,False,False,True
95,Dwarf,Female,Flint,Vocational,4,False,True,False,False,False,False,False,False,False,False,False,False,True
96,Dwarf,Female,Granite,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,True
97,Dwarf,Female,Granite,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,True
98,Dwarf,Male,Sandstone,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
99,Dwarf,Male,Alabaster,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True
100,Dwarf,Male,Flint,Academic,2,False,False,False,False,False,False,False,False,False,False,False,False,True
101,Elf,Male,Ash,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False
102,Elf,Female,Rowan,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,False
103,Elf,Male,Palm,Academic,1,False,False,False,False,False,False,False,False,True,False,False,False,True
104,Dwarf,Female,Alabaster,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,True
105,Elf,Female,Rowan,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False
106,Elf,Male,Baobab,Academic,3,False,False,False,True,False,False,False,False,False,False,False,False,True
107,Elf,Male,Baobab,Academic,5,False,False,False,False,False,False,False,False,False,True,False,False,True
108,Elf,Female,Rowan,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True
109,Elf,Male,Ash,Vocational,3,True,False,False,False,False,False,False,False,False,False,False,False,True
110,Elf,Male,Yew,Academic,4,False,False,False,False,True,False,False,False,False,False,False,False,True
111,Elf,Male,Yew,Vocational,1,False,False,False,False,False,False,False,False,False,False,False,False,False
112,Dwarf,Male,Flint,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,True
113,Elf,Female,Rowan,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,True
114,Dwarf,Female,Alabaster,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,False
115,Dwarf,Female,Sandstone,Vocational,5,False,True,False,False,False,False,False,False,False,False,False,False,False
116,Dwarf,Female,Malachite,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False
117,Dwarf,Female,Flint,Academic,4,False,False,False,False,True,False,False,False,False,False,False,False,False
118,Elf,Male,Baobab,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
119,Dwarf,Female,Alabaster,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
120,Elf,Female,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,False
121,Elf,Female,Rowan,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True
122,Dwarf,Female,Flint,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True
123,Dwarf,Male,Flint,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False
124,Elf,Male,Palm,Academic,3,False,False,False,False,False,False,False,False,False,False,False,True,True
125,Dwarf,Male,Gypsum,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
126,Dwarf,Male,Sandstone,Vocational,3,False,False,False,False,False,False,False,False,False,True,False,False,True
127,Dwarf,Female,Gypsum,Vocational,4,False,True,False,False,False,False,False,False,False,False,False,False,False
128,Elf,Female,Palm,Academic,5,True,False,False,True,False,False,False,False,False,False,False,False,True
129,Elf,Male,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,False
130,Dwarf,Female,Flint,Vocational,3,False,False,True,False,False,False,False,False,False,False,False,False,False
131,Elf,Male,Baobab,Academic,5,False,False,False,False,False,False,False,False,False,False,True,False,True
132,Dwarf,Male,Gypsum,Vocational,5,False,False,False,False,False,False,False,False,True,False,False,False,True
133,Dwarf,Male,Gypsum,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,True
134,Dwarf,Male,Granite,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False
135,Elf,Female,Yew,Academic,3,False,True,False,False,False,False,False,False,False,False,False,False,True
136,Dwarf,Male,Gypsum,Vocational,2,False,False,True,False,False,False,False,False,False,False,False,False,True
137,Elf,Female,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,False,True,False
138,Dwarf,Female,Flint,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,False
139,Dwarf,Male,Granite,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False
140,Elf,Other,Palm,Academic,3,False,False,False,True,False,False,False,False,False,False,False,False,True
141,Elf,Other,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True
142,Dwarf,Male,Sandstone,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True
143,Dwarf,Female,Flint,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True
144,Elf,Male,Yew,Academic,5,False,True,True,False,False,False,False,False,False,False,False,False,True
145,Elf,Male,Ash,Academic,5,False,False,False,True,False,False,False,False,False,False,False,False,True
146,Dwarf,Male,Flint,Vocational,4,False,False,False,False,False,False,False,False,False,False,True,False,False
147,Dwarf,Female,Malachite,Vocational,1,False,False,False,False,False,False,False,False,False,False,False,False,True
148,Dwarf,Female,Malachite,Vocational,1,True,False,False,False,True,False,False,False,False,False,False,False,True
149,Dwarf,Male,Granite,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,False
150,Elf,Male,Rowan,Academic,4,False,False,False,False,False,False,True,False,False,False,False,False,True
151,Dwarf,Female,Flint,Vocational,3,False,False,False,False,False,False,False,False,False,False,True,False,True
152,Elf,Male,Ash,Academic,2,False,False,False,False,False,False,False,False,False,False,False,False,True
153,Elf,Male,Yew,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True
154,Elf,Female,Baobab,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False
155,Elf,Other,Baobab,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True
156,Dwarf,Male,Gypsum,Vocational,2,False,False,False,False,True,False,False,False,False,False,False,False,True
157,Dwarf,Female,Malachite,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
158,Elf,Female,Holly,Academic,2,False,False,False,False,False,False,False,False,False,False,False,False,True
159,Elf,Male,Ash,Academic,1,False,False,False,False,False,False,False,False,False,False,False,False,True
160,Dwarf,Female,Granite,Vocational,3,False,False,True,False,False,False,False,False,False,False,True,False,True
161,Elf,Male,Ash,Academic,4,False,False,False,False,False,True,False,False,False,False,True,True,True
162,Elf,Female,Baobab,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,True
163,Elf,Female,Baobab,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,False
164,Dwarf,Female,Granite,Vocational,2,True,False,False,False,True,False,False,False,False,False,False,False,False
165,Elf,Male,Rowan,Academic,4,False,False,True,False,False,False,False,False,False,False,False,False,True
166,Elf,Female,Baobab,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,True
167,Dwarf,Male,Sandstone,Vocational,5,False,False,False,False,False,False,False,False,False,False,False,False,False
168,Elf,Male,Baobab,Academic,5,False,True,False,True,False,False,False,False,False,False,False,False,True
169,Dwarf,Male,Flint,Vocational,4,False,False,False,False,False,True,False,False,False,False,False,False,True
170,Dwarf,Female,Gypsum,Vocational,4,False,False,False,False,False,True,False,False,False,False,False,False,False
171,Elf,Female,Rowan,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,True
172,Dwarf,Male,Sandstone,Vocational,1,False,False,False,False,False,False,False,False,False,False,False,False,False
173,Elf,Female,Holly,Academic,3,False,False,False,False,False,True,False,False,False,False,False,False,False
174,Elf,Male,Palm,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,True
175,Dwarf,Female,Flint,Vocational,4,False,False,False,False,False,False,False,True,False,False,False,False,True
176,Dwarf,Male,Flint,Vocational,1,False,False,False,False,False,False,False,False,False,False,False,False,False
177,Elf,Female,Holly,Academic,2,False,False,False,False,False,False,False,False,False,False,False,False,True
178,Dwarf,Male,Flint,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,False
179,Elf,Female,Ash,Academic,1,False,False,False,False,False,False,False,False,False,False,False,False,True
180,Elf,Male,Yew,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False
181,Dwarf,Male,Gypsum,Vocational,5,False,False,False,False,False,False,False,False,False,False,False,False,True
182,Dwarf,Male,Sandstone,Vocational,3,False,False,False,False,False,True,False,False,False,True,False,False,False
183,Dwarf,Female,Flint,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,True
184,Dwarf,Female,Flint,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True
185,Dwarf,Male,Malachite,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,True
186,Dwarf,Female,Flint,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
187,Dwarf,Female,Flint,Vocational,3,True,False,False,False,False,False,False,False,False,False,False,False,True
188,Elf,Female,Baobab,Academic,4,False,False,False,True,False,False,False,False,False,False,True,False,True
189,Dwarf,Female,Flint,Vocational,1,False,False,False,False,False,False,False,False,False,False,False,False,False
190,Dwarf,Male,Flint,Vocational,3,False,False,False,False,False,False,False,True,False,False,False,False,True
191,Elf,Male,Baobab,Vocational,5,False,False,False,False,False,False,False,False,False,False,False,False,True
192,Elf,Female,Yew,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True
193,Elf,Female,Palm,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,False
194,Dwarf,Female,Flint,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True
195,Elf,Male,Rowan,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,False
196,Dwarf,Male,Flint,Vocational,4,False,True,True,False,False,False,False,False,False,True,False,False,True
197,Dwarf,Female,Alabaster,Vocational,1,False,False,False,False,False,False,False,False,False,False,False,False,False
198,Elf,Female,Yew,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,False
199,Dwarf,Female,Gypsum,Vocational,3,True,True,False,False,False,False,False,False,False,False,False,False,True
200,Dwarf,Female,Flint,Academic,4,False,False,False,False,False,True,False,False,False,False,False,False,True
201,Dwarf,Female,Gypsum,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True
202,Dwarf,Male,Alabaster,Vocational,3,False,False,False,False,True,False,False,False,False,False,False,False,True
203,Dwarf,Male,Granite,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True
204,Dwarf,Female,Alabaster,Vocational,4,False,False,True,False,False,False,False,False,False,True,False,False,False
205,Dwarf,Female,Malachite,Vocational,1,False,False,False,False,False,False,False,False,False,False,False,False,False
206,Elf,Male,Holly,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False
207,Dwarf,Male,Sandstone,Vocational,5,False,False,False,False,False,False,False,False,False,False,False,False,False
208,Elf,Female,Baobab,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,True
209,Elf,Male,Rowan,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False
210,Elf,Male,Yew,Vocational,4,False,True,False,False,False,False,False,False,False,False,False,False,True
211,Dwarf,Female,Flint,Vocational,2,False,False,False,False,True,False,False,False,False,False,False,False,False
212,Dwarf,Female,Flint,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True
213,Dwarf,Female,Sandstone,Vocational,4,False,False,False,False,False,False,False,False,False,True,False,False,True
214,Elf,Male,Palm,Academic,3,False,False,False,True,False,False,False,False,False,False,False,False,True
215,Dwarf,Female,Flint,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False
216,Elf,Male,Ash,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,True
217,Dwarf,Male,Flint,Vocational,5,False,False,False,False,False,False,False,False,False,False,False,False,True
218,Dwarf,Female,Flint,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True
219,Dwarf,Female,Granite,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,True
220,Dwarf,Female,Gypsum,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
221,Elf,Female,Holly,Vocational,2,False,False,False,False,False,False,False,True,False,False,False,False,True
222,Elf,Female,Holly,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,False
223,Dwarf,Male,Granite,Vocational,1,False,False,False,False,True,False,False,False,False,False,False,False,True
224,Elf,Male,Ash,Academic,3,False,True,False,False,False,False,False,False,False,False,False,False,False
225,Dwarf,Male,Alabaster,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False
226,Dwarf,Male,Flint,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,True
227,Elf,Other,Rowan,Vocational,4,False,False,False,False,False,False,False,False,False,False,True,False,True
228,Dwarf,Male,Malachite,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,True
229,Elf,Female,Baobab,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,True
230,Dwarf,Female,Gypsum,Vocational,5,True,True,False,False,False,False,False,False,False,False,False,False,False
231,Elf,Female,Baobab,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,False
232,Elf,Female,Palm,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True
233,Elf,Female,Yew,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False
234,Dwarf,Female,Granite,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False
235,Elf,Male,Ash,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False
236,Dwarf,Female,Sandstone,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True
237,Elf,Male,Baobab,Vocational,5,False,False,False,False,False,False,False,False,False,True,False,False,True
238,Dwarf,Male,Sandstone,Academic,1,False,False,False,False,False,False,False,False,False,False,False,False,False
239,Elf,Female,Rowan,Academic,1,False,False,False,False,False,False,False,False,False,False,False,False,False
240,Dwarf,Male,Sandstone,Academic,4,False,False,False,False,True,False,False,False,False,False,False,False,True
241,Elf,Female,Yew,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False
242,Elf,Other,Holly,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,True
243,Dwarf,Female,Sandstone,Vocational,2,False,False,False,False,True,False,False,False,False,False,False,False,False
244,Elf,Male,Palm,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,True,True
245,Elf,Male,Holly,Academic,5,False,False,False,False,False,False,True,False,False,False,False,False,False
246,Elf,Female,Yew,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True
247,Dwarf,Male,Malachite,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,True
248,Elf,Other,Yew,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False
249,Elf,Other,Yew,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
250,Elf,Female,Palm,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,True
251,Dwarf,Male,Flint,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False
252,Dwarf,Male,Alabaster,Vocational,2,False,False,False,False,True,False,False,False,False,False,False,False,True
253,Dwarf,Female,Alabaster,Vocational,2,False,False,False,False,False,False,False,True,False,False,False,False,False
254,Dwarf,Male,Flint,Vocational,5,False,False,True,False,False,False,False,False,False,False,False,False,False
255,Dwarf,Male,Alabaster,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,True,False
256,Dwarf,Female,Flint,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,True
257,Elf,Female,Rowan,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,True
258,Dwarf,Female,Flint,Vocational,2,False,False,False,False,False,True,False,False,False,False,False,True,False
259,Dwarf,Female,Flint,Vocational,5,False,False,False,False,False,False,False,False,False,False,False,True,True
260,Elf,Male,Baobab,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
261,Dwarf,Female,Sandstone,Vocational,3,False,False,True,False,False,False,False,False,False,False,False,False,False
262,Dwarf,Other,Flint,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,True
263,Elf,Male,Baobab,Academic,3,False,False,False,False,False,False,False,False,False,False,False,False,True
264,Dwarf,Female,Malachite,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
265,Elf,Female,Baobab,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False
266,Dwarf,Female,Gypsum,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,True
267,Dwarf,Female,Malachite,Vocational,5,False,False,True,False,False,False,False,False,False,False,False,False,True
268,Elf,Female,Rowan,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,False
269,Elf,Male,Baobab,Academic,5,False,False,True,True,False,False,False,False,False,False,False,False,False
270,Dwarf,Male,Granite,Vocational,1,False,False,False,False,False,False,False,False,False,False,False,False,False
271,Dwarf,Female,Sandstone,Vocational,2,False,False,False,False,False,True,False,False,False,False,True,False,False
272,Dwarf,Female,Malachite,Vocational,3,True,False,False,False,False,False,False,False,False,False,False,False,False
273,Dwarf,Female,Sandstone,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,True
274,Elf,Female,Baobab,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,True
275,Dwarf,Female,Gypsum,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
276,Dwarf,Female,Flint,Vocational,4,False,False,False,False,True,False,False,False,False,False,True,False,False
277,Dwarf,Female,Alabaster,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,False
278,Dwarf,Female,Flint,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
279,Elf,Female,Baobab,Academic,4,False,False,False,False,False,False,False,False,False,False,False,False,True
280,Dwarf,Female,Flint,Vocational,4,False,False,False,False,True,False,False,False,False,False,False,False,True
281,Elf,Female,Ash,Vocational,4,False,False,False,False,False,False,False,False,False,False,False,False,False
282,Dwarf,Male,Sandstone,Vocational,3,False,False,False,False,False,False,False,False,False,False,False,False,False
283,Elf,Male,Yew,Academic,3,False,True,False,True,False,False,False,False,False,False,False,False,False
284,Dwarf,Male,Flint,Vocational,1,True,True,False,False,False,False,False,False,False,False,False,False,False
285,Dwarf,Female,Gypsum,Vocational,5,False,False,False,False,False,True,False,False,False,False,False,False,False
286,Elf,Male,Baobab,Vocational,2,False,False,False,False,False,False,False,False,False,False,False,False,False
287,Elf,Female,Baobab,Academic,5,False,False,False,False,True,False,False,False,False,False,False,False,True
288,Elf,Female,Rowan,Vocational,3,False,False,False,False,True,False,False,False,False,False,False,False,True
289,Elf,Male,Holly,Academic,5,False,False,False,False,False,False,False,False,False,False,False,False,False
