module_code,module_title,programme_code,module_year,semester,assessment_type,difficulty_level,social_requirements,creativity_requirements,practical_theoretical_balance,stress_level,group_work_intensity,independent_study_requirement,description
2.1.16.01,Deep Listening: Practices from Many Traditions,2.1.16,1,1,mixed,0.29,0.86,0.67,0.63,0.39,0.66,0.38,"Foundation module in Education, Eldership, and Mentoring: Deep Listening: Practices from Many Traditions."
2.1.16.02,"Circle Structures: Time, Space, and Agreement",2.1.16,1,2,mixed,0.44,0.88,0.7,0.59,0.32,0.67,0.41,"Foundation module in Education, Eldership, and Mentoring: Circle Structures: Time, Space, and Agreement."
2.4.24.01,"What Is a Ceremony? Structures, Symbols, Intentions",2.4.24,1,1,essay,0.37,0.76,0.7,0.54,0.3,0.64,0.42,"Foundation module in Rites, Rest, and Renewal: What Is a Ceremony? Structures, Symbols, Intentions."
2.4.24.02,"Elements of Ritual: Object, Word, Movement, Space",2.4.24,1,2,mixed,0.3,0.71,0.73,0.58,0.38,0.69,0.43,"Foundation module in Rites, Rest, and Renewal: Elements of Ritual: Object, Word, Movement, Space."
4.3.39.01,Rooted Reasoning: Foundations of Elven Moral Thought,4.3.39,1,1,essay,0.42,0.66,0.75,0.12,0.28,0.49,0.5,Introductory philosophy and ethics module establishing core concepts and practices.
4.3.39.02,Harmonies and Hierarchies: Structures of Elven Governance,4.3.39,1,2,essay,0.55,0.62,0.74,0.16,0.37,0.48,0.52,Foundation module in Philosophy and Ethics: Harmonies and Hierarchies: Structures of Elven Governance.
3.3.32.01,"The Body as Instrument, Archive, and Witness",3.3.32,1,1,essay,0.26,0.52,0.79,0.48,0.31,0.45,0.47,"Foundation module in Transdisciplinary Design and Praxis: The Body as Instrument, Archive, and Witness."
3.3.32.02,Introduction to Embodied Inquiry Practices,3.3.32,1,2,essay,0.34,0.54,0.75,0.52,0.26,0.44,0.47,Introductory transdisciplinary design and praxis module establishing core concepts and practices.
2.1.17.01,Theories of Care: Interdependence and Responsibility,2.1.17,1,1,essay,0.39,0.83,0.64,0.63,0.39,0.6,0.38,"Foundation module in Education, Eldership, and Mentoring: Theories of Care: Interdependence and Responsibility."
2.1.17.02,Craft as Teaching: Making with Meaning,2.1.17,1,2,mixed,0.39,0.79,0.74,0.6,0.31,0.61,0.44,"Foundation module in Education, Eldership, and Mentoring: Craft as Teaching: Making with Meaning."
4.2.37.01,"Oral Histories: Ethics, Skills, and Power Dynamics",4.2.37,1,1,essay,0.44,0.71,0.72,0.44,0.37,0.48,0.39,"Foundation module in Oral Histories and Memorycraft: Oral Histories: Ethics, Skills, and Power Dynamics."
4.2.37.02,"The Storyweaver’s Craft: Listening, Shaping, Returning",4.2.37,1,2,essay,0.43,0.81,0.75,0.44,0.34,0.5,0.37,"Foundation module in Oral Histories and Memorycraft: The Storyweaver’s Craft: Listening, Shaping, Returning."
3.1.27.01,What Counts as Knowledge? A Critical Introduction,3.1.27,1,1,essay,0.53,0.56,0.73,0.24,0.28,0.44,0.52,Foundation module in Ecologies of Knowledge: What Counts as Knowledge? A Critical Introduction.
3.1.27.02,"Mapping Epistemic Power: Institutions, Identity, Inheritance",3.1.27,1,2,essay,0.45,0.51,0.73,0.21,0.39,0.49,0.57,"Foundation module in Ecologies of Knowledge: Mapping Epistemic Power: Institutions, Identity, Inheritance."
4.4.43.01,Conflict as Pattern: Myths of Harmony and Rupture,4.4.43,1,1,essay,0.35,0.62,0.68,0.31,0.34,0.55,0.39,Foundation module in Political Myth and Governance: Conflict as Pattern: Myths of Harmony and Rupture.
4.4.43.02,Design Principles for Holding Heat,4.4.43,1,2,essay,0.37,0.61,0.82,0.24,0.39,0.49,0.44,Foundation module in Political Myth and Governance: Design Principles for Holding Heat.
2.2.20.01,Dreamtime Foundations: Personal and Cultural Archetypes,2.2.20,1,1,mixed,0.31,0.73,0.71,0.68,0.38,0.57,0.54,Foundation module in Healing and Embodied Knowledge: Dreamtime Foundations: Personal and Cultural Archetypes.
2.2.20.02,Introduction to Somatic Inquiry Methods,2.2.20,1,2,mixed,0.39,0.7,0.69,0.61,0.3,0.64,0.36,Introductory healing and embodied knowledge module establishing core concepts and practices.
4.2.36.01,"Memory as Method: Ritual, Repetition, Refrain",4.2.36,1,1,essay,0.33,0.69,0.64,0.48,0.34,0.53,0.36,"Foundation module in Oral Histories and Memorycraft: Memory as Method: Ritual, Repetition, Refrain."
4.2.36.02,Personal and Collective Recollection Practices,4.2.36,1,2,essay,0.44,0.82,0.7,0.44,0.36,0.52,0.48,Foundation module in Oral Histories and Memorycraft: Personal and Collective Recollection Practices.
3.3.31.01,Foundations of Systems and Frameworks,3.3.31,1,1,essay,0.26,0.54,0.75,0.49,0.29,0.51,0.43,Introductory transdisciplinary design and praxis module establishing core concepts and practices.
3.3.31.02,Mapping Knowledge: Visualisation and Vocabulary,3.3.31,1,2,essay,0.44,0.57,0.74,0.48,0.38,0.51,0.42,Foundation module in Transdisciplinary Design and Praxis: Mapping Knowledge: Visualisation and Vocabulary.
1.5.13.01,Principles of Stone Lore and Material Memory,1.5.13,1,1,practical,0.3,0.48,0.67,0.72,0.28,0.5,0.4,Foundation module in Stonework and Structural Alchemy: Principles of Stone Lore and Material Memory.
1.5.13.02,Sacred Geometry and Form,1.5.13,1,1,practical,0.44,0.48,0.66,0.72,0.32,0.49,0.39,Foundation module in Stonework and Structural Alchemy: Sacred Geometry and Form.
1.5.13.03,Drawing and Modelling in Organic Structures,1.5.13,1,2,practical,0.33,0.54,0.71,0.75,0.39,0.44,0.44,Foundation module in Stonework and Structural Alchemy: Drawing and Modelling in Organic Structures.
2.3.22.01,Foundations of Mediation and Dialogue,2.3.22,1,1,mixed,0.29,0.91,0.72,0.61,0.26,0.7,0.4,Introductory hospitality and conflict holding module establishing core concepts and practices.
2.3.22.02,"Listening Between: Power, Culture, Emotion",2.3.22,1,2,mixed,0.39,0.92,0.72,0.57,0.38,0.74,0.43,"Foundation module in Hospitality and Conflict Holding: Listening Between: Power, Culture, Emotion."
4.3.40.01,"Power as Pattern: Visibility, Inheritance, Flow",4.3.40,1,1,essay,0.5,0.64,0.73,0.18,0.32,0.56,0.51,"Foundation module in Philosophy and Ethics: Power as Pattern: Visibility, Inheritance, Flow."
4.3.40.02,"Naming the Bindings: Ideology, Myth, and Control",4.3.40,1,2,essay,0.68,0.69,0.68,0.16,0.35,0.54,0.45,"Foundation module in Philosophy and Ethics: Naming the Bindings: Ideology, Myth, and Control."
1.4.11.01,"Water, Flow, and the Shaping of Matter",1.4.11,1,1,practical,0.32,0.47,0.63,0.74,0.34,0.51,0.37,"Foundation module in Mechanics and Engineering: Water, Flow, and the Shaping of Matter."
1.4.11.02,Introduction to Heuristics: Intuition in Systems Design,1.4.11,1,1,practical,0.37,0.46,0.7,0.7,0.29,0.48,0.42,Introductory mechanics and engineering module establishing core concepts and practices.
1.4.11.03,Sound and Structure: Principles of Harmonics,1.4.11,1,2,practical,0.25,0.5,0.6,0.75,0.3,0.51,0.41,Foundation module in Mechanics and Engineering: Sound and Structure: Principles of Harmonics.
1.3.8.01,"Hammer as Pedagogue: Rhythm, Impact, Intent",1.3.8,1,1,practical,0.31,0.5,0.69,0.88,0.36,0.39,0.42,"Foundation module in Forge Arts and Metallurgy: Hammer as Pedagogue: Rhythm, Impact, Intent."
1.3.8.02,"Embodied Skills Lab: Holding, Striking, Shaping",1.3.8,1,2,practical,0.44,0.53,0.7,0.91,0.37,0.38,0.4,"Foundation module in Forge Arts and Metallurgy: Embodied Skills Lab: Holding, Striking, Shaping."
4.1.34.01,"Introduction to Runic Systems: Function, Form, Origin",4.1.34,1,1,essay,0.2,0.58,0.71,0.37,0.33,0.48,0.39,Introductory language and symbol module establishing core concepts and practices.
4.1.34.02,Scripts as Tools and Talismans,4.1.34,1,2,essay,0.33,0.6,0.76,0.38,0.37,0.53,0.4,Foundation module in Language and Symbol: Scripts as Tools and Talismans.
1.1.2.01,History of Mutual Aid and Guild Traditions,1.1.2,1,1,practical,0.35,0.79,0.6,0.78,0.35,0.8,0.41,Foundation module in Community Labour & Cooperative Innovation: History of Mutual Aid and Guild Traditions.
1.1.2.02,Foundations of Self-Governance,1.1.2,1,2,practical,0.34,0.72,0.59,0.74,0.3,0.69,0.42,Introductory community labour & cooperative innovation module establishing core concepts and practices.
4.3.41.01,The Loom of Lore: Threads from Ancients and Elders,4.3.41,1,1,essay,0.49,0.63,0.75,0.18,0.39,0.56,0.51,Foundation module in Philosophy and Ethics: The Loom of Lore: Threads from Ancients and Elders.
4.3.41.02,"Tales That Teach: Fable, Parable, and Prophecy",4.3.41,1,2,essay,0.5,0.62,0.75,0.12,0.34,0.52,0.45,"Foundation module in Philosophy and Ethics: Tales That Teach: Fable, Parable, and Prophecy."
1.4.10.01,Foundations of Systems Thinking,1.4.10,1,1,practical,0.34,0.46,0.61,0.7,0.26,0.44,0.39,Introductory mechanics and engineering module establishing core concepts and practices.
1.4.10.02,Logic and Pattern Recognition,1.4.10,1,1,practical,0.35,0.54,0.62,0.71,0.34,0.45,0.36,Foundation module in Mechanics and Engineering: Logic and Pattern Recognition.
1.4.10.03,"Machines, Mechanisms, and Leverage",1.4.10,1,2,practical,0.32,0.51,0.6,0.75,0.37,0.51,0.41,"Foundation module in Mechanics and Engineering: Machines, Mechanisms, and Leverage."
1.5.14.01,Histories of Dwarven Infrastructure,1.5.14,1,1,practical,0.43,0.52,0.7,0.71,0.34,0.52,0.36,Foundation module in Stonework and Structural Alchemy: Histories of Dwarven Infrastructure.
1.5.14.02,"Listening to the System: Scent, Sound, Shift",1.5.14,1,2,practical,0.45,0.6,0.68,0.7,0.39,0.51,0.4,"Foundation module in Stonework and Structural Alchemy: Listening to the System: Scent, Sound, Shift."
2.2.18.01,"Plant Allies: Identification, Ethics, and Harvesting",2.2.18,1,1,mixed,0.35,0.73,0.64,0.65,0.39,0.68,0.44,"Foundation module in Healing and Embodied Knowledge: Plant Allies: Identification, Ethics, and Harvesting."
2.2.18.02,"Introduction to Energy Work: Hands, Breath, Field",2.2.18,1,2,mixed,0.3,0.74,0.64,0.66,0.28,0.67,0.44,Introductory healing and embodied knowledge module establishing core concepts and practices.
1.1.3.01,Learning Through Making: Foundations,1.1.3,1,1,practical,0.26,0.71,0.66,0.77,0.36,0.67,0.4,Foundation module in Community Labour & Cooperative Innovation: Learning Through Making: Foundations.
1.1.3.02,Embodied Knowledge and Apprenticeship Models,1.1.3,1,2,practical,0.41,0.68,0.65,0.81,0.33,0.71,0.39,Foundation module in Community Labour & Cooperative Innovation: Embodied Knowledge and Apprenticeship Models.
3.1.28.01,Introduction to Indigenous and Folk Epistemologies,3.1.28,1,1,essay,0.48,0.54,0.69,0.24,0.25,0.52,0.51,Introductory ecologies of knowledge module establishing core concepts and practices.
3.1.28.02,"Story, Land, and Lineage as Knowledge Archives",3.1.28,1,2,essay,0.64,0.51,0.72,0.23,0.31,0.5,0.51,"Foundation module in Ecologies of Knowledge: Story, Land, and Lineage as Knowledge Archives."
1.2.6.01,The Alchemy of Fermentation,1.2.6,1,1,practical,0.28,0.55,0.66,0.86,0.36,0.55,0.39,Foundation module in Food and Sustenance Technologies: The Alchemy of Fermentation.
1.2.6.02,"Yeasts, Bacteria, and Microbial Worlds",1.2.6,1,2,practical,0.4,0.59,0.63,0.82,0.34,0.48,0.42,"Foundation module in Food and Sustenance Technologies: Yeasts, Bacteria, and Microbial Worlds."
2.4.25.01,"Time as Construct: Clocks, Moons, and Memory",2.4.25,1,1,mixed,0.37,0.75,0.75,0.52,0.32,0.67,0.4,"Foundation module in Rites, Rest, and Renewal: Time as Construct: Clocks, Moons, and Memory."
2.4.25.02,"Rhythms of the Body, Land, and Cosmos",2.4.25,1,2,mixed,0.29,0.69,0.74,0.57,0.36,0.68,0.38,"Foundation module in Rites, Rest, and Renewal: Rhythms of the Body, Land, and Cosmos."
2.3.21.01,Principles of Restorative Space,2.3.21,1,1,mixed,0.31,0.81,0.69,0.6,0.33,0.74,0.37,Foundation module in Hospitality and Conflict Holding: Principles of Restorative Space.
2.3.21.02,"Materials, Light, and Layout for Healing",2.3.21,1,1,mixed,0.29,0.86,0.68,0.64,0.31,0.7,0.39,"Foundation module in Hospitality and Conflict Holding: Materials, Light, and Layout for Healing."
2.3.21.03,Thresholds and Transitions: Entering With Intention,2.3.21,1,2,mixed,0.41,0.85,0.66,0.63,0.38,0.72,0.42,Foundation module in Hospitality and Conflict Holding: Thresholds and Transitions: Entering With Intention.
4.2.38.01,"Introduction to Folklore: Forms, Functions, Foundations",4.2.38,1,1,essay,0.35,0.7,0.7,0.42,0.3,0.54,0.41,Introductory oral histories and memorycraft module establishing core concepts and practices.
4.2.38.02,"Modes of Transmission: Voice, Object, Movement",4.2.38,1,2,essay,0.35,0.76,0.71,0.48,0.37,0.51,0.41,"Foundation module in Oral Histories and Memorycraft: Modes of Transmission: Voice, Object, Movement."
2.1.15.01,"The Mentor’s Role: Presence, Power, and Practice",2.1.15,1,1,mixed,0.26,0.83,0.72,0.63,0.33,0.63,0.41,"Foundation module in Education, Eldership, and Mentoring: The Mentor’s Role: Presence, Power, and Practice."
2.1.15.02,Foundations in Relational Learning,2.1.15,1,2,mixed,0.23,0.83,0.72,0.63,0.31,0.62,0.38,"Introductory education, eldership, and mentoring module establishing core concepts and practices."
1.1.1.01,Introduction to Cooperative Crafting,1.1.1,1,1,practical,0.25,0.76,0.68,0.8,0.31,0.8,0.37,Introductory community labour & cooperative innovation module establishing core concepts and practices.
1.1.1.02,Material Cultures and Local Economies,1.1.1,1,1,practical,0.35,0.65,0.64,0.82,0.34,0.7,0.43,Foundation module in Community Labour & Cooperative Innovation: Material Cultures and Local Economies.
1.1.1.03,"Tools, Skills, and Guild Technologies",1.1.1,1,2,practical,0.25,0.66,0.61,0.78,0.35,0.67,0.41,"Foundation module in Community Labour & Cooperative Innovation: Tools, Skills, and Guild Technologies."
2.4.26.01,"Rites of the Ancients: Elven, Dwarven, and Beyond",2.4.26,1,1,mixed,0.42,0.75,0.71,0.54,0.38,0.66,0.43,"Foundation module in Rites, Rest, and Renewal: Rites of the Ancients: Elven, Dwarven, and Beyond."
2.4.26.02,Reading Ritual Traces in Landscape and Object,2.4.26,1,2,mixed,0.44,0.69,0.76,0.51,0.39,0.7,0.38,"Foundation module in Rites, Rest, and Renewal: Reading Ritual Traces in Landscape and Object."
4.1.35.03,Listening to the More-Than-Human World,4.1.35,2,1,essay,0.5,0.66,0.76,0.34,0.52,0.5,0.51,Intermediate module in Language and Symbol: Listening to the More-Than-Human World.
4.1.35.04,"Shared Contexts: Place, Pattern, and Play",4.1.35,2,1,essay,0.45,0.67,0.69,0.32,0.46,0.63,0.57,"Intermediate module in Language and Symbol: Shared Contexts: Place, Pattern, and Play."
4.1.35.05,Ethical Dilemmas in Inter-species Contact and Representation,4.1.35,2,2,essay,0.65,0.7,0.72,0.31,0.54,0.54,0.52,Intermediate module in Language and Symbol: Ethical Dilemmas in Inter-species Contact and Representation.
2.2.19.03,Teaching With the Body: Facilitation as Flow,2.2.19,2,1,mixed,0.63,0.76,0.69,0.63,0.48,0.69,0.53,Intermediate module in Healing and Embodied Knowledge: Teaching With the Body: Facilitation as Flow.
2.2.19.04,"Breath, Touch, and Grounding Techniques",2.2.19,2,1,mixed,0.65,0.72,0.71,0.64,0.47,0.71,0.58,"Intermediate module in Healing and Embodied Knowledge: Breath, Touch, and Grounding Techniques."
2.2.19.05,Interoception and Trauma-Informed Practice,2.2.19,2,2,mixed,0.5,0.73,0.69,0.67,0.52,0.71,0.57,Intermediate module in Healing and Embodied Knowledge: Interoception and Trauma-Informed Practice.
1.2.4.04,Seasonal Cycles and Climate-Resilient Cropping,1.2.4,2,1,practical,0.56,0.6,0.62,0.79,0.46,0.49,0.53,Intermediate module in Food and Sustenance Technologies: Seasonal Cycles and Climate-Resilient Cropping.
1.2.4.05,Agroforestry and Companion Planting,1.2.4,2,1,practical,0.65,0.58,0.65,0.84,0.47,0.51,0.55,Intermediate module in Food and Sustenance Technologies: Agroforestry and Companion Planting.
1.2.4.06,Land Stewardship and the Commons,1.2.4,2,2,practical,0.45,0.57,0.66,0.79,0.5,0.5,0.53,Intermediate module in Food and Sustenance Technologies: Land Stewardship and the Commons.
1.1.3.03,Tactile Thinking and Material Pedagogies,1.1.3,2,1,practical,0.5,0.69,0.65,0.82,0.5,0.72,0.53,Intermediate module in Community Labour & Cooperative Innovation: Tactile Thinking and Material Pedagogies.
1.1.3.04,Workshop as Classroom: Designing Learning Environments,1.1.3,2,2,practical,0.54,0.72,0.67,0.79,0.46,0.68,0.55,Intermediate module in Community Labour & Cooperative Innovation: Workshop as Classroom: Designing Learning Environments.
2.3.23.03,"Radical Welcome: Access, Consent, and Cultural Warmth",2.3.23,2,1,mixed,0.58,0.81,0.66,0.58,0.53,0.75,0.54,"Intermediate module in Hospitality and Conflict Holding: Radical Welcome: Access, Consent, and Cultural Warmth."
2.3.23.04,"Designing Encounters: Food, Gesture, Environment",2.3.23,2,1,mixed,0.49,0.81,0.73,0.64,0.48,0.71,0.51,"Intermediate module in Hospitality and Conflict Holding: Designing Encounters: Food, Gesture, Environment."
2.3.23.05,"Hospitality and Power: Who Serves, Who Rests?",2.3.23,2,2,mixed,0.5,0.84,0.67,0.56,0.5,0.71,0.57,"Intermediate module in Hospitality and Conflict Holding: Hospitality and Power: Who Serves, Who Rests?."
2.3.22.03,Conflict as Opportunity: Theories and Practices,2.3.22,2,1,mixed,0.6,0.87,0.7,0.64,0.47,0.72,0.58,Intermediate module in Hospitality and Conflict Holding: Conflict as Opportunity: Theories and Practices.
2.3.22.04,Holding the Heat: De-escalation and Reframing,2.3.22,2,1,mixed,0.6,0.86,0.66,0.64,0.46,0.76,0.56,Intermediate module in Hospitality and Conflict Holding: Holding the Heat: De-escalation and Reframing.
2.3.22.05,"Mediation Across Difference: Language, Ability, Identity",2.3.22,2,2,mixed,0.54,0.92,0.67,0.56,0.51,0.68,0.56,"Intermediate module in Hospitality and Conflict Holding: Mediation Across Difference: Language, Ability, Identity."
2.4.24.03,"Ceremonies of Passage: Birth, Death, Thresholds",2.4.24,2,1,mixed,0.54,0.76,0.72,0.59,0.48,0.64,0.58,"Intermediate module in Rites, Rest, and Renewal: Ceremonies of Passage: Birth, Death, Thresholds."
2.4.24.04,Designing with Sensory Awareness,2.4.24,2,1,mixed,0.54,0.72,0.81,0.56,0.47,0.7,0.51,"Intermediate module in Rites, Rest, and Renewal: Designing with Sensory Awareness."
2.4.24.05,The Role of Witnesses and Co-Creators,2.4.24,2,2,mixed,0.59,0.7,0.71,0.51,0.54,0.65,0.58,"Intermediate module in Rites, Rest, and Renewal: The Role of Witnesses and Co-Creators."
1.2.6.03,Brewing Traditions and Cultural Practice,1.2.6,2,1,practical,0.6,0.62,0.66,0.84,0.46,0.49,0.52,Intermediate module in Food and Sustenance Technologies: Brewing Traditions and Cultural Practice.
1.2.6.04,Chemistry and Safety in Ferment Labs,1.2.6,2,1,practical,0.45,0.6,0.66,0.81,0.46,0.48,0.57,Intermediate module in Food and Sustenance Technologies: Chemistry and Safety in Ferment Labs.
1.2.6.05,"Designing Flavour: Herbs, Temperature, and Time",1.2.6,2,2,practical,0.53,0.58,0.71,0.81,0.49,0.54,0.53,"Intermediate module in Food and Sustenance Technologies: Designing Flavour: Herbs, Temperature, and Time."
2.1.16.03,Holding Silence and Speaking Truth,2.1.16,2,1,mixed,0.64,0.78,0.71,0.61,0.52,0.61,0.53,"Intermediate module in Education, Eldership, and Mentoring: Holding Silence and Speaking Truth."
2.1.16.04,Facilitator Ethics and Role Fluidity,2.1.16,2,1,essay,0.62,0.83,0.72,0.61,0.46,0.63,0.56,"Intermediate module in Education, Eldership, and Mentoring: Facilitator Ethics and Role Fluidity."
2.1.16.05,Listening Across Conflict and Power Imbalances,2.1.16,2,2,mixed,0.58,0.85,0.64,0.63,0.46,0.64,0.53,"Intermediate module in Education, Eldership, and Mentoring: Listening Across Conflict and Power Imbalances."
3.1.28.03,Seasonal Cycles and Place-Based Know-How,3.1.28,2,1,essay,0.48,0.59,0.72,0.21,0.46,0.46,0.66,Intermediate module in Ecologies of Knowledge: Seasonal Cycles and Place-Based Know-How.
3.1.28.04,"Oral Tradition, Performance, and Craft Transmission",3.1.28,2,1,essay,0.63,0.57,0.79,0.16,0.52,0.44,0.66,"Intermediate module in Ecologies of Knowledge: Oral Tradition, Performance, and Craft Transmission."
3.1.28.05,Fieldwork: Learning with Local Knowledge Holders,3.1.28,2,2,mixed,0.62,0.56,0.73,0.22,0.49,0.47,0.66,Intermediate module in Ecologies of Knowledge: Fieldwork: Learning with Local Knowledge Holders.
3.3.31.03,"Designing for Complexity: Models, Tools, and Tensions",3.3.31,2,1,essay,0.67,0.55,0.83,0.46,0.53,0.44,0.64,"Intermediate module in Transdisciplinary Design and Praxis: Designing for Complexity: Models, Tools, and Tensions."
3.3.31.04,Rapid Prototyping for Learning and Decision-Making,3.3.31,2,1,essay,0.54,0.58,0.88,0.47,0.54,0.45,0.59,Intermediate module in Transdisciplinary Design and Praxis: Rapid Prototyping for Learning and Decision-Making.
3.3.31.05,"Failure, Feedback, and Iteration in Knowledge Design",3.3.31,2,2,essay,0.62,0.52,0.8,0.54,0.47,0.52,0.64,"Intermediate module in Transdisciplinary Design and Praxis: Failure, Feedback, and Iteration in Knowledge Design."
1.3.7.04,Alloy Theory and Practical Metallurgy,1.3.7,2,1,practical,0.57,0.48,0.71,0.84,0.51,0.34,0.55,Intermediate module in Forge Arts and Metallurgy: Alloy Theory and Practical Metallurgy.
