programme_code,programme_name,faculty,department,description,social_intensity,practical_theoretical_balance,stress_level,career_prospects,academic_difficulty,creativity_requirement,leadership_opportunities,research_intensity,community_engagement,innovation_focus
2.4.24,Ceremonies,Faculty of Hearth and Transformation,"Rites, Rest, and Renewal","Practice-based programme in the design, facilitation, and ethics of ceremonial and ritual forms.",0.85,0.65,0.45,0.5,0.55,0.8,0.65,0.45,0.82,0.65
4.3.39,Elven Ethics in Modern Governance,Faculty of Living Lore,Philosophy and Ethics,Application of elven ethical principles to governance,0.7,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.5
3.3.32,Embodied Research Methods,Faculty of Living Lore,Transdisciplinary Design and Praxis,Research methods that engage the body and senses,0.5,0.6,0.4,0.6,0.6,0.7,0.5,0.8,0.5,0.7
2.1.17,"Care, Craft and Continuity",Faculty of Hearth and Transformation,"Education, Eldership, and Mentoring","Care work, craft traditions, and cultural continuity",0.8,0.7,0.6,0.6,0.4,0.5,0.5,0.3,0.9,0.4
4.2.37,Storyweaving & Community Histories,Faculty of Living Lore,Oral Histories and Memorycraft,Weaving stories and community historical narratives,0.8,0.6,0.4,0.5,0.5,0.8,0.6,0.6,0.9,0.6
3.1.27,Epistemological Justice,Faculty of Integrative Inquiry,Ecologies of Knowledge,Justice in knowledge systems and ways of knowing,0.7,0.4,0.7,0.5,0.8,0.6,0.6,0.8,0.7,0.6
4.4.43,Conflict Transformation through Cultural Design,Faculty of Integrative Inquiry,Political Myth and Governance,Cultural design for conflict resolution,0.9,0.7,0.8,0.6,0.7,0.8,0.8,0.6,0.8,0.7
2.2.20,Dreaming and Somatic Inquiry,Faculty of Hearth and Transformation,Healing and Embodied Knowledge,"Embodied inquiry programme exploring dreamwork, somatic practice, and the body as knowledge archive.",0.65,0.6,0.4,0.45,0.55,0.82,0.4,0.5,0.55,0.68
4.2.36,Ritual and Recollection,Faculty of Living Lore,Oral Histories and Memorycraft,Ritual practice and memory work,0.6,0.6,0.3,0.4,0.5,0.6,0.5,0.5,0.7,0.4
3.3.31,Knowledge System Prototyping,Faculty of Living Lore,Transdisciplinary Design and Praxis,Prototyping new knowledge systems and structures,0.6,0.7,0.6,0.8,0.7,0.9,0.7,0.8,0.6,0.9
1.5.13,Living Stone Architecture,Faculty of Applied Forging,Stonework and Structural Alchemy,"Architecture programme grounded in organic form, stone lore, sacred geometry, and ecosystem-aligned building.",0.55,0.78,0.6,0.7,0.65,0.82,0.55,0.5,0.65,0.75
2.3.22,Mediation,Faculty of Living Lore,Hospitality and Conflict Holding,Conflict mediation and resolution practices,0.9,0.8,0.8,0.6,0.5,0.6,0.7,0.4,0.8,0.5
4.3.40,Critical Power,Faculty of Living Lore,Philosophy and Ethics,Critical analysis of power structures and systems,0.7,0.4,0.8,0.5,0.8,0.6,0.7,0.8,0.7,0.6
1.4.11,"Hydraulics, Heuristics & Harmonics",Faculty of Applied Forging,Mechanics and Engineering,"Experimental engineering programme exploring fluid dynamics, acoustic structures, and intuitive design.",0.45,0.75,0.6,0.65,0.68,0.7,0.45,0.55,0.4,0.72
1.3.8,Hammercraft,Faculty of Applied Forging,Forge Arts and Metallurgy,"Intensive hands-on programme in traditional hammer forging, rhythm, and embodied metal practice.",0.4,0.92,0.5,0.68,0.52,0.62,0.35,0.25,0.45,0.52
4.1.34,Comparative Runes and Scripts,Faculty of Integrative Inquiry,Language and Symbol,Comparative study of runic systems and scripts,0.3,0.3,0.4,0.4,0.8,0.3,0.3,0.9,0.3,0.2
1.1.2,Mutual Aid and Guild Governance,Faculty of Hearth and Transformation,Community Labour & Cooperative Innovation,Community mutual aid and guild-based governance,0.9,0.8,0.6,0.5,0.4,0.5,0.8,0.3,0.9,0.5
4.3.41,Wisdom Traditions and Moral Craft,Faculty of Integrative Inquiry,Philosophy and Ethics,Study and practice of wisdom traditions,0.6,0.5,0.3,0.4,0.6,0.5,0.6,0.5,0.7,0.4
1.4.10,Logic & Leverage (Systems Engineering),Faculty of Applied Forging,Mechanics and Engineering,"Systems engineering programme integrating logical analysis, mechanical design, and emergent complexity.",0.5,0.72,0.65,0.8,0.72,0.6,0.65,0.6,0.45,0.75
1.5.14,Maintenance Rituals for Ancient Systems,Faculty of Applied Forging,Stonework and Structural Alchemy,"Specialist programme in the care, ritual maintenance, and cultural stewardship of ancient built systems.",0.55,0.82,0.5,0.58,0.58,0.58,0.45,0.55,0.65,0.48
2.2.18,Herbal Practice and Energy Work,Faculty of Applied Forging,Healing and Embodied Knowledge,Traditional herbal medicine and energy healing,0.6,0.7,0.3,0.6,0.4,0.5,0.4,0.3,0.7,0.4
1.1.3,Pedagogies of the Hand,Faculty of Applied Forging,Community Labour & Cooperative Innovation,Hands-on learning and craft-based education,0.7,0.8,0.4,0.7,0.5,0.6,0.5,0.3,0.7,0.6
3.1.28,Indigenous and Folk Knowledge Systems,Faculty of Integrative Inquiry,Ecologies of Knowledge,"Interdisciplinary programme engaging Indigenous and folk epistemologies, land-based knowledge, and oral traditions.",0.7,0.42,0.5,0.5,0.65,0.65,0.5,0.72,0.82,0.55
1.2.6,Brewcraft and Fermentation Systems,Faculty of Living Lore,Food and Sustenance Technologies,Brewing and fermentation as cultural practice,0.6,0.8,0.3,0.5,0.4,0.6,0.4,0.4,0.6,0.5
2.4.25,Timekeeping in Plural Cultures,Faculty of Hearth and Transformation,"Rites, Rest, and Renewal",Cultural timekeeping and temporal practices,0.6,0.5,0.4,0.4,0.6,0.5,0.4,0.6,0.7,0.4
2.3.21,Restorative Space Design,Faculty of Hearth and Transformation,Hospitality and Conflict Holding,"Design programme focused on creating spaces that hold healing, transition, and communal restoration.",0.75,0.7,0.45,0.6,0.55,0.8,0.55,0.45,0.72,0.7
4.2.38,Folkloric Transmission and Archiving,Faculty of Living Lore,Oral Histories and Memorycraft,Transmission and preservation of folkloric knowledge,0.6,0.5,0.4,0.4,0.5,0.4,0.4,0.6,0.7,0.3
2.1.15,Radical Mentorship,Faculty of Hearth and Transformation,"Education, Eldership, and Mentoring","Relational programme exploring mentorship as political practice, transformative presence, and care.",0.88,0.65,0.5,0.55,0.55,0.6,0.82,0.35,0.82,0.6
1.1.1,Distributed Workshop Economies,Faculty of Living Lore,Community Labour & Cooperative Innovation,Design of distributed economic systems,0.7,0.7,0.5,0.6,0.6,0.7,0.6,0.6,0.7,0.7
2.4.26,Ancient Rites,Faculty of Hearth and Transformation,"Rites, Rest, and Renewal","Scholarly and embodied study of historical rites across Elven, Dwarven, and other traditions.",0.75,0.6,0.45,0.45,0.6,0.72,0.55,0.65,0.75,0.55
